dataset,relative_path,file_role,origin,size_bytes,sha256,sha256_status,source_url,manifest_source
GSE104335,raw/perturbation/GSE104335/GSE104335_RAW.tar,download_archive,downloaded_archive,581529600,f3ad86ec74148a9ed25e282690d9c2390f8af4a705becf871d997bef91252e94,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,perturbation_downloads.yaml
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795553_1_1998A.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27163099,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795553_1_1998A.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468167,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795554_2_1998H.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27802494,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795554_2_1998H.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468288,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795555_3_1998I.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,28036841,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795555_3_1998I.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,467896,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795556_4_1998J.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26711670,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795556_4_1998J.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468129,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795557_5_1998K.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27409508,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795557_5_1998K.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468278,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795558_6_1998L.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27008520,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795558_6_1998L.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468321,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795559_7_1998M.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26873066,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795559_7_1998M.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,467981,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795560_8_1998N.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26990137,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795560_8_1998N.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468234,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795561_9_1998O.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26730187,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795561_9_1998O.sst-rma-gene-full.chp.gz,extracted_from_archive,derived_from_downloaded_archive,468066,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795562_1_1998A.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27163099,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795562_1_1998A.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9754925,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795563_2_1998H.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27802494,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795563_2_1998H.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9761293,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795564_3_1998I.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,28036841,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795564_3_1998I.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9761129,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795565_4_1998J.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26711670,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795565_4_1998J.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9760047,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795566_5_1998K.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27409508,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795566_5_1998K.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9762920,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795567_6_1998L.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,27008520,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795567_6_1998L.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9759714,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795568_7_1998M.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26873066,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795568_7_1998M.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9757752,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795569_8_1998N.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26990137,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795569_8_1998N.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9758389,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795570_9_1998O.CEL.gz,extracted_from_archive,derived_from_downloaded_archive,26730187,,archive_or_format_verified,,
GSE104335,raw/perturbation/GSE104335/extracted/GSM2795570_9_1998O.sst-rma-alt-splice-sst-dabg.chp.gz,extracted_from_archive,derived_from_downloaded_archive,9757892,,archive_or_format_verified,,
GSE118180,raw/GSE118180/GSE118180_RAW.tar,download_archive,downloaded_archive,19507200,2976da682fa8b9fd05f414de8b6edb8208e48ab38ee00934ad5d4b57241f5d5e,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118180,external_data_manifest.yaml
GSE118180,raw/GSE118180/extracted/GSM3320142_A910D91011_out_gene_exon_tagged.dge.txt.gz,extracted_from_archive,derived_from_downloaded_archive,5710252,,archive_or_format_verified,,
GSE118180,raw/GSE118180/extracted/GSM3320143_WT_Uterus_out_gene_exon_tagged.dge.txt.gz,extracted_from_archive,derived_from_downloaded_archive,9987866,,archive_or_format_verified,,
GSE118180,raw/GSE118180/extracted/GSM3320144_ACD_het_out_gene_exon_tagged.dge.txt.gz,extracted_from_archive,derived_from_downloaded_archive,3805980,,archive_or_format_verified,,
GSE122960,raw/GSE122960/GSE122960_RAW.tar,download_archive,downloaded_archive,755537920,8735652ee99beb5cb50bf3bb51fd1556f01599b9f456f31bd37fff24a1261ab7,verified_against_manifest,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122960,external_data_manifest.yaml
GSE122960,raw/GSE122960/extracted/GSM3489182_Donor_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,21396090,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489182_Donor_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,30581720,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489183_IPF_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,9706313,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489183_IPF_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,20624324,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489184_IPF_02_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,7740679,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489184_IPF_02_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,21036387,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489185_Donor_02_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,15346373,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489185_Donor_02_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,29031968,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489186_Cryobiopsy_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,4962235,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489186_Cryobiopsy_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,12431037,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489187_Donor_03_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,13324136,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489187_Donor_03_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,23147302,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489188_IPF_03_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,12416506,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489188_IPF_03_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,26298248,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489189_Donor_04_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,12826059,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489189_Donor_04_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,25240427,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489190_IPF_04_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,6442445,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489190_IPF_04_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,12014603,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489191_Donor_05_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,20658380,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489191_Donor_05_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,37410295,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489192_HP_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,13359516,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489192_HP_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,30305310,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489193_Donor_06_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,17648747,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489193_Donor_06_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,34407526,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489194_SSc-ILD_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,16745330,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489194_SSc-ILD_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,28676458,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489195_Donor_07_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,22552579,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489195_Donor_07_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,44364251,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489196_Myositis-ILD_01_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,20636083,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489196_Myositis-ILD_01_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,36653905,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489197_Donor_08_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,17911435,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489197_Donor_08_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,47700234,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489198_SSc-ILD_02_filtered_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,21972268,,archive_or_format_verified,,
GSE122960,raw/GSE122960/extracted/GSM3489198_SSc-ILD_02_raw_gene_bc_matrices_h5.h5,extracted_from_archive,derived_from_downloaded_archive,39934832,,archive_or_format_verified,,
