dataset,file_role,files,bytes
GSE104335,download_archive,1,581529600
GSE104335,extracted_from_archive,36,581498465
GSE118180,download_archive,1,19507200
GSE118180,extracted_from_archive,3,19504098
GSE122960,download_archive,1,755537920
GSE122960,extracted_from_archive,34,755504001
GSE135851,download_archive,1,633251840
GSE135851,extracted_from_archive,32,4715502427
GSE179044,downloaded_matrix_or_auxiliary,3,13328810
GSE190260,download_archive,6,249384360
GSE190260,extracted_from_archive,18,352866103
GSE217108,download_archive,1,91904000
GSE217108,extracted_from_archive,12,185601607
GSE302356,download_archive,11,18895744841
GSE302356,extracted_from_archive,34,19150564588
GSE84476,downloaded_matrix_or_auxiliary,2,10665193
reference,reference_file,1,25256
