                 Package            Version     
abind            "abind"            "1.4-8"     
ape              "ape"              "5.8-1"     
askpass          "askpass"          "1.2.1"     
assertthat       "assertthat"       "0.2.1"     
backports        "backports"        "1.5.1"     
base64enc        "base64enc"        "0.1-6"     
beeswarm         "beeswarm"         "0.4.0"     
BH               "BH"               "1.90.0-1"  
Biobase          "Biobase"          "2.72.0"    
BiocGenerics     "BiocGenerics"     "0.58.1"    
BiocManager      "BiocManager"      "1.30.27"   
BiocVersion      "BiocVersion"      "3.23.1"    
bit              "bit"              "4.6.0"     
bit64            "bit64"            "4.8.4"     
bitops           "bitops"           "1.1-0"     
blob             "blob"             "1.3.0"     
brew             "brew"             "1.0-10"    
brio             "brio"             "1.1.5"     
bslib            "bslib"            "0.12.0"    
cachem           "cachem"           "1.1.0"     
callr            "callr"            "3.8.0"     
caTools          "caTools"          "1.18.4"    
checkmate        "checkmate"        "2.3.4"     
classInt         "classInt"         "0.4-11"    
cli              "cli"              "3.6.6"     
colorspace       "colorspace"       "2.1-3"     
commonmark       "commonmark"       "2.0.0"     
covr             "covr"             "3.6.5"     
cowplot          "cowplot"          "1.2.0"     
cpp11            "cpp11"            "0.5.5"     
crayon           "crayon"           "1.5.3"     
crosstalk        "crosstalk"        "1.2.2"     
curl             "curl"             "7.1.0"     
data.table       "data.table"       "1.18.4"    
DBI              "DBI"              "1.3.0"     
deldir           "deldir"           "2.0-4"     
DEoptimR         "DEoptimR"         "1.2-1"     
desc             "desc"             "1.4.3"     
diffobj          "diffobj"          "0.3.8"     
digest           "digest"           "0.6.39"    
dotCall64        "dotCall64"        "1.2"       
dplyr            "dplyr"            "1.2.1"     
dqrng            "dqrng"            "0.4.1"     
e1071            "e1071"            "1.7-17"    
egg              "egg"              "0.4.5"     
evaluate         "evaluate"         "1.0.5"     
farver           "farver"           "2.1.2"     
fastDummies      "fastDummies"      "1.7.6"     
fastmap          "fastmap"          "1.2.0"     
fitdistrplus     "fitdistrplus"     "1.2-6"     
FNN              "FNN"              "1.1.4.1"   
fontawesome      "fontawesome"      "0.5.3"     
formatR          "formatR"          "1.14"      
Formula          "Formula"          "1.2-6"     
fs               "fs"               "2.1.0"     
futile.logger    "futile.logger"    "1.4.9"     
futile.options   "futile.options"   "1.0.1"     
future           "future"           "1.75.0"    
future.apply     "future.apply"     "1.20.2"    
gdata            "gdata"            "3.0.1"     
generics         "generics"         "0.1.4"     
ggbeeswarm       "ggbeeswarm"       "0.7.3"     
ggplot2          "ggplot2"          "4.0.3"     
ggplot2movies    "ggplot2movies"    "0.0.1"     
ggrepel          "ggrepel"          "0.9.8"     
ggridges         "ggridges"         "0.5.7"     
globals          "globals"          "0.19.1"    
glue             "glue"             "1.8.1"     
gmodels          "gmodels"          "2.19.1"    
goftest          "goftest"          "1.2-3"     
gplots           "gplots"           "3.3.0"     
gridExtra        "gridExtra"        "2.3.1"     
gridGraphics     "gridGraphics"     "0.5-1"     
gtable           "gtable"           "0.3.6"     
gtools           "gtools"           "3.9.5"     
here             "here"             "1.0.2"     
hexbin           "hexbin"           "1.28.6"    
highr            "highr"            "0.12"      
hms              "hms"              "1.1.4"     
htmltools        "htmltools"        "0.5.9"     
htmlwidgets      "htmlwidgets"      "1.6.4"     
httpuv           "httpuv"           "1.6.17"    
httr             "httr"             "1.4.8"     
ica              "ica"              "1.0-3"     
igraph           "igraph"           "2.3.3"     
igraphdata       "igraphdata"       "1.0.1"     
irlba            "irlba"            "2.3.7"     
isoband          "isoband"          "0.3.0"     
jquerylib        "jquerylib"        "0.1.4"     
jsonlite         "jsonlite"         "2.0.0"     
kernlab          "kernlab"          "0.9-33"    
knitr            "knitr"            "1.51"      
labeling         "labeling"         "0.4.3"     
lambda.r         "lambda.r"         "1.2.4"     
later            "later"            "1.4.8"     
lazyeval         "lazyeval"         "0.2.3"     
leidenbase       "leidenbase"       "0.1.37"    
lifecycle        "lifecycle"        "1.0.5"     
listenv          "listenv"          "1.0.0"     
lmtest           "lmtest"           "0.9-40"    
lobstr           "lobstr"           "1.2.1"     
magrittr         "magrittr"         "2.0.5"     
mapproj          "mapproj"          "1.2.12"    
maps             "maps"             "3.4.3"     
mathjaxr         "mathjaxr"         "2.0-0"     
MatrixModels     "MatrixModels"     "0.5-4"     
matrixStats      "matrixStats"      "1.5.0"     
memoise          "memoise"          "2.0.1"     
mime             "mime"             "0.13"      
miniUI           "miniUI"           "0.1.2"     
minqa            "minqa"            "1.2.8"     
mnormt           "mnormt"           "2.1.2"     
multcomp         "multcomp"         "1.4-32"    
munsell          "munsell"          "0.5.1"     
mvtnorm          "mvtnorm"          "1.4-2"     
numDeriv         "numDeriv"         "2016.8-1.1"
openssl          "openssl"          "2.4.2"     
otel             "otel"             "0.2.0"     
outliers         "outliers"         "0.15"      
parallelly       "parallelly"       "1.48.0"    
PASWR            "PASWR"            "1.3"       
patchwork        "patchwork"        "1.3.2"     
pbapply          "pbapply"          "1.7-4"     
pillar           "pillar"           "1.11.1"    
pingr            "pingr"            "2.0.5"     
pkgbuild         "pkgbuild"         "1.4.8"     
pkgconfig        "pkgconfig"        "2.0.3"     
pkgload          "pkgload"          "1.5.3"     
plotly           "plotly"           "4.12.1"    
plotrix          "plotrix"          "3.8-14"    
plyr             "plyr"             "1.8.9"     
png              "png"              "0.1-9"     
polyclip         "polyclip"         "1.10-7"    
praise           "praise"           "1.0.0"     
prettyunits      "prettyunits"      "1.2.0"     
processx         "processx"         "3.9.0"     
progressr        "progressr"        "1.0.0"     
promises         "promises"         "1.5.0"     
proxy            "proxy"            "0.4-29"    
ps               "ps"               "1.9.3"     
purrr            "purrr"            "1.2.2"     
quantreg         "quantreg"         "6.1"       
R.methodsS3      "R.methodsS3"      "1.8.2"     
R.oo             "R.oo"             "1.27.1"    
R.utils          "R.utils"          "2.13.0"    
R6               "R6"               "2.6.1"     
RANN             "RANN"             "2.6.2"     
rappdirs         "rappdirs"         "0.3.4"     
rbibutils        "rbibutils"        "2.4.1"     
RColorBrewer     "RColorBrewer"     "1.1-3"     
Rcpp             "Rcpp"             "1.1.2"     
RcppAnnoy        "RcppAnnoy"        "0.0.23"    
RcppArmadillo    "RcppArmadillo"    "15.4.2-1"  
RcppEigen        "RcppEigen"        "0.3.4.0.2" 
RcppHNSW         "RcppHNSW"         "0.7.0"     
RcppProgress     "RcppProgress"     "0.4.2"     
RcppTOML         "RcppTOML"         "0.2.3"     
Rdpack           "Rdpack"           "2.6.6"     
rdtools          "rdtools"          "0.1.0"     
reformulas       "reformulas"       "0.4.4"     
remotes          "remotes"          "2.5.0"     
reshape2         "reshape2"         "1.4.5"     
reticulate       "reticulate"       "1.46.0"    
rex              "rex"              "1.2.2"     
RhpcBLASctl      "RhpcBLASctl"      "0.23-42"   
rjson            "rjson"            "0.2.23"    
rlang            "rlang"            "1.3.0"     
rmarkdown        "rmarkdown"        "2.31"      
Rnanoflann       "Rnanoflann"       "0.0.3"     
robustbase       "robustbase"       "0.99-7"    
ROCR             "ROCR"             "1.0-12"    
rprojroot        "rprojroot"        "2.1.1"     
RSpectra         "RSpectra"         "0.16-2"    
RSQLite          "RSQLite"          "3.53.3"    
rstudioapi       "rstudioapi"       "0.19.0"    
rsvd             "rsvd"             "1.0.5"     
Rtsne            "Rtsne"            "0.17"      
S7               "S7"               "0.2.2"     
sandwich         "sandwich"         "3.1-3"     
sass             "sass"             "0.4.10"    
scales           "scales"           "1.4.0"     
scattermore      "scattermore"      "1.2"       
sctransform      "sctransform"      "0.4.3"     
segmented        "segmented"        "2.2-1"     
