group,donor_id,n_cells_after_filter,min_total_counts,lineage_origin_smooth_muscle_mean,lineage_origin_smooth_muscle_median,lineage_origin_smooth_muscle_pseudobulk_cpm,lineage_origin_smooth_muscle_genes_present,lung_adaptation_mean,lung_adaptation_median,lung_adaptation_pseudobulk_cpm,lung_adaptation_genes_present,ECM_interaction_mean,ECM_interaction_median,ECM_interaction_pseudobulk_cpm,ECM_interaction_genes_present,survival_stress_mean,survival_stress_median,survival_stress_pseudobulk_cpm,survival_stress_genes_present,immune_evasion_mean,immune_evasion_median,immune_evasion_pseudobulk_cpm,immune_evasion_genes_present,hormone_related_mean,hormone_related_median,hormone_related_pseudobulk_cpm,hormone_related_genes_present
LAM_uterus,GSE135851_GSM4035470,67094,500.0,3.1835916375482087,3.299204581247858,13779.210502011627,ACTA2;TAGLN;MYH11;CNN1;DES;CALD1;MYL9;TPM2,0.3270462126641727,0.0,330.86484358032624,FIGF;CCL21;PDPN;LYVE1;FLT4;CTSK;MMP2;MMP9;CXCL14,1.7525221822510315,1.8718867971681956,3536.3305630388445,COL1A1;COL1A2;COL3A1;FN1;VCAN;MMP2;MMP9;TIMP1;TIMP2,0.6708895580073083,0.7345481517388948,973.2112108165072,BCL2;BCL2L1;LGALS3;HIF1A;VEGFA;BNIP3;DDIT4;NDRG1;TXNIP,0.27877538236603416,0.0,322.9627944857975,LGALS3;CTSS;TYROBP;CCL2;TGFB1;CD274;SERPINE1,1.696920275897261,1.888836614050878,4103.582677022879,ESR1;ESR2;PGR;IGF1R;EGFR;GREB1
normal_uterus,GSE135851_GSM4035471,86826,500.0,0.5727420675326722,0.5087013531849098,865.6230581110146,ACTA2;TAGLN;MYH11;CNN1;DES;CALD1;MYL9;TPM2,0.0743334349605114,0.0,82.91953574090417,FIGF;CCL21;PDPN;LYVE1;FLT4;CTSK;MMP2;MMP9;CXCL14,1.340771365730753,1.4045303285410078,2444.8899953317136,COL1A1;COL1A2;COL3A1;FN1;VCAN;MMP2;MMP9;TIMP1;TIMP2,0.7489881223621043,0.842752398015529,1150.3628062541095,BCL2;BCL2L1;LGALS3;HIF1A;VEGFA;BNIP3;DDIT4;NDRG1;TXNIP,0.42502885881981584,0.0,469.8387776123935,LGALS3;CTSS;TYROBP;CCL2;TGFB1;CD274;SERPINE1,0.9773519297657205,1.113497543209137,1743.3693873296552,ESR1;ESR2;PGR;IGF1R;EGFR;GREB1
pulmonary_LAM,LAM1,30,,2.8038504528640678,3.409003171284191,,,1.0720727871546119,1.1771160055433705,,,0.6579684220617524,0.6202398086136092,,,0.8506914939260593,0.8366444615535406,,,1.1420578403813713,0.7938689750415706,,,0.11731349864890281,0.0321931903795483,,
pulmonary_LAM,LAM2,3,,0.23489125793458734,0.0764898708582556,,,0.022758082638208364,0.0,,,0.4159149993846591,0.5600001244936116,,,1.475148465888024,1.423611402494898,,,2.223251049890146,2.365701326042246,,,0.027689452041612533,0.0,,
pulmonary_LAM,LAM3,56,,2.5122430025229283,2.636700629085768,,,1.3837343421773836,1.5238220642709552,,,1.0815212849833415,1.0370364114434856,,,0.8867046696505607,0.8835177689387909,,,1.173602527506142,1.1171600970074356,,,0.1388746430036209,0.0,,
pulmonary_LAM,LAM4,41,,1.5425485993330503,0.483401786016667,,,0.599585432112051,0.1575827179545327,,,0.47017287962300713,0.3480275087240991,,,0.8794198271756762,0.7990167876381933,,,0.9547472881043674,0.7519125071722492,,,0.09252162334348137,0.0,,
normal_lung,GSE122960_Donor_01,5437,,0.09230051105038614,0.0,,,0.019329938386653294,0.0,,,0.2376314939188706,0.1469246320026996,,,1.1064430693970284,1.0587440867517892,,,1.4380171381578948,1.7551354519087956,,,0.05262316226552206,0.0,,
normal_lung,GSE122960_Donor_03,5235,,0.07348833153471108,0.0,,,0.01546184833523379,0.0,,,0.3940225809758129,0.2866607364057456,,,1.2973108108902587,1.33301884413638,,,1.557843553500128,1.872041959687747,,,0.08107999895254529,0.0,,
normal_lung,GSE122960_Donor_04,5191,,0.0778505857453707,0.0,,,0.019250809472318303,0.0,,,0.3732654599189063,0.0640017740967821,,,0.8496682008599812,0.770213496048653,,,0.8895853500332276,0.6104859260517824,,,0.08467436609106338,0.0,,
normal_lung,GSE122960_Donor_05,5341,,0.08642974743403656,0.0,,,0.017684420290092297,0.0,,,0.2529027657176977,0.123757942551552,,,0.8756475870188213,0.7464496711693145,,,1.0861719866067394,0.5867219855361762,,,0.04959467649906867,0.0,,
normal_lung,GSE122960_Donor_06,4300,,0.17805081042725107,0.0,,,0.03575270048803672,0.0,,,0.4391280870554827,0.2953513397995233,,,0.9727988800184332,0.9045613296273903,,,1.292838299536698,1.08616246626317,,,0.09304280937817926,0.0,,
normal_lung,GSE122960_Donor_07,7516,,0.09417941938114283,0.0,,,0.04310948822361043,0.0,,,0.33834747214709465,0.06063245593707475,,,0.9495650159283853,0.9264858727958001,,,1.1444717433836322,0.9156710221616675,,,0.05469401818432374,0.0,,
