state,microenvironment_program,cells,spearman_rho,p_value,interpretation
contractile,lymphatic_endothelial,23228,0.45086583777162315,0.0,candidate association only; not direct cell communication
contractile,vascular_endothelial,23228,0.11920443360762667,2.8923574643133475e-74,candidate association only; not direct cell communication
contractile,fibroblast,23228,0.08196721716238059,6.355009674595046e-36,candidate association only; not direct cell communication
contractile,immune,23228,-0.33099376302802974,0.0,candidate association only; not direct cell communication
ecm_remodeling,lymphatic_endothelial,23228,-0.007359334042745503,0.26204471038099086,candidate association only; not direct cell communication
ecm_remodeling,vascular_endothelial,23228,0.16694789650311162,8.51613290772685e-145,candidate association only; not direct cell communication
ecm_remodeling,fibroblast,23228,0.15663250120031721,1.7587756517401671e-127,candidate association only; not direct cell communication
ecm_remodeling,immune,23228,0.241162047003408,1.3721529897639183e-304,candidate association only; not direct cell communication
proliferative,lymphatic_endothelial,23228,0.10153633804933436,2.7825804296449e-54,candidate association only; not direct cell communication
proliferative,vascular_endothelial,23228,0.07918357360764071,1.244932181629496e-33,candidate association only; not direct cell communication
proliferative,fibroblast,23228,0.11353102226968827,1.7107089496771668e-67,candidate association only; not direct cell communication
proliferative,immune,23228,0.0901286476158033,4.222918116914869e-43,candidate association only; not direct cell communication
stress_hypoxia,lymphatic_endothelial,23228,0.06592119133005593,8.532877519829984e-24,candidate association only; not direct cell communication
stress_hypoxia,vascular_endothelial,23228,-0.028603258025969393,1.300599946544735e-05,candidate association only; not direct cell communication
stress_hypoxia,fibroblast,23228,-0.04668820274163281,1.0861492325992727e-12,candidate association only; not direct cell communication
stress_hypoxia,immune,23228,-0.13014156074405242,2.828605973611727e-88,candidate association only; not direct cell communication
inflammatory,lymphatic_endothelial,23228,0.20362112777421512,6.937334272371487e-216,candidate association only; not direct cell communication
inflammatory,vascular_endothelial,23228,0.017345337679938157,0.008202625371595303,candidate association only; not direct cell communication
inflammatory,fibroblast,23228,-0.14480107496471353,4.840601341620937e-109,candidate association only; not direct cell communication
inflammatory,immune,23228,-0.3729456412780723,0.0,candidate association only; not direct cell communication
hormone_related,lymphatic_endothelial,23228,0.030614011894147655,3.0616056866504486e-06,candidate association only; not direct cell communication
hormone_related,vascular_endothelial,23228,0.03359358782919571,3.037916371162618e-07,candidate association only; not direct cell communication
hormone_related,fibroblast,23228,0.43065668461342127,0.0,candidate association only; not direct cell communication
hormone_related,immune,23228,0.06962209619029562,2.3235432697604175e-26,candidate association only; not direct cell communication
metabolic,lymphatic_endothelial,23228,-0.21049787028289832,6.614790184845382e-231,candidate association only; not direct cell communication
metabolic,vascular_endothelial,23228,-0.04404133465008242,1.8791162038535565e-11,candidate association only; not direct cell communication
metabolic,fibroblast,23228,-0.018906339308687063,0.003957024502473943,candidate association only; not direct cell communication
metabolic,immune,23228,0.1848853836501619,1.089986873691595e-177,candidate association only; not direct cell communication
mTOR_related,lymphatic_endothelial,23228,0.0366259952965089,2.3553093304620575e-08,candidate association only; not direct cell communication
mTOR_related,vascular_endothelial,23228,0.0583314546230891,5.725269786150984e-19,candidate association only; not direct cell communication
mTOR_related,fibroblast,23228,0.04341361491961164,3.6085851439022986e-11,candidate association only; not direct cell communication
mTOR_related,immune,23228,0.1561499324410701,1.063865885129082e-126,candidate association only; not direct cell communication
