gene,protein_priority_candidate,retention_eligible_across_environment,retention_categories,single_cell_top_source_state,single_cell_top_source_transcript_fraction,spatial_gene_observed_visium,spatial_gene_observed_visium_hd,spatial_gene_observed_xenium,adaptation_program_membership,protein_matrix_status,patient_matching,evidence_level
AADAT,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
ABCC4,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
ABHD12,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
ABHD6,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
ABLIM3,False,True,fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
ABRAXAS1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC002480.1,False,True,enhanced_or_reprogrammed;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC003986.2,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC004816.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC005046.1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC005293.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC005520.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC006058.1,False,True,enhanced_or_reprogrammed;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC007098.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC007405.3,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC007920.2,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC008012.1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC009113.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC009119.1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC009404.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC010655.4,False,True,fully_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC011346.1,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC011462.1,False,True,fully_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC018647.1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC018865.2,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC021086.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC022107.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC022467.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC024267.6,False,True,fully_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC025809.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC027601.5,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC044849.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC051619.4,False,True,enhanced_or_reprogrammed;fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC068448.1,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC068580.4,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC078883.1,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC087379.1,False,True,enhanced_or_reprogrammed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC092155.1,False,True,enhanced_or_reprogrammed;fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC092490.1,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC092535.5,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC096647.1,False,True,enhanced_or_reprogrammed;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC097359.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC099548.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC099786.1,False,True,enhanced_or_reprogrammed;fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC099786.2,False,True,enhanced_or_reprogrammed;fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC099786.3,False,True,enhanced_or_reprogrammed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC103702.1,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC104452.1,False,True,fully_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC107027.3,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC107398.3,False,True,partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC107953.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC107956.1,False,True,fully_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC110285.6,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC112220.2,False,True,partially_retained;suppressed,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
AC116366.1,False,True,fully_retained;partially_retained,not_measured,,False,False,False,,not_prioritized,not_assumed,exploratory
