gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate
A2M,1,0.1316631038291335,fully_retained,False
A2M-AS1,2,0.8764451979827225,suppressed,False
AADAT,2,0.31975275691492144,fully_retained;partially_retained,True
AASS,1,0.44151642311379014,partially_retained,False
ABCA1,1,1.0323417725478283,suppressed,False
ABCA5,1,1.1512409337946994,suppressed,False
ABCA7,1,1.0081978473127737,suppressed,False
ABCB6,2,1.196078767945493,suppressed,False
ABCC3,1,0.9302779785327462,suppressed,False
ABCC4,2,0.32303744991734873,fully_retained;partially_retained,True
ABCC6,1,1.2405706387644604,suppressed,False
ABCC9,1,1.054415352965999,suppressed,False
ABCG2,1,-0.37552435706464427,enhanced_or_reprogrammed,False
ABCG4,1,0.9226899998868685,suppressed,False
ABHD12,2,0.6158831374271034,partially_retained,True
ABHD14B,1,0.6946701993737914,partially_retained,False
ABHD17C,2,0.8378497776775228,suppressed,False
ABHD6,2,0.6589729570231495,partially_retained;suppressed,True
ABI3,1,0.5389887120525076,partially_retained,False
ABI3BP,1,0.3450200242502215,partially_retained,False
ABLIM1,1,-0.17081535533884695,enhanced_or_reprogrammed,False
ABLIM3,2,0.09210463432912491,fully_retained,True
ABRACL,1,0.7626699958383342,suppressed,False
ABRAXAS1,2,0.4453134583112347,partially_retained,True
ABTB1,1,0.962966371991256,suppressed,False
AC000093.1,1,-0.3756452755309403,enhanced_or_reprogrammed,False
AC000120.3,1,0.11762210718406352,fully_retained,False
AC001226.2,1,0.758793781177053,suppressed,False
AC002074.1,1,2.3353555701964908,suppressed,False
AC002094.5,1,0.8031995335959987,suppressed,False
AC002310.1,1,0.5378361146984174,partially_retained,False
AC002470.1,1,0.43175034339473795,partially_retained,False
AC002470.2,1,0.9907393719612929,suppressed,False
AC002480.1,2,0.45435733143476453,enhanced_or_reprogrammed;suppressed,True
AC002480.2,1,1.030886391195952,suppressed,False
AC003986.2,2,0.36850694383612975,partially_retained,True
AC003986.3,1,0.32656317921039657,partially_retained,False
AC004241.1,1,1.1652409329827074,suppressed,False
AC004771.3,1,0.5404021731834678,partially_retained,False
AC004803.1,2,1.0826005087771429,suppressed,False
AC004816.1,2,0.7153611270296631,partially_retained;suppressed,True
AC004832.3,1,1.4050616553917075,suppressed,False
AC004890.2,1,0.20902313900248048,fully_retained,False
AC004951.4,1,0.9061607219358274,suppressed,False
AC005020.2,1,1.115592532835422,suppressed,False
AC005034.4,1,0.6311638792228627,partially_retained,False
AC005046.1,2,0.5971416074296761,partially_retained,True
AC005293.1,2,0.8875379653308517,partially_retained;suppressed,True
AC005324.3,1,0.5816643452108308,partially_retained,False
AC005520.1,2,0.8410679957449617,partially_retained;suppressed,True
AC005593.1,1,1.2231686006004105,suppressed,False
AC005921.2,1,1.2810906223557184,suppressed,False
AC006058.1,2,0.5058717922582749,enhanced_or_reprogrammed;suppressed,True
AC006059.1,1,0.529572358914346,partially_retained,False
AC006064.4,1,0.37524956967512146,partially_retained,False
AC006128.1,1,0.15835828182625455,fully_retained,False
AC006449.6,1,1.0342250777978832,suppressed,False
AC006480.2,1,0.901181880771641,suppressed,False
AC006511.3,1,0.12627933447565587,fully_retained,False
AC007036.3,1,0.941937937522267,suppressed,False
AC007038.1,1,1.1834097060123807,suppressed,False
AC007098.1,2,0.8540032678873221,partially_retained;suppressed,True
AC007192.1,1,0.8673957096485909,suppressed,False
AC007216.3,1,0.30482913606499507,partially_retained,False
AC007405.3,2,0.7644640419922542,partially_retained;suppressed,True
AC007448.5,1,0.9111521593137449,suppressed,False
AC007541.1,1,0.872287186294743,suppressed,False
AC007611.1,1,0.7204354107915172,partially_retained,False
AC007686.3,1,1.1256289180838692,suppressed,False
AC007920.2,2,0.3400683770505576,fully_retained;partially_retained,True
AC007938.3,1,0.19049722360149823,fully_retained,False
AC008012.1,2,0.4491351511398736,partially_retained,True
AC008014.1,1,1.361414398693531,suppressed,False
AC008105.2,1,0.8427784267562104,suppressed,False
AC008115.3,1,0.6637659603672776,partially_retained,False
AC008163.1,1,-0.012438631928152644,enhanced_or_reprogrammed,False
AC008393.1,1,0.9155224123096017,suppressed,False
AC008397.2,1,1.0375435955753523,suppressed,False
AC008443.2,1,1.0094829801006264,suppressed,False
AC008494.3,1,0.8587637203721084,suppressed,False
AC008543.1,1,-0.10833356047749021,enhanced_or_reprogrammed,False
AC008568.1,1,1.0025157211414946,suppressed,False
AC008695.1,1,1.3119080574615807,suppressed,False
AC008758.1,1,1.0746398522146603,suppressed,False
AC008840.1,1,0.8429093848467523,suppressed,False
AC008870.2,1,1.1725453395100989,suppressed,False
AC008993.1,1,0.9681702806238135,suppressed,False
AC008993.2,1,0.34527787281700617,partially_retained,False
AC009061.2,1,1.0203740811401254,suppressed,False
AC009113.1,2,0.7359796359235995,partially_retained;suppressed,True
AC009119.1,2,0.5696515683787602,partially_retained,True
AC009126.1,1,0.7471768934317091,partially_retained,False
AC009133.6,1,0.949448235965269,suppressed,False
AC009404.1,2,1.1664406127756386,partially_retained;suppressed,True
AC009506.1,1,0.5837719905155936,partially_retained,False
AC009549.1,1,0.6769065304185709,partially_retained,False
AC009560.3,1,0.5776630410931132,partially_retained,False
AC010300.1,1,0.4044886165542847,partially_retained,False
AC010331.1,1,0.6503197418875213,partially_retained,False
AC010336.1,1,0.5823403819061346,partially_retained,False
AC010422.6,1,1.2903750396154345,suppressed,False
AC010531.6,1,0.9674760343477646,suppressed,False
AC010618.3,1,0.6399642446621339,partially_retained,False
AC010655.2,1,0.8434271885385692,suppressed,False
AC010655.4,2,0.7954573822466644,fully_retained;suppressed,True
AC010776.2,1,0.32280704388099213,partially_retained,False
AC010883.3,1,0.8550229345894699,suppressed,False
AC011346.1,2,0.42797278504937714,fully_retained;partially_retained,True
AC011462.1,2,0.7728443807886815,fully_retained;suppressed,True
AC011468.4,1,0.7539850685784495,suppressed,False
AC011586.2,2,0.8800800518759486,suppressed,False
AC011939.1,1,0.40675154107973344,partially_retained,False
AC012063.1,1,0.704734845005256,partially_retained,False
AC012184.2,1,0.6235190824272749,partially_retained,False
AC012360.2,1,1.199703397794434,suppressed,False
AC012409.5,1,0.11935510085033718,fully_retained,False
AC013268.1,1,0.29621017257834503,partially_retained,False
AC013271.1,1,0.8440665106229833,suppressed,False
AC013394.1,1,1.0577949767932042,suppressed,False
AC013643.2,1,1.711171173475682,suppressed,False
AC015712.2,2,0.8989132853670302,suppressed,False
