gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible
5S_RRNA,hydrogel,2,-0.0327081;0.00583697,0.000216014;0.0154261,-0.013435541244823199,0.0078210766614977,,insufficient,False,False,True,False
5S_RRNA,plastic,2,0.000256015;-0.000101063,0.0636924;-0.00488196,7.747617661019168e-05,0.02940523506841499,,insufficient,False,False,False,False
5_8S_RRNA,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
5_8S_RRNA,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
7SK,hydrogel,2,-0.0618625;-0.0778311,0.0145227;-0.0949805,-0.06984677974913915,-0.040228881317686635,,insufficient,False,False,False,False
7SK,plastic,2,-0.0272833;-0.0163311,0.00695708;0.00111214,-0.021807209002046454,0.004034608076064011,,insufficient,False,False,True,False
A1BG,hydrogel,2,0.444129;0.379246,0.325062;-0.0892448,0.41168716396157556,0.11790883432875532,,insufficient,False,False,False,False
A1BG,plastic,2,0.220937;0.16711,0.297599;0.0421728,0.19402318322519463,0.1698856968106055,,insufficient,False,False,True,False
A1BG-AS1,hydrogel,2,0.255261;0.0885563,-0.291142;0.159218,0.17190848257210511,-0.0659621158441448,,insufficient,False,False,False,False
A1BG-AS1,plastic,2,0.218414;0.442505,-0.239682;-0.163834,0.3304596063271106,-0.20175791891912098,,insufficient,False,False,True,False
A1CF,hydrogel,2,-0.110649;0.127018,-0.0522839;-1.18804,0.008184408131134968,-0.620162334895525,,insufficient,False,False,True,False
A1CF,plastic,2,0.0049199;-0.180296,0.0583579;0.0051335,-0.08768806039777499,0.031745700397180054,,insufficient,False,False,True,False
A2M,hydrogel,2,0.801849;0.511576,0.740136;0.400359,0.6567123349803792,0.5702475506339848,0.1316631038291335,fully_retained,True,True,True,True
A2M,plastic,2,-0.26899;-0.376649,-0.244665;0.920809,-0.3228195688333595,0.3380721317846054,,insufficient,False,False,False,False
A2M-AS1,hydrogel,2,-1.24832;-0.969926,-0.252591;0.15941,-1.1091231351313051,-0.0465908540378801,0.9579930734810933,suppressed,True,True,False,True
A2M-AS1,plastic,2,-1.04166;-1.1102,-0.319474;-0.121878,-1.0759293342705298,-0.22067598727651472,0.7948973224843516,suppressed,True,True,True,True
A2ML1,hydrogel,2,-0.0426262;-0.157722,-0.308008;0.203257,-0.100173887977838,-0.052375446572897555,,insufficient,False,False,False,False
A2ML1,plastic,2,-0.322394;-0.0044104,-0.0819408;0.00226721,-0.163402071569772,-0.039836817386508516,,insufficient,False,False,False,False
A2ML1-AS1,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
A2ML1-AS1,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
A2ML1-AS2,hydrogel,2,0.000584044;-0.0418709,0.203554;0.328127,-0.020643404206520513,0.26584044635949755,,insufficient,False,False,True,False
A2ML1-AS2,plastic,2,0.010648;0.126092,0.043516;-0.0424466,0.0683700137977115,0.000534747912414979,,insufficient,False,False,False,False
A2MP1,hydrogel,2,0.000489363;0.000809038,-0.106555;0.205624,0.0006492005278906504,0.04953472779985629,,insufficient,False,False,False,False
A2MP1,plastic,2,-0.0759804;-0.329391,0.000154393;0.00137211,-0.202685555478008,0.0007632537014888446,,insufficient,False,False,True,False
A3GALT2,hydrogel,2,-0.0832932;0.00153714,0.00230513;0.00380347,-0.040878049101364944,0.0030543039921899773,,insufficient,False,False,True,False
A3GALT2,plastic,2,0.00258236;-0.000963516,0.000310333;0.00246145,0.0008094232784400246,0.0013858896487699557,,insufficient,False,False,True,False
A4GALT,hydrogel,2,0.561211;-0.291048,0.18442;0.184833,0.1350811100064795,0.18462629455640567,,insufficient,False,False,True,False
A4GALT,plastic,2,-0.275111;-0.133192,-0.0746028;-0.578003,-0.204151434330345,-0.32630283962639517,,insufficient,False,False,True,False
A4GNT,hydrogel,2,0.000550907;0.000910844,0.0432009;0.0563367,0.000730875790123986,0.04976879924156252,,insufficient,False,False,True,False
A4GNT,plastic,2,0.0014603;-0.1354,0.000173736;0.151575,-0.06696993501087499,0.0758742586139665,,insufficient,False,False,True,False
AA06,hydrogel,2,0.000274979;0.000451582,0.000677204;0.00111739,0.00036328062783996806,0.0008972961450048889,,insufficient,False,False,True,False
AA06,plastic,2,0.000758649;-0.0064693,9.117e-05;0.000723126,-0.0028553244769549124,0.00040714789437990007,,insufficient,False,False,True,False
AAAS,hydrogel,2,-0.197988;-0.400403,0.0337825;-0.0772409,-0.29919561438769904,-0.021729226507649635,,insufficient,False,False,False,False
AAAS,plastic,2,-0.190758;-0.156139,0.0225945;-0.0792853,-0.17344818930625028,-0.028345423659849267,,insufficient,False,False,False,False
AACS,hydrogel,2,0.275528;0.374899,-0.321069;0.161761,0.32521333337225045,-0.07965414370714985,,insufficient,False,False,False,False
AACS,plastic,2,0.0882718;0.2766,-0.342758;-0.105537,0.18243582791814994,-0.22414775659200004,,insufficient,False,False,True,False
AACSP1,hydrogel,2,0.000274979;0.000451582,0.000677204;0.00111739,0.00036328062783996806,0.0008972961450048889,,insufficient,False,False,True,False
AACSP1,plastic,2,0.000758649;-0.0064693,9.117e-05;0.000723126,-0.0028553244769549124,0.00040714789437990007,,insufficient,False,False,True,False
AADAC,hydrogel,2,-0.181388;-0.368054,-0.135808;0.368849,-0.27472064532649987,0.1165200746838948,,insufficient,False,False,False,False
AADAC,plastic,2,-0.0356365;-0.00224418,0.170956;-0.0575503,-0.018940320721899995,0.05670272100539986,,insufficient,False,False,False,False
AADACL2,hydrogel,2,-0.0110006;0.000840377,0.00126025;0.00207942,-0.005080118540935041,0.0016698326247250872,,insufficient,False,False,True,False
AADACL2,plastic,2,0.00141182;-0.0120391,0.000169664;0.00134571,-0.0053136458819749155,0.0007576861228300036,,insufficient,False,False,True,False
AADACL2-AS1,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
AADACL2-AS1,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
AADACL3,hydrogel,2,0.00172804;0.00283786,0.00253861;0.00702196,0.002282952213960021,0.0047802857746548355,,insufficient,False,False,True,False
AADACL3,plastic,2,0.00412449;-0.27391,0.000572937;0.00454431,-0.13489299616398243,0.0025586257996250694,,insufficient,False,False,True,False
AADACL4,hydrogel,2,0.0470179;0.094286,0.0870102;0.0016859,0.07065194836771851,0.04434805521186248,,insufficient,False,False,True,False
AADACL4,plastic,2,-0.0742718;0.300626,0.000126267;0.00112353,0.11317699683484092,0.0006248990731125281,,insufficient,False,False,True,False
AADACP1,hydrogel,2,0.131617;-0.0819361,-0.237589;-0.24377,0.024840633525700095,-0.24067959139668504,,insufficient,False,False,True,False
AADACP1,plastic,2,-0.175789;-0.421537,-0.0822604;-0.0411421,-0.29866316824278505,-0.061701245180224906,,insufficient,False,False,True,False
AADAT,hydrogel,2,-0.520547;-0.628314,-0.468416;-0.497837,-0.5744304314947044,-0.48312624754445466,0.15894733103305558,fully_retained,True,True,True,True
AADAT,plastic,2,-0.58146;-0.532828,-0.246089;-0.332719,-0.5571442420189507,-0.2894040175186303,0.4805581827967873,partially_retained,True,True,True,True
AAGAB,hydrogel,2,0.256229;0.413062,0.190152;0.271684,0.33464532000065006,0.2309182595879502,,insufficient,False,False,True,False
AAGAB,plastic,2,0.326793;0.297053,-0.0924465;-0.161356,0.31192303110749986,-0.12690126390735035,,insufficient,False,False,True,False
AAK1,hydrogel,2,0.028485;0.100293,-0.273957;-0.00753679,0.06438898968070461,-0.14074682417575612,,insufficient,False,False,True,False
AAK1,plastic,2,0.313796;0.0894413,0.550375;-0.0628832,0.20161886292455566,0.24374595999255977,,insufficient,False,False,False,False
AAMDC,hydrogel,2,-0.020879;-0.0233819,0.0132971;-0.0555129,-0.022130454240365083,-0.021107912453775413,,insufficient,False,False,False,False
AAMDC,plastic,2,-0.185872;-0.0310719,-0.135587;-0.20407,-0.1084721520015055,-0.16982837469778467,,insufficient,False,False,True,False
AAMP,hydrogel,2,-0.0410861;-0.147622,0.0679873;-0.00527513,-0.09435392700250045,0.03135606119610035,,insufficient,False,False,False,False
AAMP,plastic,2,-0.0757873;0.0239566,-0.0961463;-0.107467,-0.025915353416750442,-0.10180671471905,,insufficient,False,False,True,False
AANAT,hydrogel,2,-0.0906603;0.182911,-0.166485;0.0467066,0.04612546911407989,-0.05988919404357007,,insufficient,False,False,False,False
AANAT,plastic,2,0.18339;-0.219267,-0.373266;-0.187991,-0.01793839192497504,-0.280628700038825,,insufficient,False,False,True,False
AAR2,hydrogel,2,-0.197737;-0.172441,-0.0508732;-0.068759,-0.18508904420105043,-0.0598161205966008,,insufficient,False,False,True,False
AAR2,plastic,2,-0.145121;-0.21706,-0.031043;-0.103284,-0.18109079778385073,-0.06716360428434953,,insufficient,False,False,True,False
AARD,hydrogel,2,0.000533893;-0.041491,-0.287802;0.00224775,-0.0204785465623245,-0.14277707850399698,,insufficient,False,False,False,False
AARD,plastic,2,0.0104386;0.151676,0.00016837;0.0546087,0.08105705437335048,0.027388513085134993,,insufficient,False,False,True,False
AARS1,hydrogel,2,-0.0860565;-0.253071,0.103988;0.0945176,-0.16956398655459992,0.0992525824702506,,insufficient,False,False,True,False
AARS1,plastic,2,-0.130151;-0.048077,-0.0291019;0.00693308,-0.08911413601674933,-0.011084426618650056,,insufficient,False,False,False,False
AARS1P1,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
AARS1P1,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
AARS2,hydrogel,2,0.34826;0.0562631,0.022711;0.299628,0.2022613780589806,0.16116959176763057,,insufficient,False,False,True,False
AARS2,plastic,2,0.0575387;-0.202658,0.155224;-0.0866206,-0.0725598579210649,0.034301652951939765,,insufficient,False,False,False,False
AARSD1,hydrogel,2,-0.232504;0.21728,-0.0504426;-0.142494,-0.007611963386749743,-0.09646847891079968,,insufficient,False,False,True,False
AARSD1,plastic,2,-0.0995557;-0.0200328,0.191747;-0.14513,-0.05979426027594936,0.023308370712401327,,insufficient,False,False,False,False
AARSD1P1,hydrogel,2,-0.498761;-0.53943,0.0244193;-0.393598,-0.5190951581641601,-0.1845893493064945,0.6444017124734586,partially_retained,True,False,False,False
