contrast,program,genotype,environment,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b,treatment
rapamycin_within_genotype_environment,CORE1,TSC2ko,hydrogel,rapamycin,vehicle,2,2,9.936848855220457,9.881320790815558,0.05552806440489988,
rapamycin_within_genotype_environment,CORE1,TSC2ko,plastic,rapamycin,vehicle,2,2,10.942909838241558,10.524626520162816,0.41828331807874264,
rapamycin_within_genotype_environment,CORE1,WT,hydrogel,rapamycin,vehicle,2,2,9.71290435890544,9.937837956319703,-0.2249335974142621,
rapamycin_within_genotype_environment,CORE1,WT,plastic,rapamycin,vehicle,2,2,10.670426492837946,10.697332830877116,-0.026906338039170308,
rapamycin_within_genotype_environment,CORE2,TSC2ko,hydrogel,rapamycin,vehicle,2,2,6.657393325010524,7.47131487138255,-0.8139215463720255,
rapamycin_within_genotype_environment,CORE2,TSC2ko,plastic,rapamycin,vehicle,2,2,6.232633573474629,6.60593218301119,-0.3732986095365609,
rapamycin_within_genotype_environment,CORE2,WT,hydrogel,rapamycin,vehicle,2,2,6.709422680765681,6.7181562466601115,-0.008733565894430306,
rapamycin_within_genotype_environment,CORE2,WT,plastic,rapamycin,vehicle,2,2,6.132365363843779,6.251266353792958,-0.11890098994917864,
rapamycin_within_genotype_environment,CORE3_identity,TSC2ko,hydrogel,rapamycin,vehicle,2,2,7.778550836402522,8.113813963029191,-0.3352631266266686,
rapamycin_within_genotype_environment,CORE3_identity,TSC2ko,plastic,rapamycin,vehicle,2,2,7.64770682163007,7.454991224565214,0.19271559706485597,
rapamycin_within_genotype_environment,CORE3_identity,WT,hydrogel,rapamycin,vehicle,2,2,7.7733655436794535,7.825158792694504,-0.051793249015050336,
rapamycin_within_genotype_environment,CORE3_identity,WT,plastic,rapamycin,vehicle,2,2,7.602346191547893,7.545238844904636,0.05710734664325656,
rapamycin_within_genotype_environment,ECM_remodeling,TSC2ko,hydrogel,rapamycin,vehicle,2,2,14.891537632276975,14.96022659434695,-0.06868896206997555,
rapamycin_within_genotype_environment,ECM_remodeling,TSC2ko,plastic,rapamycin,vehicle,2,2,14.569863916369467,14.619091094373395,-0.049227178003928174,
rapamycin_within_genotype_environment,ECM_remodeling,WT,hydrogel,rapamycin,vehicle,2,2,14.761045523086516,14.606337940330334,0.15470758275618124,
rapamycin_within_genotype_environment,ECM_remodeling,WT,plastic,rapamycin,vehicle,2,2,14.533465396549966,14.566201577704184,-0.03273618115421861,
rapamycin_within_genotype_environment,HOX_PBX,TSC2ko,hydrogel,rapamycin,vehicle,2,2,9.706855356372087,9.44327074443587,0.2635846119362171,
rapamycin_within_genotype_environment,HOX_PBX,TSC2ko,plastic,rapamycin,vehicle,2,2,9.557365892794497,9.293502501494167,0.26386339130032965,
rapamycin_within_genotype_environment,HOX_PBX,WT,hydrogel,rapamycin,vehicle,2,2,8.710902443174854,8.601542602537332,0.1093598406375218,
rapamycin_within_genotype_environment,HOX_PBX,WT,plastic,rapamycin,vehicle,2,2,8.5345034932436,8.550311939841881,-0.015808446598281733,
rapamycin_within_genotype_environment,IL6_AT2_repair,TSC2ko,hydrogel,rapamycin,vehicle,2,2,7.414246627609355,7.904934455195161,-0.49068782758580554,
rapamycin_within_genotype_environment,IL6_AT2_repair,TSC2ko,plastic,rapamycin,vehicle,2,2,7.520049949512637,7.844737135370023,-0.3246871858573863,
rapamycin_within_genotype_environment,IL6_AT2_repair,WT,hydrogel,rapamycin,vehicle,2,2,7.002883668165492,7.124252389240958,-0.12136872107546637,
rapamycin_within_genotype_environment,IL6_AT2_repair,WT,plastic,rapamycin,vehicle,2,2,7.2935475849643066,7.418309364219779,-0.12476177925547205,
rapamycin_within_genotype_environment,IS_inflammatory,TSC2ko,hydrogel,rapamycin,vehicle,2,2,9.814016181100882,8.93230817767846,0.881708003422423,
rapamycin_within_genotype_environment,IS_inflammatory,TSC2ko,plastic,rapamycin,vehicle,2,2,8.935073327281284,8.681968842142258,0.2531044851390263,
rapamycin_within_genotype_environment,IS_inflammatory,WT,hydrogel,rapamycin,vehicle,2,2,9.163753240761299,9.055430315020642,0.10832292574065683,
rapamycin_within_genotype_environment,IS_inflammatory,WT,plastic,rapamycin,vehicle,2,2,8.649944571258949,8.670569337262116,-0.020624766003166428,
