program,environment,program_genes_in_matrix,eligible_genes,mean_suppression_fraction,fully_retained_genes,partially_retained_genes,enhanced_or_reprogrammed_genes,suppressed_genes,program_retention_candidate
CORE1,hydrogel,8,1,0.362025405929313,0,3,1,1,False
CORE1,plastic,8,3,0.5862080578800684,1,1,0,2,True
CORE2,hydrogel,7,2,0.903565791702416,0,0,0,2,False
CORE2,plastic,7,2,0.9480138674212021,0,0,0,3,False
CORE3_identity,hydrogel,6,1,0.8769077252527976,0,0,1,1,False
CORE3_identity,plastic,6,1,1.1204670999376656,0,0,0,1,False
LAM_myogenic_contractile,hydrogel,8,1,0.362025405929313,0,1,1,2,False
LAM_myogenic_contractile,plastic,8,2,0.5514738853848906,1,0,0,2,True
ECM_remodeling,hydrogel,11,5,0.3074137935791733,1,3,1,1,True
ECM_remodeling,plastic,11,2,0.19050708150325674,0,1,2,0,True
mTOR_translation,hydrogel,11,1,0.4863952992953928,0,1,0,0,False
mTOR_translation,plastic,11,0,,0,0,0,1,False
SLS_stem_like,hydrogel,10,2,0.18411837722084545,0,2,1,2,True
SLS_stem_like,plastic,10,1,0.4993801285045162,0,1,1,0,False
IS_inflammatory,hydrogel,10,5,1.370781240904806,0,1,1,4,False
IS_inflammatory,plastic,10,2,0.736208324179844,0,2,0,0,True
MDK_dormancy_persistence,hydrogel,10,4,0.5458741040151505,0,4,0,2,True
MDK_dormancy_persistence,plastic,10,5,0.6185890887077419,0,4,0,1,True
HOX_PBX,hydrogel,8,5,0.14593622075341725,1,2,2,0,True
HOX_PBX,plastic,8,4,0.1106567448945614,1,0,3,1,True
LAF_niche,hydrogel,10,4,0.9038735275478521,0,3,1,2,True
LAF_niche,plastic,10,5,0.5362062479614419,0,4,0,1,True
macrophage_TREM2_TYROBP,hydrogel,10,2,0.6513893451870887,0,3,0,0,True
macrophage_TREM2_TYROBP,plastic,10,2,0.6564178340116008,0,2,0,0,True
TGFbeta_fibroblast,hydrogel,8,1,0.23439938614409317,1,0,0,1,False
TGFbeta_fibroblast,plastic,8,3,0.35280443761645514,0,1,1,1,True
IL6_AT2_repair,hydrogel,10,3,0.5242376232210605,0,3,0,0,True
IL6_AT2_repair,plastic,10,3,0.6644140518695847,0,3,0,0,True
protease_ECM_niche,hydrogel,11,5,0.4799436610502587,2,4,0,1,True
protease_ECM_niche,plastic,11,3,0.35452140595985354,1,2,1,0,True
hormone_related,hydrogel,7,1,0.8338835560547758,0,0,0,1,False
hormone_related,plastic,7,1,0.8833436030870234,0,0,0,1,False
hypoxia_stress,hydrogel,10,7,0.6457414483499117,0,5,0,2,True
hypoxia_stress,plastic,10,7,0.7440448933558249,0,4,0,3,True
cell_cycle,hydrogel,8,3,2.2952117609554805,0,0,0,4,False
cell_cycle,plastic,8,1,0.9185962492710592,0,0,0,1,False
biomarker_VEGFD_PMEL_CCL14_MMP8,hydrogel,4,2,0.432619010898545,0,0,1,1,True
biomarker_VEGFD_PMEL_CCL14_MMP8,plastic,4,1,1.1204670999376656,0,0,0,2,False
lineage_uterine_smooth_muscle,hydrogel,8,1,0.362025405929313,0,1,1,2,False
lineage_uterine_smooth_muscle,plastic,8,2,0.5514738853848906,1,0,0,2,True
normal_lung_interstitial,hydrogel,8,3,0.5838924119277893,0,3,0,1,True
normal_lung_interstitial,plastic,8,4,0.269735746164262,0,3,1,0,True
