program,sample_id,available_genes,score,genotype,environment,treatment,replicate
CORE1,Pietrobon_S01,8,10.044138627875643,WT,hydrogel,vehicle,1
CORE1,Pietrobon_S02,8,10.024029453083497,TSC2ko,hydrogel,vehicle,1
CORE1,Pietrobon_S03,8,9.58303177079473,WT,hydrogel,rapamycin,1
CORE1,Pietrobon_S04,8,9.915557460569936,TSC2ko,hydrogel,rapamycin,1
CORE1,Pietrobon_S05,8,10.757946720908379,WT,plastic,vehicle,1
CORE1,Pietrobon_S06,8,10.442542677636318,TSC2ko,plastic,vehicle,1
CORE1,Pietrobon_S07,8,10.793183020679237,WT,plastic,rapamycin,1
CORE1,Pietrobon_S08,8,10.861769688394002,TSC2ko,plastic,rapamycin,1
CORE1,Pietrobon_S09,8,9.831537284763762,WT,hydrogel,vehicle,2
CORE1,Pietrobon_S10,8,9.738612128547617,TSC2ko,hydrogel,vehicle,2
CORE1,Pietrobon_S11,8,9.842776947016151,WT,hydrogel,rapamycin,2
CORE1,Pietrobon_S12,8,9.95814024987098,TSC2ko,hydrogel,rapamycin,2
CORE1,Pietrobon_S13,8,10.636718940845853,WT,plastic,vehicle,2
CORE1,Pietrobon_S14,8,10.606710362689315,TSC2ko,plastic,vehicle,2
CORE1,Pietrobon_S15,8,10.547669964996654,WT,plastic,rapamycin,2
CORE1,Pietrobon_S16,8,11.024049988089114,TSC2ko,plastic,rapamycin,2
CORE2,Pietrobon_S01,7,6.54483295516878,WT,hydrogel,vehicle,1
CORE2,Pietrobon_S02,7,7.457647381066599,TSC2ko,hydrogel,vehicle,1
CORE2,Pietrobon_S03,7,6.592825055631609,WT,hydrogel,rapamycin,1
CORE2,Pietrobon_S04,7,6.671803377595509,TSC2ko,hydrogel,rapamycin,1
CORE2,Pietrobon_S05,7,6.178540549288036,WT,plastic,vehicle,1
CORE2,Pietrobon_S06,7,6.517909537167676,TSC2ko,plastic,vehicle,1
CORE2,Pietrobon_S07,7,5.959636961818975,WT,plastic,rapamycin,1
CORE2,Pietrobon_S08,7,6.193105398906196,TSC2ko,plastic,rapamycin,1
CORE2,Pietrobon_S09,7,6.891479538151444,WT,hydrogel,vehicle,2
CORE2,Pietrobon_S10,7,7.4849823616985,TSC2ko,hydrogel,vehicle,2
CORE2,Pietrobon_S11,7,6.826020305899753,WT,hydrogel,rapamycin,2
CORE2,Pietrobon_S12,7,6.642983272425538,TSC2ko,hydrogel,rapamycin,2
CORE2,Pietrobon_S13,7,6.323992158297879,WT,plastic,vehicle,2
CORE2,Pietrobon_S14,7,6.693954828854705,TSC2ko,plastic,vehicle,2
CORE2,Pietrobon_S15,7,6.305093765868583,WT,plastic,rapamycin,2
CORE2,Pietrobon_S16,7,6.272161748043063,TSC2ko,plastic,rapamycin,2
CORE3_identity,Pietrobon_S01,6,7.74512629844464,WT,hydrogel,vehicle,1
CORE3_identity,Pietrobon_S02,6,8.081879059737206,TSC2ko,hydrogel,vehicle,1
CORE3_identity,Pietrobon_S03,6,7.739042899653224,WT,hydrogel,rapamycin,1
CORE3_identity,Pietrobon_S04,6,7.6969204315251565,TSC2ko,hydrogel,rapamycin,1
CORE3_identity,Pietrobon_S05,6,7.484333204012153,WT,plastic,vehicle,1
CORE3_identity,Pietrobon_S06,6,7.350932160378364,TSC2ko,plastic,vehicle,1
CORE3_identity,Pietrobon_S07,6,7.543878680507657,WT,plastic,rapamycin,1
CORE3_identity,Pietrobon_S08,6,7.600931305751356,TSC2ko,plastic,rapamycin,1
CORE3_identity,Pietrobon_S09,6,7.905191286944369,WT,hydrogel,vehicle,2
CORE3_identity,Pietrobon_S10,6,8.145748866321176,TSC2ko,hydrogel,vehicle,2
CORE3_identity,Pietrobon_S11,6,7.807688187705682,WT,hydrogel,rapamycin,2
CORE3_identity,Pietrobon_S12,6,7.860181241279888,TSC2ko,hydrogel,rapamycin,2
CORE3_identity,Pietrobon_S13,6,7.60614448579712,WT,plastic,vehicle,2
CORE3_identity,Pietrobon_S14,6,7.559050288752065,TSC2ko,plastic,vehicle,2
CORE3_identity,Pietrobon_S15,6,7.660813702588128,WT,plastic,rapamycin,2
CORE3_identity,Pietrobon_S16,6,7.694482337508784,TSC2ko,plastic,rapamycin,2
LAM_myogenic_contractile,Pietrobon_S01,8,10.70191455673565,WT,hydrogel,vehicle,1
LAM_myogenic_contractile,Pietrobon_S02,8,10.776699892654072,TSC2ko,hydrogel,vehicle,1
LAM_myogenic_contractile,Pietrobon_S03,8,10.136823188312725,WT,hydrogel,rapamycin,1
LAM_myogenic_contractile,Pietrobon_S04,8,10.649974377436664,TSC2ko,hydrogel,rapamycin,1
LAM_myogenic_contractile,Pietrobon_S05,8,11.617681471053762,WT,plastic,vehicle,1
LAM_myogenic_contractile,Pietrobon_S06,8,11.369919491694446,TSC2ko,plastic,vehicle,1
LAM_myogenic_contractile,Pietrobon_S07,8,11.68205916365865,WT,plastic,rapamycin,1
LAM_myogenic_contractile,Pietrobon_S08,8,11.772864174973455,TSC2ko,plastic,rapamycin,1
LAM_myogenic_contractile,Pietrobon_S09,8,10.34180514102832,WT,hydrogel,vehicle,2
LAM_myogenic_contractile,Pietrobon_S10,8,10.477845587772798,TSC2ko,hydrogel,vehicle,2
LAM_myogenic_contractile,Pietrobon_S11,8,10.370665809453833,WT,hydrogel,rapamycin,2
LAM_myogenic_contractile,Pietrobon_S12,8,10.649832686244675,TSC2ko,hydrogel,rapamycin,2
LAM_myogenic_contractile,Pietrobon_S13,8,11.442999189198112,WT,plastic,vehicle,2
LAM_myogenic_contractile,Pietrobon_S14,8,11.43876623262287,TSC2ko,plastic,vehicle,2
LAM_myogenic_contractile,Pietrobon_S15,8,11.37947841114536,WT,plastic,rapamycin,2
LAM_myogenic_contractile,Pietrobon_S16,8,11.874615250204116,TSC2ko,plastic,rapamycin,2
ECM_remodeling,Pietrobon_S01,11,14.519349473364072,WT,hydrogel,vehicle,1
ECM_remodeling,Pietrobon_S02,11,14.820559376648696,TSC2ko,hydrogel,vehicle,1
ECM_remodeling,Pietrobon_S03,11,14.698518977336356,WT,hydrogel,rapamycin,1
ECM_remodeling,Pietrobon_S04,11,14.695988902880993,TSC2ko,hydrogel,rapamycin,1
ECM_remodeling,Pietrobon_S05,11,14.481943254928881,WT,plastic,vehicle,1
ECM_remodeling,Pietrobon_S06,11,14.44343982216987,TSC2ko,plastic,vehicle,1
ECM_remodeling,Pietrobon_S07,11,14.412725352901338,WT,plastic,rapamycin,1
ECM_remodeling,Pietrobon_S08,11,14.441645066719719,TSC2ko,plastic,rapamycin,1
ECM_remodeling,Pietrobon_S09,11,14.693326407296597,WT,hydrogel,vehicle,2
ECM_remodeling,Pietrobon_S10,11,15.099893812045206,TSC2ko,hydrogel,vehicle,2
ECM_remodeling,Pietrobon_S11,11,14.823572068836675,WT,hydrogel,rapamycin,2
ECM_remodeling,Pietrobon_S12,11,15.08708636167296,TSC2ko,hydrogel,rapamycin,2
ECM_remodeling,Pietrobon_S13,11,14.65045990047949,WT,plastic,vehicle,2
ECM_remodeling,Pietrobon_S14,11,14.794742366576923,TSC2ko,plastic,vehicle,2
ECM_remodeling,Pietrobon_S15,11,14.654205440198593,WT,plastic,rapamycin,2
ECM_remodeling,Pietrobon_S16,11,14.698082766019214,TSC2ko,plastic,rapamycin,2
mTOR_translation,Pietrobon_S01,11,13.264069031826567,WT,hydrogel,vehicle,1
mTOR_translation,Pietrobon_S02,11,13.343103813465252,TSC2ko,hydrogel,vehicle,1
mTOR_translation,Pietrobon_S03,11,13.282694132634475,WT,hydrogel,rapamycin,1
mTOR_translation,Pietrobon_S04,11,13.423923569179236,TSC2ko,hydrogel,rapamycin,1
mTOR_translation,Pietrobon_S05,11,13.655027640472575,WT,plastic,vehicle,1
mTOR_translation,Pietrobon_S06,11,13.577728445006812,TSC2ko,plastic,vehicle,1
mTOR_translation,Pietrobon_S07,11,13.676827115425509,WT,plastic,rapamycin,1
mTOR_translation,Pietrobon_S08,11,13.70454648379241,TSC2ko,plastic,rapamycin,1
mTOR_translation,Pietrobon_S09,11,13.20923349154049,WT,hydrogel,vehicle,2
mTOR_translation,Pietrobon_S10,11,13.319348898560337,TSC2ko,hydrogel,vehicle,2
mTOR_translation,Pietrobon_S11,11,13.373574350654378,WT,hydrogel,rapamycin,2
mTOR_translation,Pietrobon_S12,11,13.489252376828462,TSC2ko,hydrogel,rapamycin,2
mTOR_translation,Pietrobon_S13,11,13.58509900900297,WT,plastic,vehicle,2
mTOR_translation,Pietrobon_S14,11,13.57011582547154,TSC2ko,plastic,vehicle,2
mTOR_translation,Pietrobon_S15,11,13.65047694168205,WT,plastic,rapamycin,2
mTOR_translation,Pietrobon_S16,11,13.72414841440098,TSC2ko,plastic,rapamycin,2
SLS_stem_like,Pietrobon_S01,10,7.113695745356918,WT,hydrogel,vehicle,1
SLS_stem_like,Pietrobon_S02,10,6.949068262258481,TSC2ko,hydrogel,vehicle,1
SLS_stem_like,Pietrobon_S03,10,6.961885560012559,WT,hydrogel,rapamycin,1
SLS_stem_like,Pietrobon_S04,10,7.160689155344095,TSC2ko,hydrogel,rapamycin,1
SLS_stem_like,Pietrobon_S05,10,7.057046465115947,WT,plastic,vehicle,1
SLS_stem_like,Pietrobon_S06,10,6.981554429166008,TSC2ko,plastic,vehicle,1
SLS_stem_like,Pietrobon_S07,10,7.0268786551460325,WT,plastic,rapamycin,1
SLS_stem_like,Pietrobon_S08,10,7.0694551942146475,TSC2ko,plastic,rapamycin,1
SLS_stem_like,Pietrobon_S09,10,7.125966113323194,WT,hydrogel,vehicle,2
SLS_stem_like,Pietrobon_S10,10,6.916851318630708,TSC2ko,hydrogel,vehicle,2
SLS_stem_like,Pietrobon_S11,10,7.063685797699231,WT,hydrogel,rapamycin,2
