program,sample_id,available_genes,score,cell_line,genotype,treatment
CORE1,103cell_siCtrl,8,9.235543911507005,103cell,TSC2-reexpressed,siCtrl
CORE1,103cell_siSTAT3,8,7.8026684264303565,103cell,TSC2-reexpressed,siSTAT3
CORE1,103cell_Rap,8,9.176150213177856,103cell,TSC2-reexpressed,Rap
CORE1,102cell_siCtrl,8,3.425545911972393,102cell,TSC2-null,siCtrl
CORE1,102cell_siSTAT3,8,3.2855172236100554,102cell,TSC2-null,siSTAT3
CORE1,102cell_Rap,8,3.5498066964593686,102cell,TSC2-null,Rap
CORE2,103cell_siCtrl,8,13.179251936966311,103cell,TSC2-reexpressed,siCtrl
CORE2,103cell_siSTAT3,8,13.41210230988359,103cell,TSC2-reexpressed,siSTAT3
CORE2,103cell_Rap,8,16.88039536798172,103cell,TSC2-reexpressed,Rap
CORE2,102cell_siCtrl,8,2.0210501569015755,102cell,TSC2-null,siCtrl
CORE2,102cell_siSTAT3,8,2.1204534527008394,102cell,TSC2-null,siSTAT3
CORE2,102cell_Rap,8,0.7589679083982015,102cell,TSC2-null,Rap
CORE3_identity,103cell_siCtrl,7,4.424916234272332,103cell,TSC2-reexpressed,siCtrl
CORE3_identity,103cell_siSTAT3,7,4.372448375644038,103cell,TSC2-reexpressed,siSTAT3
CORE3_identity,103cell_Rap,7,6.031899315977582,103cell,TSC2-reexpressed,Rap
CORE3_identity,102cell_siCtrl,7,1.0678226758937943,102cell,TSC2-null,siCtrl
CORE3_identity,102cell_siSTAT3,7,1.0396842897742717,102cell,TSC2-null,siSTAT3
CORE3_identity,102cell_Rap,7,2.1434956182725977,102cell,TSC2-null,Rap
LAM_myogenic_contractile,103cell_siCtrl,8,31.836390007388744,103cell,TSC2-reexpressed,siCtrl
LAM_myogenic_contractile,103cell_siSTAT3,8,25.56262586288869,103cell,TSC2-reexpressed,siSTAT3
LAM_myogenic_contractile,103cell_Rap,8,32.84251931526119,103cell,TSC2-reexpressed,Rap
LAM_myogenic_contractile,102cell_siCtrl,8,8.069831484993225,102cell,TSC2-null,siCtrl
LAM_myogenic_contractile,102cell_siSTAT3,8,7.538730300276722,102cell,TSC2-null,siSTAT3
LAM_myogenic_contractile,102cell_Rap,8,5.3989476115635355,102cell,TSC2-null,Rap
ECM_remodeling,103cell_siCtrl,11,29.421783990552036,103cell,TSC2-reexpressed,siCtrl
ECM_remodeling,103cell_siSTAT3,11,27.018589445498947,103cell,TSC2-reexpressed,siSTAT3
ECM_remodeling,103cell_Rap,11,36.50780702851363,103cell,TSC2-reexpressed,Rap
ECM_remodeling,102cell_siCtrl,11,46.435323473032646,102cell,TSC2-null,siCtrl
ECM_remodeling,102cell_siSTAT3,11,42.3781151442147,102cell,TSC2-null,siSTAT3
ECM_remodeling,102cell_Rap,11,100.81359572135912,102cell,TSC2-null,Rap
mTOR_translation,103cell_siCtrl,11,65.49952639313855,103cell,TSC2-reexpressed,siCtrl
mTOR_translation,103cell_siSTAT3,11,69.49918088049287,103cell,TSC2-reexpressed,siSTAT3
mTOR_translation,103cell_Rap,11,69.26347707287339,103cell,TSC2-reexpressed,Rap
mTOR_translation,102cell_siCtrl,11,118.41426475289144,102cell,TSC2-null,siCtrl
mTOR_translation,102cell_siSTAT3,11,129.20947000426702,102cell,TSC2-null,siSTAT3
mTOR_translation,102cell_Rap,11,162.95951895917966,102cell,TSC2-null,Rap
SLS_stem_like,103cell_siCtrl,10,3.381865760126457,103cell,TSC2-reexpressed,siCtrl
SLS_stem_like,103cell_siSTAT3,10,3.391465288975863,103cell,TSC2-reexpressed,siSTAT3
SLS_stem_like,103cell_Rap,10,4.821268201923077,103cell,TSC2-reexpressed,Rap
SLS_stem_like,102cell_siCtrl,10,1.8448525740603912,102cell,TSC2-null,siCtrl
SLS_stem_like,102cell_siSTAT3,10,1.7771645091343473,102cell,TSC2-null,siSTAT3
SLS_stem_like,102cell_Rap,10,2.117824523241841,102cell,TSC2-null,Rap
IS_inflammatory,103cell_siCtrl,10,10.658798663883477,103cell,TSC2-reexpressed,siCtrl
IS_inflammatory,103cell_siSTAT3,10,10.920653871035352,103cell,TSC2-reexpressed,siSTAT3
IS_inflammatory,103cell_Rap,10,19.33322691742424,103cell,TSC2-reexpressed,Rap
IS_inflammatory,102cell_siCtrl,10,3.857645791509114,102cell,TSC2-null,siCtrl
IS_inflammatory,102cell_siSTAT3,10,4.051809529464007,102cell,TSC2-null,siSTAT3
IS_inflammatory,102cell_Rap,10,3.000927570587476,102cell,TSC2-null,Rap
MDK_dormancy_persistence,103cell_siCtrl,10,12.41065013967894,103cell,TSC2-reexpressed,siCtrl
MDK_dormancy_persistence,103cell_siSTAT3,10,11.300186450659895,103cell,TSC2-reexpressed,siSTAT3
MDK_dormancy_persistence,103cell_Rap,10,13.377951672420911,103cell,TSC2-reexpressed,Rap
MDK_dormancy_persistence,102cell_siCtrl,10,8.400880643806584,102cell,TSC2-null,siCtrl
MDK_dormancy_persistence,102cell_siSTAT3,10,8.059350995850323,102cell,TSC2-null,siSTAT3
MDK_dormancy_persistence,102cell_Rap,10,7.499954612905983,102cell,TSC2-null,Rap
HOX_PBX,103cell_siCtrl,8,4.709112770636512,103cell,TSC2-reexpressed,siCtrl
HOX_PBX,103cell_siSTAT3,8,4.6795846751235874,103cell,TSC2-reexpressed,siSTAT3
HOX_PBX,103cell_Rap,8,4.984986002916419,103cell,TSC2-reexpressed,Rap
HOX_PBX,102cell_siCtrl,8,5.743571595763456,102cell,TSC2-null,siCtrl
HOX_PBX,102cell_siSTAT3,8,5.822387727644088,102cell,TSC2-null,siSTAT3
HOX_PBX,102cell_Rap,8,5.813316441005645,102cell,TSC2-null,Rap
LAF_niche,103cell_siCtrl,10,4.285555888967033,103cell,TSC2-reexpressed,siCtrl
LAF_niche,103cell_siSTAT3,10,3.7562017727948716,103cell,TSC2-reexpressed,siSTAT3
LAF_niche,103cell_Rap,10,5.134067220073993,103cell,TSC2-reexpressed,Rap
LAF_niche,102cell_siCtrl,10,6.604596923892112,102cell,TSC2-null,siCtrl
LAF_niche,102cell_siSTAT3,10,6.534071879250915,102cell,TSC2-null,siSTAT3
LAF_niche,102cell_Rap,10,5.448598872684982,102cell,TSC2-null,Rap
macrophage_TREM2_TYROBP,103cell_siCtrl,10,2.7323198140721248,103cell,TSC2-reexpressed,siCtrl
macrophage_TREM2_TYROBP,103cell_siSTAT3,10,2.5704246149721612,103cell,TSC2-reexpressed,siSTAT3
macrophage_TREM2_TYROBP,103cell_Rap,10,3.7862030038553116,103cell,TSC2-reexpressed,Rap
macrophage_TREM2_TYROBP,102cell_siCtrl,10,0.5156047974212454,102cell,TSC2-null,siCtrl
macrophage_TREM2_TYROBP,102cell_siSTAT3,10,0.5071894499084248,102cell,TSC2-null,siSTAT3
macrophage_TREM2_TYROBP,102cell_Rap,10,0.2108000723159969,102cell,TSC2-null,Rap
TGFbeta_fibroblast,103cell_siCtrl,9,29.444623014387464,103cell,TSC2-reexpressed,siCtrl
TGFbeta_fibroblast,103cell_siSTAT3,9,24.873167522649574,103cell,TSC2-reexpressed,siSTAT3
TGFbeta_fibroblast,103cell_Rap,9,30.43239722711111,103cell,TSC2-reexpressed,Rap
TGFbeta_fibroblast,102cell_siCtrl,9,9.397714323247861,102cell,TSC2-null,siCtrl
TGFbeta_fibroblast,102cell_siSTAT3,9,8.666323208433049,102cell,TSC2-null,siSTAT3
TGFbeta_fibroblast,102cell_Rap,9,6.381448795099715,102cell,TSC2-null,Rap
IL6_AT2_repair,103cell_siCtrl,10,2.5489179437896827,103cell,TSC2-reexpressed,siCtrl
IL6_AT2_repair,103cell_siSTAT3,10,2.171876469831349,103cell,TSC2-reexpressed,siSTAT3
IL6_AT2_repair,103cell_Rap,10,3.4302536874976193,103cell,TSC2-reexpressed,Rap
IL6_AT2_repair,102cell_siCtrl,10,3.5988373726944447,102cell,TSC2-null,siCtrl
IL6_AT2_repair,102cell_siSTAT3,10,3.3934565026388888,102cell,TSC2-null,siSTAT3
IL6_AT2_repair,102cell_Rap,10,4.5799141004464285,102cell,TSC2-null,Rap
protease_ECM_niche,103cell_siCtrl,11,37.96913942779311,103cell,TSC2-reexpressed,siCtrl
protease_ECM_niche,103cell_siSTAT3,11,35.68827273264463,103cell,TSC2-reexpressed,siSTAT3
protease_ECM_niche,103cell_Rap,11,50.56740723630413,103cell,TSC2-reexpressed,Rap
protease_ECM_niche,102cell_siCtrl,11,38.111961545162195,102cell,TSC2-null,siCtrl
protease_ECM_niche,102cell_siSTAT3,11,34.91007731661994,102cell,TSC2-null,siSTAT3
protease_ECM_niche,102cell_Rap,11,96.55566816278885,102cell,TSC2-null,Rap
hormone_related,103cell_siCtrl,7,0.8743202844469256,103cell,TSC2-reexpressed,siCtrl
hormone_related,103cell_siSTAT3,7,0.829462253752466,103cell,TSC2-reexpressed,siSTAT3
hormone_related,103cell_Rap,7,0.7752667591025969,103cell,TSC2-reexpressed,Rap
hormone_related,102cell_siCtrl,7,0.26404778448408955,102cell,TSC2-null,siCtrl
hormone_related,102cell_siSTAT3,7,0.2457039117452917,102cell,TSC2-null,siSTAT3
