pool,dataset,program,n_pairwise_matches_ge_threshold,n_matches_with_different_patient_sets,matched_datasets,max_top_gene_jaccard,classification
high_confidence,GSE135851_core,program_1,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
high_confidence,GSE135851_core,program_2,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
high_confidence,GSE135851_core,program_3,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
high_confidence,GSE190260,program_1,0,0,,0.13636363636363635,same_cohort_or_same_patient_overlap_only
high_confidence,GSE190260,program_2,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
high_confidence,GSE190260,program_3,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
high_confidence,GSE190260,program_4,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
high_confidence,GSE190260,program_5,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_1,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_2,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_3,0,0,,0.1111111111111111,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_4,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_5,0,0,,0.06382978723404255,same_cohort_or_same_patient_overlap_only
high_confidence,GSE217108,program_6,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_1,0,0,,0.1111111111111111,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_2,0,0,,0.13636363636363635,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_3,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_4,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_5,0,0,,0.06382978723404255,same_cohort_or_same_patient_overlap_only
high_confidence,GSE302356,program_6,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE135851_core,program_1,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE135851_core,program_2,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE135851_core,program_3,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_1,0,0,,0.08695652173913043,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_2,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_3,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_4,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_5,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE190260,program_6,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE217108,program_1,1,0,GSE302356,0.21951219512195122,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE217108,program_2,0,0,,0.07526881720430108,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE217108,program_3,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE217108,program_4,1,0,GSE302356,0.21951219512195122,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE217108,program_5,0,0,,0.05263157894736842,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE302356,program_1,0,0,,0.07526881720430108,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE302356,program_2,0,0,,0.08695652173913043,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE302356,program_3,0,0,,0.010101010101010102,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE302356,program_4,1,0,GSE217108,0.21951219512195122,same_cohort_or_same_patient_overlap_only
broad_lam_like,GSE302356,program_5,1,0,GSE217108,0.21951219512195122,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE135851_core,program_1,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE135851_core,program_2,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE135851_core,program_3,0,0,,0.02040816326530612,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE190260,program_1,0,0,,0.030927835051546393,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE190260,program_2,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE190260,program_3,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE190260,program_4,0,0,,0.0989010989010989,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE190260,program_5,0,0,,0.010101010101010102,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_1,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_2,0,0,,0.0,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_3,0,0,,0.010101010101010102,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_4,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_5,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE217108,program_6,0,0,,0.07526881720430108,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE302356,program_1,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE302356,program_2,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE302356,program_3,0,0,,0.041666666666666664,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE302356,program_4,0,0,,0.07526881720430108,same_cohort_or_same_patient_overlap_only
unrestricted_lam,GSE302356,program_5,0,0,,0.0989010989010989,same_cohort_or_same_patient_overlap_only
