pool,dataset_left,program_left,dataset_right,program_right,top_gene_jaccard,shared_genes,patient_id_overlap,independence_note
high_confidence,GSE135851_core,program_1,GSE190260,program_5,0.030927835051546393,"HOXA10,SMAD2,TREM2",,different_patient_sets
high_confidence,GSE135851_core,program_2,GSE190260,program_3,0.041666666666666664,"CXCR4,RPS3,SERPINA1,TIMP2",,different_patient_sets
high_confidence,GSE135851_core,program_3,GSE190260,program_1,0.02040816326530612,"IFI27,RPLP0",,different_patient_sets
high_confidence,GSE135851_core,program_1,GSE217108,program_1,0.02040816326530612,"HEG1,TAGLN",,different_patient_sets
high_confidence,GSE135851_core,program_2,GSE217108,program_2,0.010101010101010102,PBX1,,different_patient_sets
high_confidence,GSE135851_core,program_3,GSE217108,program_3,0.010101010101010102,TGFBR1,,different_patient_sets
high_confidence,GSE135851_core,program_1,GSE302356,program_1,0.010101010101010102,DLC1,LAM3,same_patient_overlap_present
high_confidence,GSE135851_core,program_2,GSE302356,program_2,0.010101010101010102,RPS3,LAM3,same_patient_overlap_present
high_confidence,GSE135851_core,program_3,GSE302356,program_3,0.030927835051546393,"CALD1,SPTBN1,TCF4",LAM3,same_patient_overlap_present
high_confidence,GSE190260,program_1,GSE217108,program_4,0.041666666666666664,"FN1,HSPA1A,PABPC1,RPL3",,different_patient_sets
high_confidence,GSE190260,program_2,GSE217108,program_6,0.02040816326530612,"COL1A2,COL4A1",,different_patient_sets
high_confidence,GSE190260,program_3,GSE217108,program_3,0.010101010101010102,HLA-C,,different_patient_sets
high_confidence,GSE190260,program_4,GSE217108,program_5,0.010101010101010102,TMSB10,,different_patient_sets
high_confidence,GSE190260,program_5,GSE217108,program_2,0.0,,,different_patient_sets
high_confidence,GSE190260,program_1,GSE302356,program_2,0.13636363636363635,"CALM1,CFL1,DSTN,GAPDH,HSP90AA1,HSP90AB1,MALAT1,RPL3,RPLP0,RPS3,RPS6,YBX1",,different_patient_sets
high_confidence,GSE190260,program_2,GSE302356,program_3,0.02040816326530612,"COL4A1,MALAT1",,different_patient_sets
