pool,donor_id,candidate_program,gene,weight,rank_position,selected_rank,selected_seed,n_cells
high_confidence,LAM1,program_1,GREB1,6.376025676727295,1,3,0,75
high_confidence,LAM1,program_1,SYNE2,4.600302219390869,2,3,0,75
high_confidence,LAM1,program_1,RPLP0,4.375552177429199,3,3,0,75
high_confidence,LAM1,program_1,FN1,4.325683116912842,4,3,0,75
high_confidence,LAM1,program_1,SERPINB3,4.197857856750488,5,3,0,75
high_confidence,LAM1,program_1,HOXA9,3.399794816970825,6,3,0,75
high_confidence,LAM1,program_1,SAMD3,3.174415349960327,7,3,0,75
high_confidence,LAM1,program_1,PI16,3.1543171405792236,8,3,0,75
high_confidence,LAM1,program_1,ADAMTS5,3.151527166366577,9,3,0,75
high_confidence,LAM1,program_1,ESR1,3.1240017414093018,10,3,0,75
high_confidence,LAM1,program_1,SMAD3,3.1016666889190674,11,3,0,75
high_confidence,LAM1,program_1,RPS6,2.7957775592803955,12,3,0,75
high_confidence,LAM1,program_1,SLC9A3R2,2.4116992950439453,13,3,0,75
high_confidence,LAM1,program_1,TAGLN,2.3770086765289307,14,3,0,75
high_confidence,LAM1,program_1,CHI3L1,2.3554227352142334,15,3,0,75
high_confidence,LAM1,program_1,LAMA4,2.3482284545898438,16,3,0,75
high_confidence,LAM1,program_1,SOX2,2.288910150527954,17,3,0,75
high_confidence,LAM1,program_1,TUBA4A,2.232966184616089,18,3,0,75
high_confidence,LAM1,program_1,HOXA10,2.202998399734497,19,3,0,75
high_confidence,LAM1,program_1,FMO2,2.146357774734497,20,3,0,75
high_confidence,LAM1,program_1,KCNK3,1.9322514533996582,21,3,0,75
high_confidence,LAM1,program_1,NANOG,1.7899812459945679,22,3,0,75
high_confidence,LAM1,program_1,ADRB1,1.7759839296340942,23,3,0,75
high_confidence,LAM1,program_1,TPM1,1.7286131381988525,24,3,0,75
high_confidence,LAM1,program_1,ADAMTS1,1.7238438129425049,25,3,0,75
high_confidence,LAM1,program_1,LRRC46,1.6268209218978882,26,3,0,75
high_confidence,LAM1,program_1,LRRC48,1.621220350265503,27,3,0,75
high_confidence,LAM1,program_1,RNASE1,1.5939527750015259,28,3,0,75
high_confidence,LAM1,program_1,FKBP11,1.5739171504974365,29,3,0,75
high_confidence,LAM1,program_1,PF4,1.5461102724075317,30,3,0,75
high_confidence,LAM1,program_1,CYYR1,1.4810621738433838,31,3,0,75
high_confidence,LAM1,program_1,SPTBN1,1.4604473114013672,32,3,0,75
high_confidence,LAM1,program_1,PTN,1.4323676824569702,33,3,0,75
high_confidence,LAM1,program_1,PTGIS,1.4047744274139404,34,3,0,75
high_confidence,LAM1,program_1,CCNB1,1.3841090202331543,35,3,0,75
high_confidence,LAM1,program_1,CD226,1.3811616897583008,36,3,0,75
high_confidence,LAM1,program_1,BCL11B,1.3503532409667969,37,3,0,75
high_confidence,LAM1,program_1,SH2D1B,1.350028395652771,38,3,0,75
high_confidence,LAM1,program_1,ESR2,1.346996545791626,39,3,0,75
high_confidence,LAM1,program_1,AKT1,1.3114625215530396,40,3,0,75
high_confidence,LAM1,program_1,KRT15,1.3044402599334717,41,3,0,75
high_confidence,LAM1,program_1,COL18A1,1.2963206768035889,42,3,0,75
high_confidence,LAM1,program_1,RAPGEF5,1.2860990762710571,43,3,0,75
high_confidence,LAM1,program_1,HEY1,1.2687969207763672,44,3,0,75
high_confidence,LAM1,program_1,SERPINF1,1.2686774730682373,45,3,0,75
high_confidence,LAM1,program_1,GPR116,1.2643777132034302,46,3,0,75
high_confidence,LAM1,program_1,HBG1,1.2590972185134888,47,3,0,75
high_confidence,LAM1,program_1,DTHD1,1.1691734790802002,48,3,0,75
high_confidence,LAM1,program_1,PROM1,1.1659131050109863,49,3,0,75
