pool,donor_id,donor_program,donor_rank,best_pooled_program,top_gene_jaccard,independently_discovered,n_cells
high_confidence,LAM1110,program_1,6,program_1,0.06382978723404255,False,125
high_confidence,LAM1110,program_2,6,program_4,0.08695652173913043,False,125
high_confidence,LAM1110,program_3,6,program_1,0.07526881720430108,False,125
high_confidence,LAM1110,program_4,6,program_4,0.1111111111111111,False,125
high_confidence,LAM1110,program_5,6,program_5,0.06382978723404255,False,125
high_confidence,LAM1110,program_6,6,program_5,0.07526881720430108,False,125
high_confidence,LAM1158,program_1,6,program_4,0.0989010989010989,False,183
high_confidence,LAM1158,program_2,6,program_3,0.05263157894736842,False,183
high_confidence,LAM1158,program_3,6,program_4,0.08695652173913043,False,183
high_confidence,LAM1158,program_4,6,program_3,0.0989010989010989,False,183
high_confidence,LAM1158,program_5,6,program_4,0.06382978723404255,False,183
high_confidence,LAM1158,program_6,6,program_1,0.08695652173913043,False,183
high_confidence,LAM1163,program_1,6,program_4,0.08695652173913043,False,509
high_confidence,LAM1163,program_2,6,program_3,0.13636363636363635,False,509
high_confidence,LAM1163,program_3,6,program_2,0.06382978723404255,False,509
high_confidence,LAM1163,program_4,6,program_4,0.07526881720430108,False,509
high_confidence,LAM1163,program_5,6,program_1,0.05263157894736842,False,509
high_confidence,LAM1163,program_6,6,program_1,0.0989010989010989,False,509
high_confidence,LAM1164,program_1,6,program_5,0.1111111111111111,False,747
high_confidence,LAM1164,program_2,6,program_3,0.12359550561797752,False,747
high_confidence,LAM1164,program_3,6,program_2,0.12359550561797752,False,747
high_confidence,LAM1164,program_4,6,program_1,0.1111111111111111,False,747
high_confidence,LAM1164,program_5,6,program_5,0.1111111111111111,False,747
high_confidence,LAM1164,program_6,6,program_4,0.08695652173913043,False,747
broad_lam_like,LAM1110,program_1,6,program_3,0.08695652173913043,False,428
broad_lam_like,LAM1110,program_2,6,program_3,0.07526881720430108,False,428
broad_lam_like,LAM1110,program_3,6,program_3,0.12359550561797752,False,428
broad_lam_like,LAM1110,program_4,6,program_3,0.12359550561797752,False,428
broad_lam_like,LAM1110,program_5,6,program_1,0.08695652173913043,False,428
broad_lam_like,LAM1110,program_6,6,program_3,0.12359550561797752,False,428
broad_lam_like,LAM1158,program_1,6,program_1,0.06382978723404255,False,626
broad_lam_like,LAM1158,program_2,6,program_5,0.07526881720430108,False,626
broad_lam_like,LAM1158,program_3,6,program_5,0.16279069767441862,True,626
broad_lam_like,LAM1158,program_4,6,program_3,0.1111111111111111,False,626
broad_lam_like,LAM1158,program_5,6,program_3,0.1111111111111111,False,626
broad_lam_like,LAM1158,program_6,6,program_5,0.1111111111111111,False,626
broad_lam_like,LAM1163,program_1,6,program_6,0.12359550561797752,False,1500
broad_lam_like,LAM1163,program_2,6,program_4,0.0989010989010989,False,1500
broad_lam_like,LAM1163,program_3,6,program_2,0.0989010989010989,False,1500
broad_lam_like,LAM1163,program_4,6,program_6,0.12359550561797752,False,1500
broad_lam_like,LAM1163,program_5,6,program_2,0.0989010989010989,False,1500
broad_lam_like,LAM1163,program_6,6,program_2,0.0989010989010989,False,1500
broad_lam_like,LAM1164,program_1,5,program_1,0.06382978723404255,False,1500
broad_lam_like,LAM1164,program_2,5,program_5,0.08695652173913043,False,1500
broad_lam_like,LAM1164,program_3,5,program_2,0.06382978723404255,False,1500
broad_lam_like,LAM1164,program_4,5,program_3,0.06382978723404255,False,1500
broad_lam_like,LAM1164,program_5,5,program_6,0.0989010989010989,False,1500
unrestricted_lam,LAM1110,program_1,5,program_5,0.1111111111111111,False,327
unrestricted_lam,LAM1110,program_2,5,program_1,0.0989010989010989,False,327
unrestricted_lam,LAM1110,program_3,5,program_1,0.0989010989010989,False,327
unrestricted_lam,LAM1110,program_4,5,program_1,0.06382978723404255,False,327
unrestricted_lam,LAM1110,program_5,5,program_2,0.0989010989010989,False,327
unrestricted_lam,LAM1158,program_1,5,program_1,0.0989010989010989,False,346
unrestricted_lam,LAM1158,program_2,5,program_1,0.08695652173913043,False,346
unrestricted_lam,LAM1158,program_3,5,program_5,0.1111111111111111,False,346
unrestricted_lam,LAM1158,program_4,5,program_2,0.0989010989010989,False,346
unrestricted_lam,LAM1158,program_5,5,program_5,0.0989010989010989,False,346
unrestricted_lam,LAM1163,program_1,6,program_2,0.16279069767441862,True,1500
unrestricted_lam,LAM1163,program_2,6,program_1,0.12359550561797752,False,1500
unrestricted_lam,LAM1163,program_3,6,program_5,0.12359550561797752,False,1500
unrestricted_lam,LAM1163,program_4,6,program_5,0.14942528735632185,False,1500
unrestricted_lam,LAM1163,program_5,6,program_3,0.12359550561797752,False,1500
unrestricted_lam,LAM1163,program_6,6,program_3,0.14942528735632185,False,1500
unrestricted_lam,LAM1164,program_1,4,program_5,0.0989010989010989,False,1500
unrestricted_lam,LAM1164,program_2,4,program_5,0.12359550561797752,False,1500
unrestricted_lam,LAM1164,program_3,4,program_2,0.13636363636363635,False,1500
unrestricted_lam,LAM1164,program_4,4,program_5,0.17647058823529413,True,1500
