pool,donor_id,candidate_program,gene,weight,rank_position,selected_rank,selected_seed,n_cells
high_confidence,LAM1110,program_1,TXN,3.8721847534179688,1,6,0,125
high_confidence,LAM1110,program_1,CXCL14,3.773205041885376,2,6,0,125
high_confidence,LAM1110,program_1,NDRG1,3.2059473991394043,3,6,0,125
high_confidence,LAM1110,program_1,TPM2,3.013672113418579,4,6,0,125
high_confidence,LAM1110,program_1,H3F3A,2.7941250801086426,5,6,0,125
high_confidence,LAM1110,program_1,PDGFRA,2.7500710487365723,6,6,0,125
high_confidence,LAM1110,program_1,EMP3,2.6782612800598145,7,6,0,125
high_confidence,LAM1110,program_1,MGST1,2.661625385284424,8,6,0,125
high_confidence,LAM1110,program_1,TSPAN3,2.601769208908081,9,6,0,125
high_confidence,LAM1110,program_1,YBX3,2.5417287349700928,10,6,0,125
high_confidence,LAM1110,program_1,DES,2.5114190578460693,11,6,0,125
high_confidence,LAM1110,program_1,MTOR,2.3894131183624268,12,6,0,125
high_confidence,LAM1110,program_1,ATP5J,2.3762221336364746,13,6,0,125
high_confidence,LAM1110,program_1,FXYD5,2.2223663330078125,14,6,0,125
high_confidence,LAM1110,program_1,RPS6,2.1105597019195557,15,6,0,125
high_confidence,LAM1110,program_1,ID2,2.096517562866211,16,6,0,125
high_confidence,LAM1110,program_1,AES,2.0845327377319336,17,6,0,125
high_confidence,LAM1110,program_1,GRB2,2.0700957775115967,18,6,0,125
high_confidence,LAM1110,program_1,TRIB1,2.0344693660736084,19,6,0,125
high_confidence,LAM1110,program_1,C7,2.025106430053711,20,6,0,125
high_confidence,LAM1110,program_1,BTG2,1.9707367420196533,21,6,0,125
high_confidence,LAM1110,program_1,DPPA4,1.9375452995300293,22,6,0,125
high_confidence,LAM1110,program_1,FYB,1.883098840713501,23,6,0,125
high_confidence,LAM1110,program_1,GNG5,1.828892707824707,24,6,0,125
high_confidence,LAM1110,program_1,SCP2,1.7903445959091187,25,6,0,125
high_confidence,LAM1110,program_1,TYR,1.7237788438796997,26,6,0,125
high_confidence,LAM1110,program_1,NDUFA1,1.7102822065353394,27,6,0,125
high_confidence,LAM1110,program_1,KLF5,1.6457182168960571,28,6,0,125
high_confidence,LAM1110,program_1,PABPC1,1.6441993713378906,29,6,0,125
high_confidence,LAM1110,program_1,ARL6IP5,1.6236377954483032,30,6,0,125
high_confidence,LAM1110,program_1,NFKBIZ,1.6023117303848267,31,6,0,125
high_confidence,LAM1110,program_1,ACTA2,1.5838298797607422,32,6,0,125
high_confidence,LAM1110,program_1,LDHA,1.5828152894973755,33,6,0,125
high_confidence,LAM1110,program_1,RBM3,1.5809038877487183,34,6,0,125
high_confidence,LAM1110,program_1,SOD1,1.5685690641403198,35,6,0,125
high_confidence,LAM1110,program_1,TUBB4B,1.566637635231018,36,6,0,125
high_confidence,LAM1110,program_1,PPDPF,1.5639055967330933,37,6,0,125
high_confidence,LAM1110,program_1,UBL5,1.5481810569763184,38,6,0,125
high_confidence,LAM1110,program_1,ACSL1,1.540470838546753,39,6,0,125
high_confidence,LAM1110,program_1,NDUFA4,1.5378565788269043,40,6,0,125
high_confidence,LAM1110,program_1,ATP5G2,1.5290764570236206,41,6,0,125
high_confidence,LAM1110,program_1,IRF1,1.526530146598816,42,6,0,125
high_confidence,LAM1110,program_1,ACP5,1.5153268575668335,43,6,0,125
high_confidence,LAM1110,program_1,CD3E,1.495543122291565,44,6,0,125
high_confidence,LAM1110,program_1,ASAH1,1.4909071922302246,45,6,0,125
high_confidence,LAM1110,program_1,CAPZB,1.485728144645691,46,6,0,125
high_confidence,LAM1110,program_1,PFDN5,1.4846796989440918,47,6,0,125
high_confidence,LAM1110,program_1,SLC25A3,1.4846160411834717,48,6,0,125
high_confidence,LAM1110,program_1,C19ORF24,1.454667329788208,49,6,0,125
high_confidence,LAM1110,program_1,ATP5E,1.4516664743423462,50,6,0,125
high_confidence,LAM1110,program_2,C1QB,2.609748125076294,1,6,0,125
high_confidence,LAM1110,program_2,EGLN3,2.5092616081237793,2,6,0,125
high_confidence,LAM1110,program_2,TXN,2.4114155769348145,3,6,0,125
high_confidence,LAM1110,program_2,ATP5E,2.31280517578125,4,6,0,125
high_confidence,LAM1110,program_2,TBRG1,2.284716844558716,5,6,0,125
high_confidence,LAM1110,program_2,MMP9,2.112959623336792,6,6,0,125
high_confidence,LAM1110,program_2,BTF3,1.8059567213058472,7,6,0,125
high_confidence,LAM1110,program_2,ATP5J,1.691076636314392,8,6,0,125
high_confidence,LAM1110,program_2,HSPB1,1.670846700668335,9,6,0,125
high_confidence,LAM1110,program_2,EMP3,1.6473201513290405,10,6,0,125
high_confidence,LAM1110,program_2,LPP,1.5664105415344238,11,6,0,125
high_confidence,LAM1110,program_2,AES,1.565610647201538,12,6,0,125
high_confidence,LAM1110,program_2,BCL2A1,1.5616521835327148,13,6,0,125
high_confidence,LAM1110,program_2,DPPA4,1.5539822578430176,14,6,0,125
