pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_1,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.28474531003716563
high_confidence,program_2,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,0.41666087191735307
high_confidence,program_3,CORE1,LAMCORE-specific,established,gene_set,1,COL4A1,0.017543859649122806,0.37821247334808694
high_confidence,program_4,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.22514935948192127
high_confidence,program_5,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.24947904655703873
high_confidence,program_6,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.12262204001995532
high_confidence,program_1,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.17705497667354658
high_confidence,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.07503193442593667
high_confidence,program_3,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.14439593555947058
high_confidence,program_4,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.25473273701382504
high_confidence,program_5,CORE2,LAMCORE-specific,established,gene_set,1,MITF,0.017857142857142856,0.39483129718135473
high_confidence,program_6,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.21609186053865462
high_confidence,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.2527712637484282
high_confidence,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.0037206789143168846
high_confidence,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.4434877232575898
high_confidence,program_4,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.19910751874334706
high_confidence,program_5,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,MITF,0.01818181818181818,0.12501586097603934
high_confidence,program_6,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,-0.22635749030056382
high_confidence,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.27285836442896244
high_confidence,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,0.45421289937647363
high_confidence,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,CALD1,0.017543859649122806,0.36894257949446996
high_confidence,program_4,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.2120226067928639
high_confidence,program_5,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.23745779586746998
high_confidence,program_6,LAM_myogenic_contractile,LAM-shared,supported,gene_set,0,,0.0,-0.22372566120548906
high_confidence,program_1,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,-0.3120919208741517
