pool,rank,seed,n_cells,n_genes,reconstruction_error,normalized_reconstruction_error,converged_or_max_iter,factor_stability,selection_score,n_source_cells_before_pool_sampling,n_source_donors_before_pool_sampling
high_confidence,2,0,2681,2000,1504.0128173828125,0.6066694855690002,35,0.999999588727951,0.8867213762069922,2681,4
high_confidence,2,1,2681,2000,1504.0126953125,0.6066694855690002,35,0.999999588727951,0.8867213762069922,2681,4
high_confidence,2,2,2681,2000,1504.0128173828125,0.6066694855690002,35,0.999999588727951,0.8867213762069922,2681,4
high_confidence,2,3,2681,2000,1504.0128173828125,0.6066694855690002,33,0.999999588727951,0.8867213762069922,2681,4
high_confidence,2,4,2681,2000,1504.0126953125,0.6066694855690002,36,0.999999588727951,0.8867213762069922,2681,4
high_confidence,3,0,2681,2000,1426.5367431640625,0.5754181742668152,76,0.9999996364116669,0.8904253765366452,2681,4
high_confidence,3,1,2681,2000,1426.5367431640625,0.5754181742668152,52,0.9999996364116669,0.8904253765366452,2681,4
high_confidence,3,2,2681,2000,1426.53662109375,0.5754181742668152,75,0.9999996364116669,0.8904253765366452,2681,4
high_confidence,3,3,2681,2000,1426.53662109375,0.5754181742668152,71,0.9999996364116669,0.8904253765366452,2681,4
high_confidence,3,4,2681,2000,1426.5367431640625,0.5754181742668152,63,0.9999996364116669,0.8904253765366452,2681,4
high_confidence,4,0,2681,2000,1372.2325439453125,0.5535136461257935,93,0.9999996244907379,0.8931103678406787,2681,4
high_confidence,4,1,2681,2000,1372.232666015625,0.5535137057304382,94,0.9999996244907379,0.8931103604314807,2681,4
high_confidence,4,2,2681,2000,1372.232666015625,0.5535137057304382,87,0.9999996244907379,0.8931103604314807,2681,4
high_confidence,4,3,2681,2000,1372.232666015625,0.5535137057304382,97,0.9999996244907379,0.8931103604314807,2681,4
high_confidence,4,4,2681,2000,1372.232666015625,0.5535137057304382,75,0.9999996244907379,0.8931103604314807,2681,4
high_confidence,5,0,2681,2000,1341.51220703125,0.5411220788955688,291,0.9169343888759613,0.8365174308842733,2681,4
high_confidence,5,1,2681,2000,1342.7611083984375,0.5416258573532104,200,0.9169343888759613,0.8364538180393519,2681,4
high_confidence,5,2,2681,2000,1342.7611083984375,0.5416258573532104,230,0.9169343888759613,0.8364538180393519,2681,4
