pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_1,CORE1,LAMCORE-specific,established,gene_set,2,"CNN1,TAGLN",0.03571428571428571,-0.662313985683183
high_confidence,program_2,CORE1,LAMCORE-specific,established,gene_set,1,CNN1,0.017543859649122806,0.9070130842919388
high_confidence,program_3,CORE1,LAMCORE-specific,established,gene_set,0,,0.0,-0.17798785282801843
high_confidence,program_1,CORE2,LAMCORE-specific,established,gene_set,2,"CTSK,FIGF",0.03571428571428571,-0.3481054405096335
high_confidence,program_2,CORE2,LAMCORE-specific,established,gene_set,2,"DCT,PMEL",0.03571428571428571,0.7093177866381833
high_confidence,program_3,CORE2,LAMCORE-specific,established,gene_set,2,"CTSK,TYR",0.03571428571428571,-0.3403947150101346
high_confidence,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,2,"CTSK,FIGF",0.03636363636363636,-0.6452047876335021
high_confidence,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,PMEL,0.017857142857142856,0.9098692761111982
high_confidence,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,CTSK,0.017857142857142856,-0.22256240594559498
high_confidence,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,3,"CALD1,CNN1,TAGLN",0.05454545454545454,-0.6845821184843526
high_confidence,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"CALD1,CNN1",0.03571428571428571,0.9310954225699887
high_confidence,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,CALD1,0.017543859649122806,-0.1725860810274264
high_confidence,program_1,ECM_remodeling,LAM-shared,supported,gene_set,4,"COL3A1,CTSK,MMP2,MMP9",0.07017543859649122,-0.26324911814182844
high_confidence,program_2,ECM_remodeling,LAM-shared,supported,gene_set,2,"COL3A1,COL6A1",0.03389830508474576,0.5670635564572241
high_confidence,program_3,ECM_remodeling,LAM-shared,supported,gene_set,3,"COL3A1,CTSK,MMP2",0.05172413793103448,-0.2413393442150083
high_confidence,program_1,mTOR_translation,TSC-tumor-shared,supported,gene_set,1,RPL5,0.016666666666666666,-0.061588379638751134
high_confidence,program_2,mTOR_translation,TSC-tumor-shared,supported,gene_set,2,"HIF1A,RPS3",0.03389830508474576,0.163466970492907
high_confidence,program_3,mTOR_translation,TSC-tumor-shared,supported,gene_set,1,RPLP0,0.016666666666666666,-6.98607028259985e-05
high_confidence,program_1,SLS_stem_like,treatment-associated,supported,gene_set,4,"HMGA2,KLF4,LGR5,NANOG",0.07142857142857142,-0.11992487051253826
high_confidence,program_2,SLS_stem_like,treatment-associated,supported,gene_set,1,HMGA2,0.01694915254237288,0.12967165566727995
high_confidence,program_3,SLS_stem_like,treatment-associated,supported,gene_set,2,"HMGA2,SOX2",0.034482758620689655,0.103489326024438
high_confidence,program_1,IS_inflammatory,treatment-associated,supported,gene_set,1,IL6,0.017241379310344827,0.33189085083450487
high_confidence,program_2,IS_inflammatory,treatment-associated,supported,gene_set,3,"IL6,ISG15,NFKBIA",0.05357142857142857,-0.3678758831105599
high_confidence,program_3,IS_inflammatory,treatment-associated,supported,gene_set,1,IL6,0.017241379310344827,0.10546131115290737
high_confidence,program_1,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,JUN,0.01694915254237288,0.3994059218812306
high_confidence,program_2,MDK_dormancy_persistence,treatment-associated,supported,gene_set,1,JUN,0.01694915254237288,-0.14686022876331922
high_confidence,program_3,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.17104309292033001
high_confidence,program_1,HOX_PBX,LAM-shared,supported,gene_set,3,"HOXA10,HOXB7,HOXD11",0.05454545454545454,-0.39900391332089596
high_confidence,program_2,HOX_PBX,LAM-shared,supported,gene_set,2,"HOXB7,PBX1",0.03571428571428571,0.5832539370360502
high_confidence,program_3,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,-0.06336977769810055
high_confidence,program_1,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.16289916605490834
high_confidence,program_2,LAF_niche,microenvironment,supported,gene_set,0,,0.0,0.4229894619531991
high_confidence,program_3,LAF_niche,microenvironment,supported,gene_set,0,,0.0,-0.17842449791293039
high_confidence,program_1,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,4,"AIF1,C1QA,LST1,TREM2",0.07142857142857142,0.9831290588321449
high_confidence,program_2,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,3,"FCER1G,LST1,TYROBP",0.05263157894736842,-0.6809250248688447
high_confidence,program_3,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,2,"C1QA,LST1",0.034482758620689655,-0.43798224376737327
high_confidence,program_1,TGFbeta_fibroblast,microenvironment,supported,gene_set,4,"COL3A1,SMAD2,SMAD3,TGFBR1",0.07272727272727272,-0.17870918167104785
high_confidence,program_2,TGFbeta_fibroblast,microenvironment,supported,gene_set,2,"COL3A1,SMAD2",0.03508771929824561,0.22521202758989914
high_confidence,program_3,TGFbeta_fibroblast,microenvironment,supported,gene_set,2,"COL3A1,TGFBR1",0.03508771929824561,0.08475524099189864
high_confidence,program_1,IL6_AT2_repair,microenvironment,supported,gene_set,2,"IL6,KRT8",0.034482758620689655,-0.5078226466771198
high_confidence,program_2,IL6_AT2_repair,microenvironment,supported,gene_set,3,"IL6,KRT8,SFTPA1",0.05263157894736842,-0.059584755434903006
high_confidence,program_3,IL6_AT2_repair,microenvironment,supported,gene_set,3,"IL6,IL6R,KRT8",0.05263157894736842,0.9295025529899187
high_confidence,program_1,protease_ECM_niche,microenvironment,supported,gene_set,5,"CTSB,CTSK,MMP2,MMP8,MMP9",0.08928571428571429,0.5889518837952905
high_confidence,program_2,protease_ECM_niche,microenvironment,supported,gene_set,3,"MMP8,SERPINA1,TIMP2",0.05172413793103448,-0.13032685561139287
high_confidence,program_3,protease_ECM_niche,microenvironment,supported,gene_set,2,"CTSK,MMP2",0.03389830508474576,-0.49652080004086674
high_confidence,program_1,hormone_related,LAM-shared,supported,gene_set,1,CYP19A1,0.017857142857142856,-0.2818911287937529
high_confidence,program_2,hormone_related,LAM-shared,supported,gene_set,1,GREB1,0.017857142857142856,0.11027237927121575
high_confidence,program_3,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.2954089134773004
high_confidence,program_1,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.21264610193152067
high_confidence,program_2,hypoxia_stress,LAM-shared,supported,gene_set,1,HIF1A,0.01694915254237288,0.08998630676996637
high_confidence,program_3,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.2316266881887494
high_confidence,program_1,cell_cycle,LAM-shared,contextual,gene_set,2,"MKI67,PCNA",0.03571428571428571,0.2265745074684733
high_confidence,program_2,cell_cycle,LAM-shared,contextual,gene_set,1,PCNA,0.017543859649122806,-0.1510987630750469
high_confidence,program_3,cell_cycle,LAM-shared,contextual,gene_set,1,PCNA,0.017543859649122806,-0.12939403783609443
high_confidence,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,1,MMP8,0.019230769230769232,-0.4326267514223011
high_confidence,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,2,"MMP8,PMEL",0.0392156862745098,0.5869811880031572
high_confidence,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.0983219680109913
high_confidence,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,3,"CALD1,CNN1,TAGLN",0.05454545454545454,-0.6845821176480615
high_confidence,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"CALD1,CNN1",0.03571428571428571,0.9310954224441649
high_confidence,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,1,CALD1,0.017543859649122806,-0.17258608052044594
high_confidence,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,2,"COL3A1,PI16",0.03571428571428571,-0.20286175435316495
high_confidence,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,2,"COL3A1,COL6A1",0.03571428571428571,0.4941876259539162
high_confidence,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,1,COL3A1,0.017543859649122806,-0.21457795684270162
broad_lam_like,program_1,CORE1,LAMCORE-specific,established,gene_set,2,"MYH11,RGS5",0.03571428571428571,0.902823658673637
broad_lam_like,program_2,CORE1,LAMCORE-specific,established,gene_set,2,"MYH11,RGS5",0.03571428571428571,-0.09487589432845113
broad_lam_like,program_3,CORE1,LAMCORE-specific,established,gene_set,3,"MYH11,RGS5,TAGLN",0.05454545454545454,-0.4628568622943855
broad_lam_like,program_1,CORE2,LAMCORE-specific,established,gene_set,1,MLANA,0.017543859649122806,0.13339350726860047
broad_lam_like,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.3274719598732766
broad_lam_like,program_3,CORE2,LAMCORE-specific,established,gene_set,2,"FIGF,TYR",0.03571428571428571,0.20327568156574252
broad_lam_like,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,MLANA,0.017857142857142856,0.7631502544027651
broad_lam_like,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,ESR1,0.017857142857142856,-0.10790077339451765
broad_lam_like,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,2,"ESR1,FIGF",0.03636363636363636,-0.4163242711694723
broad_lam_like,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"CALD1,MYH11",0.03571428571428571,0.9194760690954269
broad_lam_like,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,1,MYH11,0.017543859649122806,-0.08043849047339571
broad_lam_like,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"MYH11,TAGLN",0.03571428571428571,-0.47931436664283994
broad_lam_like,program_1,ECM_remodeling,LAM-shared,supported,gene_set,5,"COL1A1,COL3A1,MMP9,TIMP1,VCAN",0.08928571428571429,0.32113283574080714
broad_lam_like,program_2,ECM_remodeling,LAM-shared,supported,gene_set,3,"MMP9,TIMP1,VCAN",0.05172413793103448,-0.25625277324004214
broad_lam_like,program_3,ECM_remodeling,LAM-shared,supported,gene_set,3,"MMP9,TIMP1,VCAN",0.05172413793103448,0.038740184782066985
