pool,rank,seed,n_cells,n_genes,reconstruction_error,normalized_reconstruction_error,converged_or_max_iter,factor_stability,selection_score,n_source_cells_before_pool_sampling,n_source_donors_before_pool_sampling
high_confidence,2,0,535,780,258.7384338378906,0.6054693460464478,35,0.9999998211860657,0.8868611193247395,535,4
high_confidence,2,1,535,780,258.7384338378906,0.6054693460464478,29,0.9999998211860657,0.8868611193247395,535,4
high_confidence,3,0,535,780,237.03041076660156,0.5546708106994629,45,0.9999997615814209,0.8929667286937373,535,4
high_confidence,3,1,535,780,237.03041076660156,0.5546708106994629,45,0.9999997615814209,0.8929667286937373,535,4
broad_lam_like,2,0,1200,792,347.3656921386719,0.562838613986969,38,0.9999996423721313,0.8919581497890041,3940,4
broad_lam_like,2,1,1200,792,347.3656921386719,0.562838613986969,37,0.9999996423721313,0.8919581497890041,3940,4
broad_lam_like,3,0,1200,792,330.4705810546875,0.5354633927345276,116,1.0,0.8953807569881076,3940,4
broad_lam_like,3,1,1200,792,330.4705505371094,0.5354633331298828,85,1.0,0.8953807645725287,3940,4
unrestricted_lam,2,0,1200,788,374.1601257324219,0.600273609161377,30,1.0,0.8874679419085183,23228,4
unrestricted_lam,2,1,1200,788,374.1601257324219,0.600273609161377,30,1.0,0.8874679419085183,23228,4
unrestricted_lam,3,0,1200,788,360.396240234375,0.578191876411438,66,0.9999998211860657,0.8900908292217697,23228,4
unrestricted_lam,3,1,1200,788,360.396240234375,0.578191876411438,94,0.9999998211860657,0.8900908292217697,23228,4
