pool,candidate_program,gene,weight,rank_position,selected_rank,selected_seed
high_confidence,program_1,C1QA,7.7905449867248535,1,3,0
high_confidence,program_1,CD300LG,7.726588726043701,2,3,0
high_confidence,program_1,LGR5,7.643069744110107,3,3,0
high_confidence,program_1,FIGF,7.309884548187256,4,3,0
high_confidence,program_1,SMAD2,6.638534069061279,5,3,0
high_confidence,program_1,RGCC,5.9727020263671875,6,3,0
high_confidence,program_1,CYP19A1,5.960684299468994,7,3,0
high_confidence,program_1,RAPGEF4,5.756377696990967,8,3,0
high_confidence,program_1,HOXB7,5.693008899688721,9,3,0
high_confidence,program_1,COL3A1,5.541796684265137,10,3,0
high_confidence,program_1,MKI67,5.322510242462158,11,3,0
high_confidence,program_1,HMGA2,5.292322158813477,12,3,0
high_confidence,program_1,IL6,5.171591281890869,13,3,0
high_confidence,program_1,SMAD6,5.108367443084717,14,3,0
high_confidence,program_1,KRT8,5.020315170288086,15,3,0
high_confidence,program_1,TGFBR1,4.762155055999756,16,3,0
high_confidence,program_1,MMP9,4.513594627380371,17,3,0
high_confidence,program_1,MMP2,4.5023393630981445,18,3,0
high_confidence,program_1,AIF1,4.351292133331299,19,3,0
high_confidence,program_1,CALD1,4.2342753410339355,20,3,0
high_confidence,program_1,LST1,4.0100321769714355,21,3,0
high_confidence,program_1,RP11-356K23.1,3.889132022857666,22,3,0
high_confidence,program_1,PEBP4,3.8292346000671387,23,3,0
high_confidence,program_1,BIRC3,3.6150808334350586,24,3,0
high_confidence,program_1,TREM2,3.545952796936035,25,3,0
high_confidence,program_1,SMAD3,3.4246325492858887,26,3,0
high_confidence,program_1,NANOG,3.350285530090332,27,3,0
high_confidence,program_1,PCNA,3.3422415256500244,28,3,0
high_confidence,program_1,NCALD,3.065122365951538,29,3,0
high_confidence,program_1,JUN,2.940720558166504,30,3,0
high_confidence,program_1,PLN,2.5180065631866455,31,3,0
high_confidence,program_1,FABP6,2.4861574172973633,32,3,0
high_confidence,program_1,TAGLN,2.3394033908843994,33,3,0
high_confidence,program_1,KLF4,1.971554160118103,34,3,0
high_confidence,program_1,MMP8,1.8494431972503662,35,3,0
high_confidence,program_1,TRAT1,1.8149081468582153,36,3,0
high_confidence,program_1,SLC44A4,1.7948293685913086,37,3,0
high_confidence,program_1,CTSK,1.745375394821167,38,3,0
high_confidence,program_1,PI16,1.7421348094940186,39,3,0
high_confidence,program_1,CNN1,1.6555652618408203,40,3,0
high_confidence,program_1,HEG1,1.6271482706069946,41,3,0
high_confidence,program_1,CTSB,1.5757763385772705,42,3,0
high_confidence,program_1,RPL5,1.5726807117462158,43,3,0
high_confidence,program_1,S100A8,1.5211753845214844,44,3,0
high_confidence,program_1,HOXD11,1.4145562648773193,45,3,0
high_confidence,program_1,GRK5,1.3915646076202393,46,3,0
high_confidence,program_1,HOXA10,1.344015121459961,47,3,0
high_confidence,program_1,CYYR1,1.3230648040771484,48,3,0
high_confidence,program_1,DLC1,1.2835378646850586,49,3,0
high_confidence,program_1,DNASE1L3,1.1250739097595215,50,3,0
