program,donor_id,baseline_effect,strict_qc_effect,baseline_direction,strict_qc_direction,direction_consistent,qc_direction_status
CORE1,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
CORE1,LAM1,2.5951196978991566,2.626956476771647,positive,positive,True,qc_stable
CORE1,LAM2,0.007413776719738002,0.054051847804608755,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
CORE1,LAM3,2.2416514569151373,1.9855258599192254,positive,positive,True,qc_stable
CORE1,LAM4,2.397600787008362,2.8208007921047047,positive,positive,True,qc_stable
CORE2,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
CORE2,LAM1,1.4647420382525986,1.4795830601169684,positive,positive,True,qc_stable
CORE2,LAM2,0.49944591065582333,0.5267473223690766,positive,positive,True,qc_stable
CORE2,LAM3,1.3494033219711692,1.375006926765226,positive,positive,True,qc_stable
CORE2,LAM4,1.4920720607936706,1.3850611673414175,positive,positive,True,qc_stable
ECM_remodeling,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
ECM_remodeling,LAM1,1.0053219097343136,1.0554128672829732,positive,positive,True,qc_stable
ECM_remodeling,LAM2,-0.013403884248577351,-0.09921949796196419,near_zero_or_unavailable,negative,False,qc_sensitive_or_insufficient
ECM_remodeling,LAM3,0.818500583794561,1.2055211575486287,positive,positive,True,qc_stable
ECM_remodeling,LAM4,0.036918226269683906,0.04807609366186943,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
IL6_AT2_repair,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
IL6_AT2_repair,LAM1,-0.5772425695956603,-0.5866314702348041,negative,negative,True,qc_stable
IL6_AT2_repair,LAM2,-0.43659064881103965,-0.43472979120826954,negative,negative,True,qc_stable
IL6_AT2_repair,LAM3,-0.6759517074075139,-0.7239451445862473,negative,negative,True,qc_stable
IL6_AT2_repair,LAM4,-0.38933985261067966,-0.3622581756688339,negative,negative,True,qc_stable
IS_inflammatory,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
IS_inflammatory,LAM1,0.10534216141668135,0.12641748463018726,positive,positive,True,qc_stable
IS_inflammatory,LAM2,-0.003521726246556056,-0.05884909405221518,near_zero_or_unavailable,negative,False,qc_sensitive_or_insufficient
IS_inflammatory,LAM3,-0.006706734673938508,0.11258068379914832,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
IS_inflammatory,LAM4,-0.037522003369596324,0.130908474688051,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
LAF_niche,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
LAF_niche,LAM1,1.0719655433835238,1.123194336050001,positive,positive,True,qc_stable
LAF_niche,LAM2,-0.013737629202774163,-0.0156279054394536,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
LAF_niche,LAM3,0.9293142264934685,1.3328507958255948,positive,positive,True,qc_stable
LAF_niche,LAM4,0.1460154610059023,0.1503558331460183,positive,positive,True,qc_stable
LAM_myogenic_contractile,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
LAM_myogenic_contractile,LAM1,2.5951196978991566,2.626956476771647,positive,positive,True,qc_stable
LAM_myogenic_contractile,LAM2,0.007413776719738002,0.054051847804608755,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
LAM_myogenic_contractile,LAM3,2.2416514569151373,1.9855258599192254,positive,positive,True,qc_stable
LAM_myogenic_contractile,LAM4,2.397600787008362,2.8208007921047047,positive,positive,True,qc_stable
MDK_dormancy_persistence,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
MDK_dormancy_persistence,LAM1,0.0238204553106936,0.02055843881483431,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
MDK_dormancy_persistence,LAM2,0.17350827654291873,0.20289211646863137,positive,positive,True,qc_stable
MDK_dormancy_persistence,LAM3,0.01204365760589579,0.032016601437068484,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
MDK_dormancy_persistence,LAM4,-0.03258239378465193,-0.047881904555086,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
SLS_stem_like,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
SLS_stem_like,LAM1,-0.06345204501824789,-0.058145772345832805,negative,negative,True,qc_stable
SLS_stem_like,LAM2,-0.13047910494243076,-0.14881118802723714,negative,negative,True,qc_stable
SLS_stem_like,LAM3,-0.055411898436977594,-0.051467907082508764,negative,negative,True,qc_stable
SLS_stem_like,LAM4,-0.006615858687131895,0.17500469296173338,near_zero_or_unavailable,positive,False,qc_sensitive_or_insufficient
TGFbeta_fibroblast,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
TGFbeta_fibroblast,LAM1,1.0719655433835238,1.123194336050001,positive,positive,True,qc_stable
TGFbeta_fibroblast,LAM2,-0.013737629202774163,-0.0156279054394536,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
TGFbeta_fibroblast,LAM3,0.9293142264934685,1.3328507958255948,positive,positive,True,qc_stable
TGFbeta_fibroblast,LAM4,0.1460154610059023,0.1503558331460183,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM1,1.4647420382525986,1.4795830601169684,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM2,0.49944591065582333,0.5267473223690766,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM3,1.3494033219711692,1.375006926765226,positive,positive,True,qc_stable
biomarker_VEGFD_PMEL_CCL14_MMP8,LAM4,1.4920720607936706,1.3850611673414175,positive,positive,True,qc_stable
cell_cycle,Donor1,,,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM1,0.007893266217826655,0.012267198454271868,near_zero_or_unavailable,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
cell_cycle,LAM2,-0.054628624837086415,0.021363240939529536,negative,near_zero_or_unavailable,False,qc_sensitive_or_insufficient
