source,pool,donor_id,candidate_program,top_k,baseline_candidate_cells,strict_qc_candidate_cells,donorwise_to_pooled_median_jaccard,donorwise_to_pooled_max_jaccard,qc_gate_status
pooled,broad_lam_like,,program_1,50,140,85,0.041666666666666664,0.05263157894736842,gene_list_comparison_only
pooled,broad_lam_like,,program_2,50,140,85,0.04737881114279447,0.07526881720430108,gene_list_comparison_only
pooled,broad_lam_like,,program_3,50,140,85,0.08708495805269999,0.12359550561797752,gene_list_comparison_only
pooled,high_confidence,,program_1,50,140,85,0.07526881720430108,0.08695652173913043,gene_list_comparison_only
pooled,high_confidence,,program_2,50,140,85,0.0989010989010989,0.0989010989010989,gene_list_comparison_only
pooled,high_confidence,,program_3,50,140,85,0.05263157894736842,0.05263157894736842,gene_list_comparison_only
pooled,unrestricted_lam,,program_1,50,140,85,0.041666666666666664,0.06382978723404255,gene_list_comparison_only
pooled,unrestricted_lam,,program_2,50,140,85,0.058467741935483875,0.0989010989010989,gene_list_comparison_only
pooled,unrestricted_lam,,program_3,50,140,85,0.06382978723404255,0.08695652173913043,gene_list_comparison_only
donor_wise,broad_lam_like,LAM1,program_1,50,140,85,0.105006105006105,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM1,program_2,50,140,85,0.07539315448658648,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM1,program_3,50,140,85,0.06431159420289854,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM2,program_1,50,140,85,0.09292881032011466,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM2,program_2,50,140,85,0.06979405034324943,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM2,program_3,50,140,85,0.11234705228031147,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM3,program_1,50,140,85,0.1111111111111111,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM3,program_2,50,140,85,0.06382978723404255,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM3,program_3,50,140,85,0.09903381642512077,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM4,program_1,50,140,85,0.09903381642512077,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM4,program_2,50,140,85,0.05823068309070548,1.0,gene_list_comparison_only
donor_wise,broad_lam_like,LAM4,program_3,50,140,85,0.13026819923371646,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM1,program_1,50,140,85,0.0478384902348036,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM1,program_2,50,140,85,0.06979405034324943,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM1,program_3,50,140,85,0.1365103964871497,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM2,program_1,50,140,85,0.06954930221917181,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM2,program_2,50,140,85,0.05263157894736842,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM2,program_3,50,140,85,0.09292881032011466,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM3,program_1,50,140,85,0.08136544306757072,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM3,program_2,50,140,85,0.06979405034324943,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM3,program_3,50,140,85,0.11124830225953822,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM4,program_1,50,140,85,0.07028388278388278,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM4,program_2,50,140,85,0.08695652173913043,1.0,gene_list_comparison_only
donor_wise,high_confidence,LAM4,program_3,50,140,85,0.12416319312871038,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM1,program_1,50,140,85,0.06395019807583474,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM1,program_2,50,140,85,0.08136544306757072,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM1,program_3,50,140,85,0.04737881114279447,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM2,program_1,50,140,85,0.030927835051546393,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM2,program_2,50,140,85,0.06954930221917181,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM2,program_3,50,140,85,0.08708495805269999,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM3,program_1,50,140,85,0.058467741935483875,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM3,program_2,50,140,85,0.06395019807583474,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM3,program_3,50,140,85,0.08136544306757072,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM4,program_1,50,140,85,0.04714912280701754,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM4,program_2,50,140,85,0.07576633892423365,1.0,gene_list_comparison_only
donor_wise,unrestricted_lam,LAM4,program_3,50,140,85,0.053098326127923735,1.0,gene_list_comparison_only
