names,scores,logfoldchanges,pvals,pvals_adj
CTSK,19.13582,8.557434,1.270619064941993e-81,8.090921019831129e-77
ACTA2,18.289371,8.198936,1.0056847967594314e-74,3.201949540162516e-70
MYL9,17.926424,7.2220144,7.334862027966699e-72,1.5568733645161184e-67
TAGLN,17.243423,7.3783913,1.253872400409603e-66,1.996070821022057e-62
MYLK,16.313972,7.5743365,7.851700371513712e-60,9.999454491137573e-56
TPM2,16.267746,7.321551,1.6719964543056574e-59,1.7744619703470224e-55
TPM1,16.090782,5.4931483,2.96071706155396e-58,2.693279718979593e-54
CRYAB,14.980878,7.851795,9.791453576605402e-51,6.92767099330558e-47
RARRES2,14.473236,6.833824,1.7885576403297643e-47,1.138899848632784e-43
DSTN,14.359596,2.7109115,9.27658420900753e-47,5.370045933427023e-43
MGP,13.663265,5.745851,1.6826705103792293e-42,8.928950840784849e-39
GAPDH,13.09946,1.6321663,3.316080700863644e-39,1.4077204719259619e-35
SEPP1,12.746734,3.3208015,3.250826057647113e-37,1.0894886888041854e-33
DCN,12.737031,7.343008,3.6814007257741083e-37,1.1721027700755894e-33
SERPINF1,12.662228,4.4341865,9.574321181980665e-37,2.90316214240468e-33
CALD1,12.584941,5.4380994,2.555352433114168e-36,7.396235312882313e-33
PCSK1N,11.818459,6.6995416,3.133834447893496e-32,7.982127045540566e-29
NBL1,11.5155735,6.4941864,1.101249616921319e-30,2.1913834955218386e-27
NUPR1,11.4684305,1.9871191,1.9007470747845836e-30,3.667693075183574e-27
CD63,10.978335,1.096569,4.85791154568678e-28,8.592700930408253e-25
SOD3,10.958468,4.560671,6.051464902671014e-28,1.0140503437036373e-24
PCP4,10.807415,8.232696,3.1749113633169742e-27,4.8588515672004936e-24
CLU,10.446818,3.4422727,1.5152265718401814e-25,2.1102577647095301e-22
OGN,10.446243,8.675492,1.5244414337459112e-25,2.1102577647095301e-22
SLC25A6,10.409493,1.1419582,2.244133898040985e-25,2.916320698480731e-22
COX7C,10.256973,1.0419846,1.1010430262192879e-24,1.3443174802314705e-21
PMEL,10.133795,8.823524,3.911671924478136e-24,4.2945436747412806e-21
FBLN1,10.073417,7.557027,7.241800972071672e-24,7.815867127095049e-21
RAMP1,9.942546,5.999734,2.7179128085432807e-23,2.8371890804854176e-20
PTGDS,9.79555,5.916537,1.1765542569877578e-22,1.1182006779434247e-19
CNN3,9.671854,3.4446487,3.971192236543771e-22,3.664834899223155e-19
COX6C,9.468164,1.1802076,2.8480389964578864e-21,2.4507375564520113e-18
MMP2,9.437368,6.9423676,3.822587738985028e-21,3.1611807721473977e-18
TMOD1,9.40271,6.641444,5.317536605475253e-21,4.286136435782882e-18
SPON2,9.362964,4.380373,7.753090841916962e-21,6.17116956925933e-18
NGFRAP1,9.3414345,2.4461284,9.503797426024512e-21,7.471275416011887e-18
SPARCL1,9.270436,4.4054537,1.853860873251676e-20,1.3888035156005526e-17
