filter,condition,donor_id,sample_id,assay,retained_cells,candidate_cells_retained,candidate_fraction_retained,predicted_doublets_retained,mean_marker_score
phase1_no_doublet_removal,LAM,LAM1,LAM1,scRNA,7827,31,0.003960649035390316,170,-0.024968953250743355
phase1_no_doublet_removal,LAM,LAM2,LAM2,snRNA,7126,4,0.000561324726354196,156,-0.01781235387426719
phase1_no_doublet_removal,LAM,LAM3,LAM3,scRNA,7016,84,0.011972633979475485,135,0.014787913424760409
phase1_no_doublet_removal,LAM,LAM4,LAM4,snRNA,1259,21,0.016679904686258934,2,0.022073900913589368
phase1_no_doublet_removal,control,Donor1,Donor1,scRNA,7480,0,0.0,168,0.004752436919579426
phase2_remove_predicted_doublets,LAM,LAM1,LAM1,scRNA,7657,31,0.004048582995951417,0,-0.024696146220225677
phase2_remove_predicted_doublets,LAM,LAM2,LAM2,snRNA,6970,4,0.0005738880918220947,0,-0.01760482436942461
phase2_remove_predicted_doublets,LAM,LAM3,LAM3,scRNA,6881,84,0.012207527975584944,0,0.015327817836308707
phase2_remove_predicted_doublets,LAM,LAM4,LAM4,snRNA,1257,21,0.016706443914081145,0,0.022182603343447967
phase2_remove_predicted_doublets,control,Donor1,Donor1,scRNA,7312,0,0.0,0,0.004005394425968633
loose_qc_no_doublet_removal,LAM,LAM1,LAM1,scRNA,7827,31,0.003960649035390316,170,-0.024968953250743355
loose_qc_no_doublet_removal,LAM,LAM2,LAM2,snRNA,7126,4,0.000561324726354196,156,-0.01781235387426719
loose_qc_no_doublet_removal,LAM,LAM3,LAM3,scRNA,7016,84,0.011972633979475485,135,0.014787913424760409
loose_qc_no_doublet_removal,LAM,LAM4,LAM4,snRNA,1259,21,0.016679904686258934,2,0.022073900913589368
loose_qc_no_doublet_removal,control,Donor1,Donor1,scRNA,7480,0,0.0,168,0.004752436919579426
strict_qc_no_doublet_removal,LAM,LAM1,LAM1,scRNA,7104,28,0.003941441441441441,164,-0.02583502599034967
strict_qc_no_doublet_removal,LAM,LAM2,LAM2,snRNA,4955,1,0.00020181634712411706,105,-0.019996986849200555
strict_qc_no_doublet_removal,LAM,LAM3,LAM3,scRNA,6064,52,0.008575197889182058,125,0.005676828856049999
strict_qc_no_doublet_removal,LAM,LAM4,LAM4,snRNA,898,4,0.004454342984409799,1,-0.012390561056938008
strict_qc_no_doublet_removal,control,Donor1,Donor1,scRNA,6178,0,0.0,156,-0.00044587949313905963
