gene,gene_class,source_state,n_cells,mean_counts_per_cell,pct_positive,transcript_fraction
CTSK,protease,LAF_fibroblast,2859,0.1535501923749563,0.06680657572577825,0.08928208257067317
CTSK,protease,LAMCORE_like,3053,0.7366524729773993,0.10219456272518834,0.4573927191376856
CTSK,protease,immune,9894,0.14938346472609662,0.06781888012937133,0.3005897905226764
CTSK,protease,lymphatic_endothelial,1250,0.052,0.036,0.013219442749644091
CTSK,protease,unclassified,11338,0.05582995237255248,0.02998765214323514,0.12873703477730322
CTSK,protease,vascular_endothelial,2314,0.022904062229904928,0.017718236819360415,0.01077893024201749
MMP2,protease,LAF_fibroblast,2859,0.07799930045470445,0.037425673312346974,0.23952738990332975
MMP2,protease,LAMCORE_like,3053,0.1225024566000655,0.03635768096953816,0.40171858216971
MMP2,protease,immune,9894,0.015767131594906003,0.013139276329088337,0.16756176154672395
MMP2,protease,lymphatic_endothelial,1250,0.0768,0.0504,0.10311493018259936
MMP2,protease,unclassified,11338,0.006438525313106368,0.0051155406597283475,0.07841031149301826
MMP2,protease,vascular_endothelial,2314,0.0038893690579083835,0.0038893690579083835,0.00966702470461869
MMP8,protease,LAF_fibroblast,2859,0.0,0.0,0.0
MMP8,protease,LAMCORE_like,3053,0.00032754667540124465,0.00032754667540124465,0.07142857142857142
MMP8,protease,immune,9894,0.0008085708510208206,0.0006064281382656155,0.5714285714285714
MMP8,protease,lymphatic_endothelial,1250,0.0,0.0,0.0
MMP8,protease,unclassified,11338,0.0003527959075674722,0.00026459693067560415,0.2857142857142857
MMP8,protease,vascular_endothelial,2314,0.000432152117545376,0.000432152117545376,0.07142857142857142
MMP9,protease,LAF_fibroblast,2859,0.014690451206715634,0.004547044421126268,0.028965517241379312
MMP9,protease,LAMCORE_like,3053,0.06419914837864396,0.015722240419259743,0.13517241379310344
MMP9,protease,immune,9894,0.08419243986254296,0.01687891651505963,0.5744827586206896
MMP9,protease,lymphatic_endothelial,1250,0.0048,0.004,0.004137931034482759
MMP9,protease,unclassified,11338,0.026018698183101076,0.005732933497971424,0.20344827586206896
MMP9,protease,vascular_endothelial,2314,0.033707865168539325,0.003025064822817632,0.05379310344827586
MMP12,protease,LAF_fibroblast,2859,0.0,0.0,
MMP12,protease,LAMCORE_like,3053,0.0,0.0,
MMP12,protease,immune,9894,0.0,0.0,
MMP12,protease,lymphatic_endothelial,1250,0.0,0.0,
MMP12,protease,unclassified,11338,0.0,0.0,
MMP12,protease,vascular_endothelial,2314,0.0,0.0,
ELANE,protease,LAF_fibroblast,2859,0.04896817068905212,0.00944386149003148,0.5405405405405406
ELANE,protease,LAMCORE_like,3053,0.0055682934818211596,0.004585653455617425,0.06563706563706563
ELANE,protease,immune,9894,0.007984637153830604,0.0066707095209217705,0.305019305019305
ELANE,protease,lymphatic_endothelial,1250,0.0024,0.0016,0.011583011583011582
ELANE,protease,unclassified,11338,0.0017639795378373612,0.001675780560945493,0.07722007722007722
ELANE,protease,vascular_endothelial,2314,0.0,0.0,0.0
PRTN3,protease,LAF_fibroblast,2859,0.005596362364463099,0.0017488632388947185,0.7619047619047619
PRTN3,protease,LAMCORE_like,3053,0.00032754667540124465,0.00032754667540124465,0.047619047619047616
PRTN3,protease,immune,9894,0.00020214271275520516,0.00020214271275520516,0.09523809523809523
PRTN3,protease,lymphatic_endothelial,1250,0.0,0.0,0.0
PRTN3,protease,unclassified,11338,8.819897689186806e-05,8.819897689186806e-05,0.047619047619047616
PRTN3,protease,vascular_endothelial,2314,0.000432152117545376,0.000432152117545376,0.047619047619047616
CTSS,protease,LAF_fibroblast,2859,13.219657222805177,0.8338579923050018,0.17944384041628883
CTSS,protease,LAMCORE_like,3053,5.885358663609565,0.6704880445463478,0.08530882192353162
CTSS,protease,immune,9894,14.02739033757833,0.9618960986456438,0.6589356338101727
CTSS,protease,lymphatic_endothelial,1250,1.0616,0.348,0.006300356561249246
CTSS,protease,unclassified,11338,1.21529370259305,0.4638384194743341,0.0654202057704999
CTSS,protease,vascular_endothelial,2314,0.41789109766637855,0.1957649092480553,0.0045911415182577405
CTSB,protease,LAF_fibroblast,2859,9.790136411332634,0.832808674361665,0.1230129605294963
CTSB,protease,LAMCORE_like,3053,9.3422862757943,0.7323943661971831,0.12535104180858497
CTSB,protease,immune,9894,13.754194461289671,0.939963614311704,0.5980741593674875
CTSB,protease,lymphatic_endothelial,1250,2.6536,0.4616,0.014577848877325446
CTSB,protease,unclassified,11338,2.4394955018521784,0.48632915858176046,0.1215582520644994
CTSB,protease,vascular_endothelial,2314,1.7134831460674158,0.4373379429559205,0.01742573735260639
TIMP1,antiprotease,LAF_fibroblast,2859,3.850297306750612,0.6631689401888772,0.14028469841593497
TIMP1,antiprotease,LAMCORE_like,3053,2.8869963969865706,0.5686210284965607,0.11232461226726478
TIMP1,antiprotease,immune,9894,3.824540125328482,0.751768748736608,0.4822286508047764
TIMP1,antiprotease,lymphatic_endothelial,1250,6.4616,0.5032,0.1029323681963578
TIMP1,antiprotease,unclassified,11338,0.6976539072146763,0.27729758334803317,0.10080413921421198
TIMP1,antiprotease,vascular_endothelial,2314,2.0829732065687123,0.6002592912705272,0.06142553110145408
TIMP2,antiprotease,LAF_fibroblast,2859,1.384400139909059,0.5953130465197621,0.1490996760340541
TIMP2,antiprotease,LAMCORE_like,3053,1.0664919751064528,0.4660989190959712,0.12265501393806977
TIMP2,antiprotease,immune,9894,1.6156256316959774,0.6695977360016171,0.6021622843366232
TIMP2,antiprotease,lymphatic_endothelial,1250,0.488,0.2592,0.022978979883974987
TIMP2,antiprotease,unclassified,11338,0.20894337625683543,0.13238666431469395,0.08924131695924056
TIMP2,antiprotease,vascular_endothelial,2314,0.15903197925669835,0.10501296456352636,0.013862728848037369
SERPINA1,antiprotease,LAF_fibroblast,2859,17.4966771598461,0.8006295907660022,0.16549385473012093
SERPINA1,antiprotease,LAMCORE_like,3053,6.9538159187684245,0.6213560432361611,0.0702363819826973
