donor_id,gene,gene_class,source_state,n_cells,mean_counts_per_cell,pct_positive,transcript_fraction_within_donor
Donor1,CTSK,protease,LAF_fibroblast,348,0.10632183908045977,0.05747126436781609,0.09158415841584158
LAM1,CTSK,protease,LAF_fibroblast,959,0.022940563086548488,0.018769551616266946,0.02412280701754386
LAM2,CTSK,protease,LAF_fibroblast,1159,0.15530629853321828,0.10267471958584987,0.1422924901185771
LAM3,CTSK,protease,LAF_fibroblast,278,0.7014388489208633,0.10431654676258993,0.0888382687927107
LAM4,CTSK,protease,LAF_fibroblast,115,0.043478260869565216,0.043478260869565216,0.03546099290780142
Donor1,CTSK,protease,LAMCORE_like,947,0.09503695881731784,0.06335797254487856,0.22277227722772278
LAM1,CTSK,protease,LAMCORE_like,598,1.2173913043478262,0.06521739130434782,0.7982456140350878
LAM2,CTSK,protease,LAMCORE_like,455,0.589010989010989,0.08131868131868132,0.21185770750988142
LAM3,CTSK,protease,LAMCORE_like,719,1.5034770514603617,0.20027816411682892,0.4924829157175399
LAM4,CTSK,protease,LAMCORE_like,334,0.24550898203592814,0.09580838323353294,0.5815602836879432
Donor1,CTSK,protease,immune,1789,0.05030743432084964,0.03521520402459474,0.22277227722772278
LAM1,CTSK,protease,immune,2453,0.044027721157766,0.028128821850794947,0.11842105263157894
LAM2,CTSK,protease,immune,3120,0.20993589743589744,0.08814102564102565,0.5177865612648221
LAM3,CTSK,protease,immune,2483,0.2501006846556585,0.10511478050745067,0.28291571753986333
LAM4,CTSK,protease,immune,49,0.08163265306122448,0.061224489795918366,0.028368794326241134
Donor1,CTSK,protease,lymphatic_endothelial,423,0.028368794326241134,0.026004728132387706,0.0297029702970297
LAM1,CTSK,protease,lymphatic_endothelial,430,0.013953488372093023,0.013953488372093023,0.006578947368421052
LAM2,CTSK,protease,lymphatic_endothelial,23,0.6956521739130435,0.17391304347826086,0.012648221343873518
LAM3,CTSK,protease,lymphatic_endothelial,280,0.09285714285714286,0.06785714285714285,0.01184510250569476
LAM4,CTSK,protease,lymphatic_endothelial,94,0.05319148936170213,0.05319148936170213,0.03546099290780142
Donor1,CTSK,protease,unclassified,2414,0.06255178127589064,0.04225352112676056,0.37376237623762376
LAM1,CTSK,protease,unclassified,3334,0.014397120575884824,0.013497300539892022,0.05263157894736842
LAM2,CTSK,protease,unclassified,2346,0.06223358908780904,0.013213981244671782,0.11541501976284585
LAM3,CTSK,protease,unclassified,2666,0.09264816204051013,0.047261815453863466,0.11252847380410023
