source_state,gene,mean_log1p_cpm
LAMCORE_like,ACTA2,0.1453421529314694
LAMCORE_like,ESR1,0.01185655085454248
LAMCORE_like,FIGF,0.00656136702761347
LAMCORE_like,MITF,0.1525512378634987
LAMCORE_like,MLANA,0.0005106336075446084
LAMCORE_like,PMEL,0.010545588621404487
LAF_fibroblast,C7,0.025056345703553962
LAF_fibroblast,CFD,0.7432931552838529
LAF_fibroblast,COL1A1,0.015901887712118156
LAF_fibroblast,COL1A2,0.02885313466741616
LAF_fibroblast,COL3A1,0.015137928495770721
LAF_fibroblast,CXCL14,0.005319242088895146
LAF_fibroblast,DCN,0.06185362686619169
LAF_fibroblast,LUM,0.02596897442979825
LAF_fibroblast,PDGFRA,0.005835175348349856
immune,AIF1,1.2934355910510644
immune,CD3D,0.15606608083767148
immune,CD3E,0.13454147325765461
immune,CD68,1.2114220278609082
immune,FCER1G,1.802224248473795
immune,LST1,0.9957103639596322
immune,PTPRC,0.6819285562788929
immune,TYROBP,2.269343709413858
lymphatic_endothelial,CCL21,0.10005526180140921
lymphatic_endothelial,EMCN,0.13374622024357768
lymphatic_endothelial,FLT4,0.027238014130626365
lymphatic_endothelial,KDR,0.04743502227682902
lymphatic_endothelial,LYVE1,0.03150196125403248
lymphatic_endothelial,PDPN,0.022374060163759188
lymphatic_endothelial,PECAM1,0.0
lymphatic_endothelial,PROX1,0.009430828359494894
vascular_endothelial,CA4,0.10190729842472479
vascular_endothelial,EMCN,0.13374622024357768
vascular_endothelial,ENG,0.4120568197431476
vascular_endothelial,KDR,0.04743502227682902
vascular_endothelial,PECAM1,0.0
vascular_endothelial,RAMP2,0.3351909744403046
vascular_endothelial,VWF,0.14271946095885468
