modality,source_program,target_program,n_units_analyzed,n_neighbors,spearman_unit_score,source_top_decile_target_neighbor_top_decile_rate,target_top_decile_global_rate,neighbor_enrichment_ratio,interpretation
Xenium,LAMCORE,LAF_fibroblast,50000,6,-0.11322854636308081,0.002999400119976005,0.1,0.029994001199760048,spatial co-localization candidate; not proof of cellular communication
Xenium,LAMCORE,lymphatic_endothelial,50000,6,-0.08635543488131664,0.001999600079984003,0.10032,0.019932217703189824,spatial co-localization candidate; not proof of cellular communication
Xenium,LAMCORE,immune,50000,6,-0.24650767683595123,0.0011997600479904018,0.10044,0.011945042293811249,spatial co-localization candidate; not proof of cellular communication
Xenium,LAMCORE,protease,50000,6,0.895456789740984,0.74625074985003,0.1003,7.440186937687239,spatial co-localization candidate; not proof of cellular communication
Xenium,LAMCORE,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
Xenium,LAMCORE,ECM_remodeling,50000,6,-0.10325146040032886,0.00599880023995201,0.1013,0.05921816623842063,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,LAMCORE,50000,6,-0.1132285463630808,0.003,0.10002,0.029994001199760048,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,lymphatic_endothelial,50000,6,0.004990846538702771,0.0306,0.10032,0.30502392344497603,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,immune,50000,6,0.07577023830897671,0.0634,0.10044,0.6312226204699323,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,protease,50000,6,-0.1100354350986906,0.0062,0.1003,0.06181455633100698,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
Xenium,LAF_fibroblast,ECM_remodeling,50000,6,0.23939489786861926,0.2302,0.1013,2.272458045409674,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,LAMCORE,50000,6,-0.08635543488131663,0.001993620414673046,0.10002,0.019932217703189824,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,LAF_fibroblast,50000,6,0.004990846538702772,0.030502392344497607,0.1,0.30502392344497603,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,immune,50000,6,-0.0512097617108312,0.025119617224880382,0.10044,0.25009575094464737,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,protease,50000,6,-0.07105398003726791,0.0043859649122807015,0.1003,0.043728463731612176,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
Xenium,lymphatic_endothelial,ECM_remodeling,50000,6,-0.05594696501260578,0.040271132376395534,0.1013,0.3975432613661948,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,LAMCORE,50000,6,-0.24650767683595123,0.0011947431302270011,0.10002,0.011945042293811249,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,LAF_fibroblast,50000,6,0.07577023830897671,0.06312226204699323,0.1,0.6312226204699323,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,lymphatic_endothelial,50000,6,-0.0512097617108312,0.025089605734767026,0.10032,0.25009575094464737,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,protease,50000,6,-0.2168310869730945,0.0033851055356431702,0.1003,0.03374980593861585,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
Xenium,immune,ECM_remodeling,50000,6,0.03766014463525527,0.07626443647949024,0.1013,0.7528572209229046,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,LAMCORE,50000,6,0.8954567897409841,0.7441674975074776,0.10002,7.440186937687239,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,LAF_fibroblast,50000,6,-0.11003543509869061,0.0061814556331006975,0.1,0.06181455633100697,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,lymphatic_endothelial,50000,6,-0.07105398003726791,0.004386839481555334,0.10032,0.043728463731612176,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,immune,50000,6,-0.21683108697309453,0.003389830508474576,0.10044,0.03374980593861585,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
Xenium,protease,ECM_remodeling,50000,6,-0.11436111340021106,0.016151545363908275,0.1013,0.15944269855783094,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,LAMCORE,50000,6,,,0.10002,,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,LAF_fibroblast,50000,6,,,0.1,,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,lymphatic_endothelial,50000,6,,,0.10032,,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,immune,50000,6,,,0.10044,,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,protease,50000,6,,,0.1003,,spatial co-localization candidate; not proof of cellular communication
Xenium,antiprotease,ECM_remodeling,50000,6,,,0.1013,,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,LAMCORE,50000,6,-0.10325146040032887,0.005923000987166831,0.10002,0.059218166238420626,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,LAF_fibroblast,50000,6,0.23939489786861926,0.22724580454096743,0.1,2.272458045409674,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,lymphatic_endothelial,50000,6,-0.05594696501260578,0.03988153998025666,0.10032,0.3975432613661948,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,immune,50000,6,0.03766014463525527,0.07561697926949655,0.10044,0.7528572209229047,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,protease,50000,6,-0.11436111340021106,0.015992102665350443,0.1003,0.15944269855783094,spatial co-localization candidate; not proof of cellular communication
Xenium,ECM_remodeling,antiprotease,50000,6,,,,,spatial co-localization candidate; not proof of cellular communication
