dataset_id,tree_kind,role,organism,relative_path,filename,file_category,provenance_status,size_bytes,size_gib,source_url,file_source_url,checksum_type,checksum,checksum_status,manifest_status,verification_note,dataset_notes
GSE135851,processed,human_lamcore_validation,Homo sapiens,data/processed/GSE135851/GSE135851_lam_states_snapshot.h5ad,GSE135851_lam_states_snapshot.h5ad,copied_input_snapshot,copied_input,455414758,0.424138,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135851,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135851,,,not_computed_large_file,,Read-only local snapshot used for preliminary human mapping.,"Copied local snapshot with preliminary candidate/other labels, not formal LAMCORE/LAF taxonomy."
GSE302356,processed,human_lamcore_laf_spatial_validation,Homo sapiens,data/processed/GSE302356/paper_state_marker_panels.csv,paper_state_marker_panels.csv,derived_marker_panel,derived_from_paper,6855,6e-06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302356,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302356,sha256,21d9db3a851736ac73b9512625bf2609daf92ed8781f05778ad68ba971df7e6b,computed_sha256,,Operational marker panel derived from the GSE302356 study report.,Multiple non-fully-paired modalities; LAM19 Xenium archive is staged but not in the current module-score pass.
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE70138_NCS_denominators.csv,GSE70138_NCS_denominators.csv,derived_processed,derived_local,113649,0.000106,,,sha256,15b5abf8eed80354e929052c833fa309187a1fbaafa16940944c99ef2efac6dd,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE70138_raw_WTCS.parquet,GSE70138_raw_WTCS.parquet,derived_processed,derived_local,132041880,0.122974,,,sha256,ab05c7d092d6ac1ad1bb73e99faa770054f3a96a4d39f722fdc1a5477e771c92,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE92742_NCS_denominators.csv,GSE92742_NCS_denominators.csv,derived_processed,derived_local,407268,0.000379,,,sha256,546e94587b50329f997739f24ccb204a5271106251639654a5854f56f49083ff,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/LINCS/candidate_intermediate/GSE92742_raw_WTCS.parquet,GSE92742_raw_WTCS.parquet,derived_processed,derived_local,743194011,0.692153,,,,,not_computed_large_file,,Derived analysis input.,
GSE70138,processed,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,data/processed/LINCS/gctx/GSE70138_Level5.gctx,GSE70138_Level5.gctx,derived_processed,derived_local,5824120558,5.424135,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,,,not_computed_large_file,,Derived analysis input.,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
GSE92742,processed,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,data/processed/LINCS/gctx/GSE92742_Level5.gctx,GSE92742_Level5.gctx,derived_processed,derived_local,23380287022,21.774589,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,,,not_computed_large_file,,Derived analysis input.,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/audit/LINCS_gene_analysis_signature_audit.csv,LINCS_gene_analysis_signature_audit.csv,derived_processed,derived_local,5817,5e-06,,,sha256,61ca2a4f63ccc186d5b4e3d0cb7f82285f54d40aeb9a13c33cc14c0c55a46102,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/audit/LINCS_gene_panel_mapping_audit.csv,LINCS_gene_panel_mapping_audit.csv,derived_processed,derived_local,44452,4.1e-05,,,sha256,5113a6dc8460ee32404becb7eb9ed418bec3e63cd36bc1eb3de7cd88fb694c72,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_enrichment_library_audit.csv,LINCS_enrichment_library_audit.csv,derived_processed,derived_local,301,0.0,,,sha256,e2d264f619c67274021e5272c9a8c9c43f45871a286421ffcd5f9873101d1bb6,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_generic_stress_burden.csv,LINCS_generic_stress_burden.csv,derived_processed,derived_local,12574,1.2e-05,,,sha256,2c414faae42b1cc63e24faf08e697486ac5db98a867beadefb4ea43000adf17e,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_generic_stress_program_coefficients_and_audit.csv,LINCS_generic_stress_program_coefficients_and_audit.csv,derived_processed,derived_local,28705,2.7e-05,,,sha256,0d757ffad433c0076fde75725e1035d05d95cadac20ec9943fa637c3e83f7bd3,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_module_stress_adjusted_retention.csv,LINCS_module_stress_adjusted_retention.csv,derived_processed,derived_local,29364,2.7e-05,,,sha256,eac049784082ab986b90470f3ce7b2cc321e2f47c0b2c958cdddda4e9b37150a,computed_sha256,,Derived analysis input.,
Unassigned,unknown,supporting_or_derived_data,,data/processed/candidate_analysis/deconvolution/LINCS_stable_module_GO_Reactome_MSigDB_enrichment.csv.gz,LINCS_stable_module_GO_Reactome_MSigDB_enrichment.csv.gz,derived_processed,derived_local,24742,2.3e-05,,,sha256,64237cc4a9178e2caf302f5ec795adbe234b52ca02460cddf51cf0b14e7b9ae4,computed_sha256,,Derived analysis input.,
