filter_row_id,dataset,canonical_query_hash,query_id,contrast,perturbation_key,perturbation_class,pert_iname,median_reversal_WTCS,median_reversal_NCS,max_reversal_NCS,fraction_reversed,n_signatures,n_cells,n_query_sizes,query_size_stable,exploratory,applicable_target_sizes,pert_type,q25_reversal_NCS,q75_reversal_NCS,best_context,cross_phase_status,measured_in_other_dataset,tier,tier1_eligible,row_direction_class,unique_drug_id
18,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.39473253,1.3948179210712193,1.962819570558916,0.8933333333333333,75,13,1,True,False,100,trt_cp,1.1164316021798903,1.5573715005740127,HEPG2|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
20,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.37514335,1.3939063874409192,1.958237566623583,0.8933333333333333,75,13,1,True,False,150,trt_cp,1.1748037427731368,1.5814458984337914,HEPG2|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
83,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::ql-x-138,compound,QL-X-138,0.31715697,1.1983502022779862,1.5992396130233268,0.8181818181818182,66,19,1,True,False,150,trt_cp,0.8897774158244662,1.344397617795139,PC3|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
222,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.31066027,1.1785587591994022,1.754082751839957,0.5789473684210527,38,7,1,True,False,150,trt_cp,0.0,1.3483707451199318,HELA|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
81,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::ql-x-138,compound,QL-X-138,0.3251055,1.1697687642767578,1.6249406264614423,0.7878787878787878,66,19,1,True,False,100,trt_cp,0.8662335317754764,1.3543864101655678,PC3|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
17,GSE92742,66896e3b5da2cdd6,tsc2_loss_hydrogel__q39x34__66896e3b5da2cdd6,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.35768694,1.15226827898473,1.6557190853466055,0.8,75,13,1,True,False,50,trt_cp,0.9093547545572338,1.3546774899976943,A549|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
238,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::ql-x-138,compound,QL-X-138,0.2902103,1.0749348912380825,1.9528772413898845,0.7971014492753623,138,15,1,True,False,150,trt_cp,0.794228759157082,1.2798959295127652,HA1E|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
248,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::zstk-474,compound,ZSTK-474,0.2838668,1.064531875881512,1.8628020562853853,0.7246376811594203,138,15,1,True,False,150,trt_cp,0.0,1.2285411382649114,HA1E|3.33 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::zstk474
247,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::wye-125132,compound,WYE-125132,0.28681377,1.059887134949924,1.706348542880892,0.6376811594202898,138,15,1,True,False,150,trt_cp,0.0,1.2354697440934452,HA1E|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::wye125132
154,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::torin-1,compound,torin-1,0.28057075,1.0443254909200892,1.871273411638511,0.7,180,17,1,True,False,150,trt_cp,0.0,1.2324754388939985,HA1E|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::torin1
