unique_drug_id,pert_iname,n_filtered_rows,datasets,contrasts,query_ids,n_query_sizes,applicable_target_sizes,median_reversal_NCS_across_rows,q25_reversal_NCS_across_rows,q75_reversal_NCS_across_rows,min_reversal_NCS,max_reversal_NCS,mean_fraction_reversed,n_positive_reversal_rows,n_mimic_direction_rows,n_weak_or_neutral_rows,direction_pattern,cross_phase_status,best_context
compound::homoharringtonine,homoharringtonine,6,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q39x34__66896e3b5da2cdd6;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,1,100;150;50,1.1654135190920663,1.0498241024888015,1.34006948038054,0.9921970399684796,1.3948179210712193,0.7161988304093567,6,0,0,reversal_direction,replicated_concordant,A549|10 µM|6 h;HELA|1.11 um|24 h;HEPG2|10 µM|6 h
compound::torin1,torin-1,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,1,150,1.008681743427139,0.9908598696806638,1.026503617173614,0.9730379959341886,1.0443254909200892,0.6763888888888889,2,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;HA1E|0.37 um|24 h
compound::wye125132,WYE-125132,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,1,150,1.006562271290645,0.9798998394610057,1.0332247031202846,0.9532374076313662,1.059887134949924,0.6445981554677207,2,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;HA1E|0.04 um|24 h
compound::zstk474,ZSTK-474,8,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.98912647937348,0.9256495218459865,1.0279945710201852,0.8876269504893879,1.064531875881512,0.6665138816134102,8,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;HA1E|3.33 um|24 h;MCF7|10 µM|6 h;PC3|3.33 um|24 h;VCAP|10 µM|6 h
compound::qlx138,QL-X-138,10,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q39x34__66896e3b5da2cdd6;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150;50,0.9844340615374338,0.8810686996005814,1.0615251418592475,0.7912520821232454,1.1983502022779862,0.6804347826086957,10,0,0,reversal_direction,replicated_concordant,A375|0.37 um|24 h;BT20|3.33 um|24 h;HA1E|1.11 um|24 h;MCF7|10 µM|6 h;PC3|10 µM|6 h;SKBR3|100 nM|6 h
compound::buparlisib,buparlisib,8,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9606051732723482,0.8496602430402059,0.9900956634401088,0.7291213216571492,1.0329952843777956,0.6262175324675325,8,0,0,reversal_direction,replicated_concordant,HA1E|1.11 um|24 h;HS578T|1.11 um|24 h;MCF10A|0.04 um|24 h;MCF7|0.12 um|24 h;MCF7|10 µM|6 h;MDAMB231|500 nM|24 h
compound::gsk2126458,GSK-2126458,6,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9453960941301659,0.921465808681864,0.9780377165550326,0.8308866594243123,1.031033776041614,0.6050724637681159,6,0,0,reversal_direction,replicated_concordant,HA1E|0.04 um|24 h;HCC515|0.04 um|24 h;HS578T|100 nM|24 h;MCF10A|100 nM|6 h;MDAMB231|500 nM|24 h
compound::gsk1059615,GSK-1059615,6,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9256585649387682,0.9032674232255662,0.9720620958333657,0.7923011950446612,1.0342471132685764,0.622495435561093,6,0,0,reversal_direction,replicated_concordant,ASC.C|0.12 um|24 h;ASC.C|0.37 um|24 h;MCF10A|10 µM|24 h;PC3|0.37 um|24 h
compound::nemonapride,nemonapride,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,1,150,0.9180081514144758,0.8987691100655258,0.9372471927634256,0.879530068716576,0.9564862341123754,0.6033026113671275,2,0,0,reversal_direction,replicated_concordant,MCF7|0.37 um|24 h;NEU|10 µM|6 h
compound::pi103,PI-103,10,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q34x29__8d3134ad07f43cf3;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150;50,0.9178799016875345,0.8788414864480744,0.9488644403896334,0.2993565805051438,1.0090123510912927,0.5941347099311701,10,0,0,reversal_direction,replicated_concordant,HA1E|0.04 um|24 h;HA1E|10 µM|24 h;HCC515|10 µM|24 h;MCF10A|3.33 um|3 h;PC3|0.04 um|24 h;PC3|10 µM|6 h;SW620|10 µM|6 h
compound::ikkinhibitorx,IKK-inhibitor-X,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,1,150,0.9104903232992536,0.9017627910268985,0.9192178555716088,0.8930352587545434,0.927945387843964,0.7048022598870056,2,0,0,reversal_direction,replicated_concordant,A375|10.0 um|6 h;SNGM|5 µM|6 h
compound::osi027,OSI-027,8,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9092555795774225,0.8713331896831189,0.9680644155947429,0.652391416490878,1.033009553093592,0.5837046939988116,8,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;BT20|500 nM|24 h;PC3|1.11 um|24 h;PC3|3.33 um|24 h;VCAP|10 µM|6 h
compound::lestaurtinib,lestaurtinib,2,GSE70138;GSE92742,tsc2_loss_plastic,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100,0.9021622702202925,0.8655718761425141,0.9387526642980708,0.8289814820647357,0.9753430583758492,0.5958333333333333,2,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;HELA|1.11 um|24 h
compound::nvpbez235,NVP-BEZ235,6,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.8816797474676054,0.8440183536624454,0.9458331114250458,0.690143935635616,0.9606906377104464,0.5873670700403374,6,0,0,reversal_direction,replicated_concordant,A375|1.11 um|24 h;HA1E|0.37 um|24 h;HA1E|500 nM|6 h;PC3|1.11 um|24 h;VCAP|500 nM|6 h
compound::niacin,niacin,8,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q39x34__66896e3b5da2cdd6;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q34x29__8d3134ad07f43cf3,1,100;150;50,0.8780608774410879,0.8090440737693303,0.8981147191223131,0.3334731077795726,0.9951865144279805,0.5567857142857142,8,0,0,reversal_direction,replicated_concordant,HA1E|0.04 um|24 h;HCC515|10 µM|6 h;HT29|10 µM|6 h;MCF7|0.04 um|24 h;MCF7|0.37 um|24 h;VCAP|10 µM|24 h
compound::fadrozole,fadrozole,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,1,150,0.8715498323004005,0.805144964537675,0.9379547000631261,0.7387400967749495,1.0043595678258517,0.7619047619047619,2,0,0,reversal_direction,replicated_concordant,PC3|10 µM|24 h;YAPC|10.0 um|24 h
compound::azd8055,AZD-8055,4,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.8674286501689612,0.8456208470492981,0.8729063624441088,0.7821460325166606,0.8873909044431995,0.5993605509099853,4,0,0,reversal_direction,replicated_concordant,HA1E|0.04 um|24 h;MDAMB231|500 nM|24 h;RMGI|10 µM|6 h
compound::ly294002,LY-294002,8,GSE70138;GSE92742,tsc2_loss_hydrogel;tsc2_loss_plastic,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926;tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.8654246072310158,0.8011509365135262,0.9004667638967572,0.7794412842539674,0.9851899946920412,0.6268095238095238,8,0,0,reversal_direction,replicated_concordant,A375|10.0 um|6 h;HA1E|10 µM|24 h;PC3|10 µM|24 h;PC3|10.0 um|6 h
compound::pazufloxacin,pazufloxacin,2,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,1,100,0.8528021767016802,0.8358634165637364,0.869740936839624,0.8189246564257926,0.8866796969775678,0.5465367965367965,2,0,0,reversal_direction,replicated_concordant,A549|10 µM|6 h;HELA|0.37 um|24 h
compound::qlxii47,QL-XII-47,4,GSE70138;GSE92742,tsc2_loss_hydrogel,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0;tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,1,100;150,0.8521909032035284,0.7848613005521574,0.9100910671244937,0.7255404745779916,0.9411235769074427,0.5694834362717575,4,0,0,reversal_direction,replicated_concordant,MDAMB231|1 µM|6 h;SKBR3|1 µM|6 h;SKBR3|3.33 um|3 h
compound::gatifloxacin,gatifloxacin,2,GSE70138;GSE92742,tsc2_loss_plastic,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100,0.8438474413781801,0.8183701725419377,0.8693247102144226,0.7928929037056953,0.8948019790506649,0.5938095238095238,2,0,0,reversal_direction,replicated_concordant,HELA|0.04 um|24 h;PC3|10 µM|24 h
