unique_drug_id,pert_iname,n_filtered_rows,datasets,query_ids,n_query_sizes,applicable_target_sizes,median_reversal_NCS_across_rows,q25_reversal_NCS_across_rows,q75_reversal_NCS_across_rows,min_reversal_NCS,max_reversal_NCS,mean_fraction_reversed,n_positive_reversal_rows,n_mimic_direction_rows,n_weak_or_neutral_rows,direction_pattern,cross_phase_status,best_context
compound::zstk474,ZSTK-474,4,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9966319047601577,0.9580545667654286,1.0279945710201852,0.9308198572721128,1.0335852653093958,0.6665138816134102,4,0,0,reversal_direction,replicated_concordant,HA1E|3.33 um|24 h;MCF7|10 µM|6 h;PC3|3.33 um|24 h;VCAP|10 µM|6 h
compound::gsk2126458,GSK-2126458,2,GSE70138;GSE92742,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100,0.9744172088924568,0.9461089253178782,1.0027254924670355,0.9178006417432996,1.031033776041614,0.6096014492753623,2,0,0,reversal_direction,replicated_concordant,HCC515|0.04 um|24 h;MDAMB231|500 nM|24 h
compound::qlx138,QL-X-138,4,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.9292054294339132,0.8588779997281504,0.9807124740710707,0.7912520821232454,0.99187723647016,0.6203886693017128,4,0,0,reversal_direction,replicated_concordant,A375|0.37 um|24 h;HA1E|1.11 um|24 h;MCF7|10 µM|6 h;PC3|10 µM|6 h
compound::lestaurtinib,lestaurtinib,2,GSE70138;GSE92742,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100,0.9021622702202925,0.8655718761425141,0.9387526642980708,0.8289814820647357,0.9753430583758492,0.5958333333333333,2,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;HELA|1.11 um|24 h
compound::pi103,PI-103,6,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q34x29__8d3134ad07f43cf3;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150;50,0.8934372472150469,0.667173480087485,0.9274469877386631,0.2993565805051438,0.954109403078276,0.5770812848246477,6,0,0,reversal_direction,replicated_concordant,HA1E|0.04 um|24 h;HCC515|10 µM|24 h;MCF10A|3.33 um|3 h;PC3|0.04 um|24 h;PC3|10 µM|6 h
compound::osi027,OSI-027,4,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.8849291828343264,0.8713331896831189,0.898971766582142,0.8418215224871013,0.9298232055679836,0.5560011883541296,4,0,0,reversal_direction,replicated_concordant,BT20|500 nM|24 h;PC3|3.33 um|24 h
compound::buparlisib,buparlisib,4,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150,0.8641336214049605,0.7479370218812531,0.9887925617349238,0.7291213216571492,1.0329952843777956,0.5846185064935066,4,0,0,reversal_direction,replicated_concordant,HA1E|1.11 um|24 h;MCF7|0.12 um|24 h;MCF7|10 µM|6 h;MDAMB231|500 nM|24 h
compound::gsk1059615,GSK-1059615,2,GSE70138;GSE92742,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100,0.8627848994625489,0.8275430472536051,0.8980267516714926,0.7923011950446612,0.9332686038804364,0.5854862596675992,2,0,0,reversal_direction,replicated_concordant,ASC.C|0.37 um|24 h;MCF10A|10 µM|24 h
compound::niacin,niacin,2,GSE70138;GSE92742,tsc2_loss_plastic__q34x29__8d3134ad07f43cf3,1,50,0.8545144702042097,0.8395567808836426,0.8694721595247767,0.8245990915630755,0.8844298488453438,0.5457142857142857,2,0,0,reversal_direction,replicated_concordant,HCC515|10 µM|6 h;MCF7|0.04 um|24 h
compound::gdc0941,GDC-0941,6,GSE70138;GSE92742,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878;tsc2_loss_plastic__q34x29__8d3134ad07f43cf3;tsc2_loss_plastic__q73x60__3ed553c25262a7f3,1,100;150;50,0.8462594190697637,0.7595967986335237,0.8982502466184368,0.6677492203486262,0.9293330842676064,0.5748677248677249,6,0,0,reversal_direction,replicated_concordant,ASC|10 µM|24 h;BT20|3.33 um|3 h;HA1E|0.37 um|24 h;SKBR3|1.11 um|3 h
