dataset,group,patient_id,state_label,n_cells,mimic_only__stable_1_rank_score,mimic_only__stable_1_n_genes,reversal_only__stable_2_rank_score,reversal_only__stable_2_n_genes,reversal_only__stable_3_rank_score,reversal_only__stable_3_n_genes
GSE135851,Donor1|candidate,Donor1,candidate,1292,0.5742857142857143,70,0.5939759036144577,83,0.5870370370370371,27
GSE135851,Donor1|other,Donor1,other,6020,0.5185714285714285,70,0.5156626506024098,83,0.5333333333333333,27
GSE135851,LAM1|candidate,LAM1,candidate,156,0.6814285714285716,70,0.6740963855421687,83,0.6388888888888891,27
GSE135851,LAM1|other,LAM1,other,7501,0.59,70,0.5132530120481927,83,0.6333333333333333,27
GSE135851,LAM2|candidate,LAM2,candidate,28,0.4607142857142858,70,0.5409638554216867,83,0.42407407407407405,27
GSE135851,LAM2|other,LAM2,other,6942,0.5485714285714286,70,0.560843373493976,83,0.5388888888888889,27
GSE135851,LAM3|candidate,LAM3,candidate,585,0.4978571428571429,70,0.5463855421686747,83,0.5351851851851852,27
GSE135851,LAM3|other,LAM3,other,6296,0.49000000000000005,70,0.4759036144578313,83,0.5018518518518519,27
GSE135851,LAM4|candidate,LAM4,candidate,244,0.4885714285714286,70,0.5216867469879518,83,0.4796296296296297,27
GSE135851,LAM4|other,LAM4,other,1013,0.6499999999999999,70,0.5572289156626505,83,0.6277777777777778,27
