gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
5S_rRNA,,,,,,,,,,-0.0124952333511253,1.0,0.005019861937408,1.0,-0.0175836283310671,1.0,0.0175150952885334,1.0,-0.0050883949799418,1.0
5_8S_rRNA,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7SK,,,,,,,,,,-0.0616195105872454,0.4371842478797374,-0.0408035553347214,1.0,-0.0431695719206249,1.0,0.0208159552525239,1.0,0.0018365329568903,1.0
A1BG,-0.01347557703654,-0.0133261680603018,-0.0268017450968419,0.533551185640499,0.537968340522618,0.23417198084217,0.754396558000462,0.749625445649268,0.498446981687782,0.3544517277555159,0.2739337576076397,0.0809270839037179,1.0,-0.1381180941595139,1.0,-0.273524643851798,1.0,-0.3360602314835272,1.0
A1BG-AS1,-0.0615905125935869,-0.001477400461832,-0.063067913055419,0.078284158797484,0.96192250884495,0.0727827100137132,0.241991301234494,1.0,0.2608644174756,0.0381856854573703,1.0,-0.1609841671939653,0.907457235990452,0.1037057545388948,1.0,-0.1991698526513357,1.0,0.3987281011545371,1.0
A1CF,0.0085249741872157,-0.0130221048990888,-0.004497130711873,0.672363945119144,0.521983980343631,0.822607284149376,0.854073310726172,0.735756468196441,0.938291768949216,-0.0009929825439067,1.0,-0.4948078026170124,0.2399733792230695,-0.5088888756524673,0.959679289921001,-0.4938148200731056,0.5987970898696785,-0.5575934971997106,1.0
A2M,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6144973908914118,0.6328511143607698,0.6348902980980125,0.8024968476719954,0.2489922791944607,1.0,0.0203929072066006,1.0,-0.7807142756830336,1.0
A2M-AS1,0.0584603945414228,-0.0832858085632315,-0.0248254140218087,0.217671884090167,0.0950694085793074,0.583044712874427,0.469765750392264,0.256453139887478,0.777718219516182,-1.451960423700003,0.0065537639134386,-0.1212604694438339,1.0,0.1312404046280625,1.0,1.330699954256169,0.1616684287621254,0.4442991165475718,1.0
A2ML1,0.0131705602010088,-0.0131705602010088,0.0,0.312215690721046,0.312215690721046,1.0,0.563827580448657,0.544339883705718,1.0,-0.0788718464508376,1.0,-0.0479214928934511,1.0,-0.0210258088745241,1.0,0.0309503535573865,1.0,-0.0616263904804295,1.0
A2ML1-AS1,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
A2ML1-AS2,,,,,,,,,,-0.0160896653781689,1.0,0.2050950606916401,0.0160689277880925,0.2057683889832973,0.3069578337375394,0.2211847260698091,0.0729138167034455,0.2657728549409948,0.6601494969151542
A2MP1,,,,,,,,,,0.0,1.0,0.0368068319048727,1.0,0.0368068319048727,1.0,0.0368068319048727,1.0,-0.1136465226844405,1.0
A3GALT2,,,,,,,,,,-0.0640763056662744,0.5640045848647993,0.0,1.0,0.0,1.0,0.0640763056662744,1.0,0.0640763056662744,1.0
A4GALT,0.08453369140625,-0.0753278732299814,0.0092058181762686,0.0443838412060143,0.0656557408419674,0.797417213806315,0.16241092813425,0.195885795299656,0.923976039840514,0.0008178336160824,1.0,0.1649173792875446,1.0,0.576327298447219,1.0,0.1640995456714622,1.0,0.2280766656110278,1.0
A4GNT,0.0669337908426919,-0.107002099355062,-0.0400683085123696,0.307211590174163,0.12184188850123,0.530755447346583,0.558545290933331,0.305051262205697,0.739359283736705,0.0,1.0,0.0353009962066706,1.0,-0.0184495213615554,1.0,0.0353009962066706,1.0,-0.0681471254527055,1.0
AA06,0.0960796674092634,-0.0734488169352217,0.0226308504740418,0.0961117061202493,0.185185693988034,0.6642955777826,0.2788534029044,0.40197820637802,0.834777277804276,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
AAAS,0.126072565714519,-0.177316347757976,-0.051243782043457,0.093444478969964,0.0294323722014074,0.455821190416519,0.273643306716802,0.106771054367418,0.68278941629238,-0.6087521472886235,9.061711870574196e-05,-0.1112377918746885,0.74756226691931,-0.0696167737009063,1.0,0.4975143554139349,0.0202103886300823,0.1996053883923232,1.0
AACS,-0.425110658009846,0.419626077016193,-0.0054845809936523,8.56344234256806e-05,9.30024941933284e-05,0.9194740362077,0.0013175798353333,0.0010826142337694,0.993493956105481,0.2419301638016504,0.542610628780176,-0.191583617404691,0.9705142031871298,0.1153787629458702,1.0,-0.4335137812063414,0.5388037517346063,0.0133219528157808,1.0
AACSP1,0.0129332542419442,0.0123418172200518,0.025275071461996,0.422347462564544,0.442905502763269,0.139956772036058,0.662837402685805,0.667486340846561,0.378931968433416,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0169491669646996,1.0
AADAC,0.0685278574625663,0.232945601145426,0.301473458607992,0.228960158964311,0.0029023818728239,0.0006783064166729,0.484120746448238,0.0165701887724975,0.0099559892097305,-0.2240854312952521,0.1551723974296882,0.083008759206794,1.0,0.0492761962993886,1.0,0.3070941905020461,0.3412679963852054,0.2608283319960006,1.0
AADACL2,0.003735542297365,0.004000186920166,0.007735729217531,0.958706596488983,0.955784723628304,0.914641761330035,1.0,1.0,0.991011177059916,-0.0165605357342728,1.0,0.0,1.0,0.0,1.0,0.0165605357342728,1.0,-0.0003886312304268,1.0
AADACL2-AS1,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
AADACL3,0.0378647645314523,0.0,0.0378647645314523,0.387612848892427,1.0,0.387612848892427,0.632961563790324,1.0,0.623955586794453,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.1110457036849459,1.0
AADACL4,-0.100804805755615,0.0001179377237958,-0.100686868031819,0.0377394253489906,0.997693946720307,0.0379041728604684,0.144306678409462,1.0,0.1748916968533,0.0475698366936304,1.0,0.0314816333609074,1.0,0.0314816333609074,1.0,-0.0160882033327229,1.0,0.063911168882149,1.0
AADACP1,0.096735477447508,-0.0005002021789541,0.0962352752685538,0.0415624087299915,0.990072054214796,0.0423520225786085,0.154766733021974,1.0,0.187616989534333,0.0128855779236327,1.0,-0.1949937563180488,0.1465264535458257,-0.1533436709720098,1.0,-0.2078793342416815,0.3780685496773437,-0.394408199125022,0.674598304936898
AADAT,-0.0056832631429024,-0.0077679951985683,-0.0134512583414708,0.586990278165226,0.462057886692537,0.220012082323721,0.795225653064228,0.68492275702533,0.482835143493361,-0.9621374841634704,1.3030149854685524e-05,-0.7251308793095217,0.0005208407375987,-0.332276937163221,0.5715973760401595,0.2370066048539487,0.5724655225513307,-0.2236959072378535,1.0
AAGAB,-0.283593813578289,0.190646489461264,-0.0929473241170253,0.0001237339846304,0.0013464024791122,0.0404651471570506,0.0017321508210744,0.0087790783173484,0.182551258212279,0.2552529082876527,0.0272806634459507,0.2330106061142332,0.1060572967595419,0.4086920133049423,0.1774607581692119,-0.0222423021734194,1.0,0.4720041602471716,0.5801135318474594
AAK1,-0.0243779023488342,0.0255857308705645,0.0012078285217302,0.470262948788183,0.449443528453157,0.970886961092836,0.70338045061928,0.673869365104095,1.0,-0.1106483548335868,1.0,-0.2694339940803263,0.9433199435965685,-0.5958095366629044,0.9241320018224763,-0.1587856392467395,1.0,-0.3177478060391911,1.0
AAMDC,-0.0210870107014971,-0.0954113006591797,-0.116498311360677,0.575358559223804,0.0327240999342259,0.0142592092010998,0.787499178604451,0.115983654163298,0.0898860247820452,-0.2255832323842628,0.3804388589408208,-0.1080745233674078,1.0,0.122576243782801,1.0,0.1175087090168549,1.0,0.1015867928364038,1.0
AAMP,-0.0061128934224443,0.0590856870015459,0.0529727935791016,0.885749931880639,0.193163444916255,0.237778943218688,0.985953485626912,0.41303326488532,0.502145780989122,-0.3311054473297385,0.0014852090403092,-0.0395459999426375,1.0,0.1026235618607911,1.0,0.291559447387101,0.079035380770412,0.2941842403426635,0.8965632923969867
AANAT,-0.0615773995717364,-0.0570551554361973,-0.118632555007934,0.179197213841658,0.209169765203592,0.0239079664831189,0.416251508488544,0.435762750371864,0.129626708457917,0.0147932579033792,1.0,-0.0504714784201056,1.0,0.1712554480370784,1.0,-0.0652647363234849,1.0,0.1379875623275609,1.0
AAR2,0.0260299046834307,0.0060032208760585,0.0320331255594892,0.227301774914345,0.769001405107114,0.147495875817303,0.482234732759716,0.920952847288309,0.388651795326396,-0.4536095294764166,7.670471043178434e-05,-0.1632622719456788,0.1372430385009044,-0.0680040043276384,1.0,0.2903472575307377,0.0559335232406799,0.0339435886008399,1.0
AARD,0.0200093587239598,0.0205389658610029,0.0405483245849627,0.642777853308413,0.634154334912011,0.358911399718757,0.834083277575391,0.824504086337476,0.599942083841966,-0.0160896653781689,1.0,-0.1197445050901112,0.6744503388537526,-0.1381099770965232,1.0,-0.1036548397119422,1.0,-0.0688848854199812,1.0
