gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,same_direction
COL8A1,1.16364606221517,1.53062778776412e-05,1.526279565725753,0.0074548906337068,-0.251123110453289,0.0219807181478956,True
NNMT,1.23029232025147,0.0003157454026926,1.6376995152568523,0.0019614306660905,-0.650895436604817,0.0096025652272573,True
CAT,-0.526304562886555,0.000630353328046,-0.7011052454532605,0.0035009509582609,-0.231939951578774,0.0361253088900806,True
OPA1,-0.236993471781407,0.0007205164304298,-0.5394032803647084,0.0417076924303186,0.121093114217127,0.0221258726230738,True
ANGPT1,0.200729846954345,0.0007331199645968,1.7135368432643876,0.0306468500586251,0.082393964131672,0.0525718886134542,True
PCGF5,0.201966126759851,0.0020205322846081,0.6826291697173983,0.0415604300170181,0.0956271489461304,0.0692152828844155,True
CBFA2T2,-0.264725049336749,0.0028886031115527,-0.88560110249542,0.0495510938678553,-0.0102641582488996,0.924017244199218,True
ZNF114,-0.328427473704018,0.0031463105622755,-1.4947281514023127,0.0364589945627661,0.248544375101726,0.0166348892785565,True
HMGA1,0.520359039306641,0.0147505268886968,0.8152144689906629,0.0491131058720182,-0.0502440134684239,0.830780284730009,True
BZW2,-0.247694969177244,0.0225244645970725,-0.5899616891894497,0.0056382382128066,-0.0986439387003575,0.362158725689005,True
HNRNPDL,-0.120276133219402,0.0234309726646048,-0.5179876218633481,0.0162985040432745,0.0330429077148438,0.535940022675045,True
PKM,-0.312842210133875,6.70772138210305e-05,0.7670744009966777,0.0364589945627661,0.069175879160559,0.0729725099475375,False
ADAMTSL1,0.440374533335367,0.0002609085477448,-0.953086697471337,0.037475634524007,0.179072539011637,0.0232999993605323,False
CYSTM1,-0.79607160886129,0.0013350815742457,0.9476950126301456,0.0286106989739686,-0.375323216120405,0.0515024028588806,False
YLPM1,0.403994957605999,0.0022653325034673,-0.9484085361054332,0.0169184521309904,0.0657384395599383,0.535940022675045,False
LRRC37A2,0.169534842173261,0.0053360931588776,-0.910804485757306,0.0306468500586251,-0.0786052544911691,0.142251665347868,False
H2BC15,0.42026170094808,0.0119751521630167,-1.3753468367396111,0.0262593031553248,0.327582041422525,0.0473322310634591,False
FAP,-0.165197372436523,0.0134085383621033,1.118841731560837,0.0359973524662954,-0.408172925313314,0.0004420211043768,False
SLC40A1,-0.122116963068644,0.0346899953780748,1.28894538194348,0.0104805688176527,0.232768535614015,0.0034400376028116,False
