sample_id,group,perturbation,treatment,replicate,layer,chp_file,paired_gene_expression_sample_id
GSM2795553,shGFP_vehicle,shGFP,vehicle,1,gene_expression,GSM2795553_1_1998A.sst-rma-gene-full.chp.gz,
GSM2795562,shGFP_vehicle,shGFP,vehicle,1,splice_isoform,GSM2795562_1_1998A.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795553
GSM2795554,shGFP_vehicle,shGFP,vehicle,2,gene_expression,GSM2795554_2_1998H.sst-rma-gene-full.chp.gz,
GSM2795563,shGFP_vehicle,shGFP,vehicle,2,splice_isoform,GSM2795563_2_1998H.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795554
GSM2795555,shGFP_vehicle,shGFP,vehicle,3,gene_expression,GSM2795555_3_1998I.sst-rma-gene-full.chp.gz,
GSM2795564,shGFP_vehicle,shGFP,vehicle,3,splice_isoform,GSM2795564_3_1998I.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795555
GSM2795556,shGFP_rapamycin,shGFP,rapamycin,1,gene_expression,GSM2795556_4_1998J.sst-rma-gene-full.chp.gz,
GSM2795565,shGFP_rapamycin,shGFP,rapamycin,1,splice_isoform,GSM2795565_4_1998J.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795556
GSM2795557,shGFP_rapamycin,shGFP,rapamycin,2,gene_expression,GSM2795557_5_1998K.sst-rma-gene-full.chp.gz,
GSM2795566,shGFP_rapamycin,shGFP,rapamycin,2,splice_isoform,GSM2795566_5_1998K.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795557
GSM2795558,shGFP_rapamycin,shGFP,rapamycin,3,gene_expression,GSM2795558_6_1998L.sst-rma-gene-full.chp.gz,
GSM2795567,shGFP_rapamycin,shGFP,rapamycin,3,splice_isoform,GSM2795567_6_1998L.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795558
GSM2795559,shSRPK2_vehicle,shSRPK2,vehicle,1,gene_expression,GSM2795559_7_1998M.sst-rma-gene-full.chp.gz,
GSM2795568,shSRPK2_vehicle,shSRPK2,vehicle,1,splice_isoform,GSM2795568_7_1998M.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795559
GSM2795560,shSRPK2_vehicle,shSRPK2,vehicle,2,gene_expression,GSM2795560_8_1998N.sst-rma-gene-full.chp.gz,
GSM2795569,shSRPK2_vehicle,shSRPK2,vehicle,2,splice_isoform,GSM2795569_8_1998N.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795560
GSM2795561,shSRPK2_vehicle,shSRPK2,vehicle,3,gene_expression,GSM2795561_9_1998O.sst-rma-gene-full.chp.gz,
GSM2795570,shSRPK2_vehicle,shSRPK2,vehicle,3,splice_isoform,GSM2795570_9_1998O.sst-rma-alt-splice-sst-dabg.chp.gz,GSM2795561
