gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
ARF5,112.58059499999999,112.43054599999999,124.917543,133.86229,147.88078330000002,206.85470270000002
M6PR,347.22304,381.050681,344.791966,123.01626399999999,119.425029,69.899002
ESRRA,8.752947,6.4337569,7.792867,8.963622,8.81205111425,11.401526
FKBP4,112.440223,116.576406,75.225133,199.304309,206.766392,148.50341
CYP26B1,0.0670413,0.0289488,0.124328,6.28565,5.7394739999999995,5.682313000000001
NDUFAF7,10.852400000000001,9.039951,10.097294000000002,21.640194,21.552764,18.104748
FUCA2,126.90284,136.395444,130.053475,109.739239,116.04646000000001,95.49701
DBNDD1,2.40388261644,1.99160739536,3.2976758702,11.2063492427,10.2303578,13.8440919
HS3ST1,0.0,0.0283927,0.0135443,0.0221663,0.0,0.00860727
SEMA3F,22.158745999999997,21.076587,27.994619999999998,8.167329,6.2028560815642,5.003041
CFTR,0.2398393,1.8544492000000001,1.8946519999999998,0.22763413,1.9021367000000002,0.1884267
CYP51A1,146.52578,160.113667,204.9469338,109.526319,119.545155,86.634958
USP28,41.451043999999996,42.304112,46.923187,52.283196000000004,50.538723,36.46486501057
STPG1,13.722994,12.204798,14.059201999999999,13.493568,12.95846,15.92408
NIPAL3,19.429828,19.3797529,23.385043,22.333375,22.8949727,22.702065
TMEM176A,0.0694507,0.224938,0.0,0.23535869999999998,0.1972461,0.49469719999999995
SLC7A2,0.813055066,0.63540457,0.542827535787367,14.5719380556742,14.41147,7.9326855
HSPB6,22.7106,19.675,29.0857,0.300595,0.5636490000000001,0.396996
ZNF195,26.743491,24.160773,16.788107561,26.200117000000002,25.786835,18.765914559434
PDK4,2.294996,2.37656,3.9261,1.08618,0.90711,1.02473
CCL26,5.26103,4.21985,4.94173,2.25561,0.800561,0.884112
USH1C,0.0,0.0,0.0,2.422223,2.3495497,3.5915612
RALA,58.360089,60.64273,63.649727999999996,35.53127,36.324575,34.673047
BCAP29,68.946885,76.968115,86.930176,48.098707,53.40155,40.021901
BAIAP2L1,24.818555000642665,25.663134000000003,30.676318000000002,25.922351,25.077834000000003,24.208904999999998
CACNG3,0.0,0.0,0.0188284,0.0119881,0.0353818,0.0
TMEM132A,20.95012,17.940432,23.643152,23.688052,20.830398,22.121996771979
DVL2,42.209872,36.6010828,39.837778,52.175841999999996,42.332368,48.863277
GGCT,41.91052700000001,45.580819,41.666452,72.519668,71.345733,68.61997
RPAP3,40.045369,41.505303,38.375541,75.651394,76.716336,65.17908
IFRD1,57.8696073,60.688766,39.602745,50.144575,50.3784028,29.319772300000004
UPP2,0.160135,0.2901048,0.3337683,0.0170492,0.0,0.0299758
PRSS21,0.16748,0.112197,0.0,0.6698390000000001,0.8525769999999999,0.29706929103
HOXA11,15.60059,15.2961,12.922820000000002,27.79505,29.26559,26.43538
CX3CL1,0.0552194,0.0694852,0.0587843,0.0434238,0.0914607,0.07702537500000001
PRR5,0.189148,0.0324409,0.0284681,8.56106281,8.046239,8.152828000524154
TRAPPC6A,2.50972,2.0183200028718,4.683911,5.944447,6.9161969999999995,15.907549999999999
SPATA20,65.430834,56.093643109087004,74.959069134508,16.569633,14.6005842,17.6972613
CEACAM7,0.0,0.0,0.0,0.0,0.0,0.0
CD79B,0.0,0.0,0.0,0.1821085,0.17657040000000002,0.345052
RHBDD2,50.911145,43.667590000000004,47.844754,39.330572,39.466263,41.8810639962
RPUSD1,12.744886000000001,9.163543,9.524676,22.370232,17.978779,20.979624
TSR3,34.17669,24.83925,28.65982,34.21287,31.77452,46.812549999999995
OSBPL7,5.147481,6.607138,5.808777,2.14104686,0.9956537,1.5920486999999999
ARHGAP33,3.7425566999999997,2.724516,7.8857646,9.677468999999999,5.61409400112136,4.4821311
NDUFAB1,109.16360399999999,128.188774,107.12021399999999,152.106648,169.62795500000001,168.678591
YBX2,0.0732366,0.28689180000000003,0.444231,0.23012235777899998,0.1500613,0.0335502
PDK2,36.6440138,36.177085000000005,51.859774,33.639676,29.226401,41.389942
ITGA3,485.383054,484.841421,540.934022,28.349301200000003,25.8956689,11.18659
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0
LRRC23,6.643651,6.887320892,8.704063,4.227362,3.8136642,7.138491999999999
IL32,0.26190969999999997,0.23764190000000002,0.194851,1.65736556,2.76123478619211,3.4361526419
TFAP2D,0.0,0.0,0.0,0.0,0.0,0.0
SPRTN,4.504198,4.604592,2.9898728,27.553556,28.356444999999997,20.291271000000002
CRY1,20.067355,21.43488,14.072823999999999,40.6395944,39.554638000000004,29.091715
MAPK8IP2,0.49353600000000003,0.252913,0.3733356,5.412190000000001,4.6294699999999995,5.44323
PGLYRP1,0.0,0.0,0.0,0.195561,0.0638236,0.062792
STARD3NL,87.875623,90.590334,89.376316,53.498869,55.291385,52.29963
CAMK1G,0.561038,0.852458,0.678671,0.0616575,0.2249259,0.16188180000000002
CD9,141.112253,152.846661,240.7136467,43.026064999999996,41.311487,48.860818800000004
CD74,20.354885,16.638885,33.91579,6.6865505999999995,4.893198,4.5539769
RPS20,1478.789487,1580.13655,1592.165854,1449.61504,1528.6935,1948.11282
DYRK4,43.344653,46.3475239,43.80329,43.434429300000005,41.2748005,45.987233700000004
FAM76A,11.976379999999999,12.435205,11.415813,15.020007146167,14.341364,11.475154
MGST1,807.0583389999999,891.750267517,721.471105,169.935161,177.22681960000003,109.01044300000001
CPA1,0.0,0.0,0.0,0.0,0.0,0.0
SYPL1,138.820391,147.231548,153.97347200000002,64.551969,62.855735,53.787794999999996
RANBP9,61.024100000000004,62.43858,62.399348,46.85809,45.825590000000005,38.00373999999999
CD4,0.6346679,0.7437134,1.0877288999999999,0.8748525,0.8283419,0.6800968000000001
PLEKHG6,0.729279,0.3372469,0.446191,0.090299,0.2341339,0.0947186
SS18L2,32.957025,38.710008,34.528041,38.131893,41.552475,37.920911
VPS13D,10.85538474,11.881579,10.9386939,8.5109885,8.157695480000001,5.26385892714
TSPAN9,10.717495,7.751488,11.584743,15.241771,15.487088,15.126327999999999
CYP4F2,0.0231644,0.0295205,0.0894358,0.218422,0.2118991,0.22302280000000002
QPCTL,6.560823,4.6883300000000006,5.30378,8.667349,7.49716,6.906288
HIVEP2,10.9600835,11.88693883438,14.911955540000001,10.92952,9.4499018001,4.754801
PPP5C,59.399633,66.714151,64.51854,124.0491499,134.33607600000002,114.53394540000001
NME1,172.26856299999997,178.2039416,138.4586006,322.70590339999995,371.584606,336.356377
UBR7,28.771321999999998,32.23258,31.454465499999998,28.6814227,28.737607,22.943649
MAP4K5,24.94864,25.267897,23.532189,33.339556200000004,30.360521,23.991059
INMT,0.1153,0.0967169,0.0698563,0.0611116,0.0605619,0.0293281
ERCC1,43.113183,38.931355,44.353394106962,31.872975,33.362019,44.811918
ABHD5,24.730973000000002,24.174602,17.667266,19.817745,17.940227,12.281032
GPRC5A,57.8542,60.741347000000005,76.07697,5.371566,3.9787032,3.302648
HEBP1,147.91816,153.58694500000001,140.875306,33.147737,34.892224999999996,33.06378900000001
DNASE1L1,28.723471,23.145049999999998,31.54187,11.171163,10.715329,12.482455999999999
COX15,42.12967,39.60297,37.79753,45.07954,43.863910000000004,39.80128
MS4A12,0.0,0.0,0.0,0.0,0.0,0.0
RGPD5,8.05730600474645,8.444946,9.432444,10.867321,12.0610398,4.1466481
XYLT2,12.573878,10.614803,13.57803,10.392203,9.149058,11.353323
FTSJ1,35.906234,32.046828,34.541569,57.036332,51.959672,52.4909126
SCTR,0.0,0.0,0.0,0.0,0.0163512,0.1634438
RALBP1,45.091406000000006,42.491669,46.49026200000001,34.25487,33.967265,29.811675
PSD,0.285786,0.29889319999999997,0.21847700000000003,1.0207055,1.01788835,1.460415
SYT13,0.0207935,0.0224891,0.0107471,0.176728,0.110267,0.0615607
SNAI2,56.6277,54.543243,39.1885,39.525114,38.904858,34.334578
VDAC3,71.4545441,83.506825,72.7578687,193.852977,215.56019500000002,198.595427
SLC7A9,0.0327766,0.13993,0.0,0.2848267297,0.3605609,0.3934821573
GABRA1,0.0,0.0,0.0,0.0,0.0,0.0
RTFDC1,148.924622,153.325431,137.13196,100.2495469,101.006948,100.492791
SLC45A4,1.152937,1.9226580000000002,1.247881,8.13234,8.14063,7.45416
RB1CC1,59.580127,65.516154,74.696333,43.7199091,41.437571,32.126617
AKAP11,14.0088,14.5155,12.9035,20.2111,18.4093,9.84535
STRAP,154.927745,172.120004,141.420902,238.046163,242.79668600000002,225.19240399999998
PIGQ,26.102432999999998,15.885124,26.82032,28.83313959,22.869906,37.5170409
CDH17,0.9519873,0.4504821,0.2939849,0.6376027000000001,0.4921048,0.6190238
RNASET2,20.000579887999997,20.8266948,25.361136000000002,23.404262,21.738184,27.984139000000003
B4GALT7,15.042641999999999,13.5107,16.084341,17.744327,18.595655,28.698031
SLC39A9,36.465117,39.278037,37.747125,42.800457,44.012659,32.0564002
FAM13B,38.28162,42.23404,38.465002,20.919242,20.376651,14.051302
RANBP3,97.855757,98.08271561669693,87.96754329098,135.20196292615,122.05946914,115.42738960000001
CHPF2,51.407599999999995,41.098319999999994,39.67089,18.05661,16.88493,18.41985
LRRC7,1.9360803,1.1597167,1.7392511000000002,2.7634413799999997,2.3937366,2.14567816
GABARAPL2,117.83159,122.332801,137.235573,147.562847,161.836752,202.687666
MYOC,0.0554267,0.0872643,0.138765,0.0182021,0.0,0.0
FAM136A,48.680093,52.357718999999996,41.857882000000004,97.128964,98.327353,91.0712219
NSMAF,82.710043,93.2416,81.50335,38.947421,34.744882000000004,19.0196792
OTC,0.0,0.0,0.0378432,0.0,0.0,0.0240702
TTC17,40.197426,43.111636,43.763062,40.1509976,37.1250329,30.267938100000002
HOXC8,7.21762,5.80304,5.19415,9.24371,9.12454,9.10006
MRI1,15.072933,14.597377000000002,14.701740000000001,45.34555,43.297022999999996,40.847947000000005
BOD1L1,38.951604,47.118857,48.495736,31.648183000000003,17.037295,12.6773515
TARBP1,11.843482999999999,15.50825,13.077123,25.601835,22.764236,23.511141
FAM65A,52.1857848617,43.89844900872535,45.509861,20.95473290062472,14.4098203255237,12.440355901501611
BEST2,0.560282,0.365738,0.115989,0.5014184,0.31087149999999997,0.4118442
RTN4R,1.029236,0.523389,1.398056,0.6447871,0.429285,1.3154
PSMA4,270.88372100000004,286.0544,259.181861,388.014745,411.904544,391.166864
FAM65C,0.2312892,0.0,0.19030840000000002,0.1280023,0.1303841,0.09800149999999999
SPATA7,4.792807600000001,6.9784724548199994,6.3024299,6.1499923167,5.3768636,8.1512033
ZPBP,0.0,0.0,0.0,0.0,0.0,0.0
CTNS,29.950409,28.131261,22.857564,17.238757,15.45083478,16.727165
LCP2,0.0,0.03928,0.0,0.00773238,0.0483302,0.0
GOPC,32.89645,33.892160000000004,28.27966,39.718046,38.800292999999996,26.208913
DCN,11.5895905,11.9590887,20.165825599999998,44.8237644,49.3034259,39.3993138
TNFRSF17,0.0,0.137194,0.1614896508,0.0,0.0,0.0
MRPS10,57.8727,67.6906,58.9108,44.0275,46.0804,42.8073
GUCA1A,0.0,0.0,0.0,0.0,0.0,0.0
GRN,720.186481,582.399749,892.031212398746,127.533612,114.74890279,155.13006900000002
THAP3,10.815287,8.7679437,8.6584831,17.053076,17.967448,19.956957
VAMP3,145.40935,153.48117,147.51149999999998,98.40575,97.75838,92.40436
UTS2,0.217635,0.0,0.0,0.149236,0.145093,0.179258
RCN1,270.018751,279.7849305,273.165688,134.88546399999998,138.025293,126.10874799999999
RFC2,93.323768,96.104599,111.09138899999999,93.834498105,102.245605,100.09043700000001
PPP1R3F,4.4358439999999995,4.57851400122777,4.5927400201296,2.6465511558999997,3.604596,4.851819
KIAA2022,0.0,0.0,0.0,0.4591361,0.438776,0.1681422
ARHGEF5,7.797617,9.400493,7.66423,0.608946867,0.914673,0.221948
NFE2L3,6.457183,6.9101,8.53594,16.18804,14.77592,15.36083
TNIP3,0.28026290000000004,0.506156,0.242858,0.7281115,0.8761713,0.3313671
SIKE1,33.711804,33.528555,30.270516,62.810981999999996,61.587644,44.23198
TLL1,4.2618154958000005,4.54896,2.527027,0.9233911,1.006487,0.481345
NNAT,1.362314,0.699055,0.523822,0.5710554,0.307244,0.242313
CBLN4,0.0,0.0,0.0,0.0,0.0,0.0
CLDN11,55.073467,42.213487,45.039880999999994,36.031328,36.139515,31.470053399999998
FAM168A,25.138196999999998,25.952136000000003,26.55968200175631,20.406425,18.688729,12.796659
RELT,7.58229629931,6.594804,6.256331899,8.874266,7.86998,7.522222999999999
CDC27,108.437733,126.17857400000001,112.88486,99.540474,104.71378,61.678684000000004
PKP2,0.025013,0.10860689999999999,0.051647900000000004,12.154770000000001,11.357989,9.23971
IL1RAP,18.294332,18.3415025679,14.217732100000001,10.05558108,8.27117182524104,5.367671499999999
YIPF1,40.034729999999996,42.77732626649,42.3232,28.832653790000002,30.02180566666,41.761328999999996
ADCK2,25.96589966,27.104119,34.451329,24.162477,23.14167,29.740156
INPP4A,11.330458400000001,10.689895,10.756304,12.8830881,12.615263,8.0442199
SLC2A3,43.895124,42.1406,44.217844,17.7027253,14.9975831,12.353444
ENPP2,3.006048,2.515292700221794,1.798162,5.529282,4.930829,1.326759
CTDP1,8.154477,6.240542,6.586625,8.139269,7.359752,6.5258818
STYK1,4.729883,3.7554109999999996,6.056379,2.427606,3.055508,2.241154
GNA11,74.309423,72.62241,75.986559,76.062827,71.030375,56.154105
CREB3L3,1.631188,1.607071,4.171703,0.1843684,0.028543701,0.0970327
PIGV,22.614114999999998,19.353366,25.855216,6.625153,5.695906999999999,9.083971
HDAC7,40.437391000000005,34.512646,37.3313519,18.684787,15.562321,18.902052
MRPS35,58.527668,65.959762,58.379475,76.54069700000001,80.71499800000001,68.55160199999999
BTN3A1,20.179911,19.384143,27.026651,5.86066,6.725465,4.7497316000000005
APPBP2,45.762521,50.64160699999999,37.301859,32.023,29.573865,15.7261949
RPL18,384.264103,383.10145600000004,420.687617,1424.5963410000002,1450.664677,2084.587399
CA11,10.649932,11.395358,12.703004,15.622489999999999,11.948364,19.664886
ISOC2,9.160668999999999,6.445845,7.0962833,28.718201999999998,28.366232599999996,34.899375
EPN1,24.974990000000002,18.774867,23.185541999999998,31.224382399999996,28.195319,41.188114999999996
CD22,9.012758,10.787740101271499,11.3087091,0.1249917,0.0444178,0.2160126
GSC2,0.0,0.0,0.0,0.0,0.0,0.0
ZFY,0.0,0.0,0.0,0.0,0.0,0.0
CECR5,11.114447,10.8771527,9.1482226,42.701983,40.142615,38.886591
KCNQ1,0.0,0.0,0.0268545,1.565616,1.263763,1.77486
TRPM5,0.0,0.0,0.0,0.05608611659,0.0,0.04538429049
TRIB2,2.114462,2.1961779999999997,2.361985,19.83424,20.2087,16.06401
OTUD5,60.750693,61.543902,69.67268,74.430956,74.816552,85.817849
GPKOW,18.176,15.3764,18.4464,29.8395,27.3454,33.3584
AQR,14.588212,13.907318,14.315993,19.469887,19.994788,14.223596
KLK13,0.0,0.0,0.0,0.182108,0.17657,0.156185
KLK14,0.058756,0.0634323,0.0604781,0.807803,0.360362,0.532711
ST6GALNAC1,0.537159,0.0,0.0,0.0162741,0.0762014,0.0749129
MBD3,35.01768,22.667955,27.93741,54.7534683,47.065062,73.18763
LMCD1,15.965874999999999,15.065493,18.747818251562,8.476699,9.114604,9.542238000000001
PSMC4,27.8391001,28.15269,23.344072,61.156929,61.191635,60.651872999999995
FNDC8,0.0,0.154909,0.0486433,0.144379,0.16747,0.133264
CAMKK1,1.875216,1.5514123000000002,1.7348483,4.603363,3.7026344900000003,4.7003958
FAM50A,246.94478,212.02528,216.77888000000002,149.09309000000002,143.75409,156.52347
ACAP1,1.8881573999999999,1.4295285,2.8734489,2.2377322,1.5880757,2.4261858
DERL2,45.254051,44.144692,42.667994,39.95987,45.469093,50.202686
NOX3,0.0,0.0,0.0,0.0187222,0.0,0.0
ANO8,7.8523584,5.3110040000000005,7.595225,4.3171653,2.8324599999999998,3.647763
KDM4B,5.751432,4.0540966126999995,5.19968009013,14.714178,11.698065000000001,12.766655
PANX2,1.4136202,1.06649,1.4815497,0.9404167999999999,0.7501668,1.3061634
ICAM3,8.550195,6.021039999999999,8.22928,9.4286431,9.199898000000001,8.67344
