gene,mean,median,max,count
DDX39B,6.144140639682961,0.044030064,854.32,178
CITED1,37.643440114,7.398075,283.9421196,10
CA2,41.5292261,2.364955,196.8433655,5
HSPA1B,17.905497694625,0.191011068,141.0310623,8
NEFM,32.58036159233333,16.801962677,121.5792542,6
RPL13,8.867788672866668,0.929439421,114.121666,15
AMOT,40.685491475,30.34977858,102.0077635,6
RPL10,6.2882248254999995,0.4025084175,72.61305313,18
IRS4,66.64264521,66.64264521,66.64264521,1
HLA-A,1.108042744289855,0.0,64.2425,69
ZCCHC12,56.77440852,56.77440852,56.77440852,1
HLA-C,0.7517275239904762,0.0,56.538,84
ALDOA,2.5763140318214286,0.322742594,53.816,28
RPL9,5.674062798545454,0.4311305,51.91931396,11
GPR50,25.1615,25.1615,50.323,2
BRD2,1.7892796065923078,4.37e-05,46.96,91
NOMO1,4.162071061,0.084125665,43.36889999,11
MAGEA3,14.150631666666667,3.705745,38.74615,3
PRRC2A,0.8857880179027857,0.055873,37.94935,98
MAGEA1,37.29018171,37.29018171,37.29018171,1
HOXB9,37.02326286,37.02326286,37.02326286,1
MAGEA6,9.1558575975845,0.084237000169,36.45495639,4
CKB,11.576321378235294,0.470485,36.16717714,17
RPL4,2.9305706527058826,0.892509223,33.04876773,17
GTSF1,3.6004449645000003,0.38373875,31.33445,10
EGR1,24.45639452,24.45639452,24.45639452,1
EEF2,4.529466396571428,1.619069376,22.68675126,7
SET,2.896801455818182,0.87459512,22.42375,11
LIN28B,22.33698635,22.33698635,22.33698635,1
UBR1,1.9859136975833334,0.065649969,22.0074,12
KCTD12,21.73406574,21.73406574,21.73406574,1
AIF1L,2.3166491920000003,0.0797645,21.67493692,10
ABCF1,1.1389894106306122,0.014897693,21.433,49
HEY1,4.7593549387500005,1.4939510445000002,21.04670227,8
ELP5,2.397022818266667,0.2056045,20.94400074,15
SPINT2,2.542435249090909,0.374414,20.7367,11
CBSL,2.524240757272,0.154221,20.684,10
AGPAT1,0.8277840558749999,0.019942442,20.02125,56
FAM133B,2.3347126366363637,0.219960059,19.76270463,11
HOXD13,19.57552727,19.57552727,19.57552727,1
PSMC5,1.3641783701428571,0.51089,19.04065,21
FN1,1.2243450889333332,0.295133824,18.97143778,27
NRN1,4.8264063749999995,0.3825185,18.40225,4
CBS,3.4229387671764706,0.84013,18.278,17
UBC,1.4785358114285714,0.18156177699999998,18.1189491,14
NDUFA6,1.445572201625,0.19964864,18.00035,16
FAM69B,7.340343969666666,4.053582089,17.96744982,3
FAM84B,10.3071737155,10.3071737155,17.92791467,2
HNRNPC,1.1904692530575758,0.436106268,17.85845399,33
FAM89A,6.0174253333333345,0.282876,17.7694,3
CSAG3,9.830684305,9.830684305,16.82194361,2
DLG3,3.8143167043,0.3803713145,16.51655184,10
SMN2,1.2092301253302369,0.0576046795,16.1073195,38
HOOK1,3.1227485594999997,0.51605125,15.98081498,6
HMGN2,2.0807681351,0.6212633249999999,15.71724032,10
