contrast,gene,direction,signed_score,moderated_q,default_cmap_query
tsc2_loss_plastic,ZNF300,up,3.292125672468856,4.3988964037375686e-08,True
tsc2_loss_plastic,GALNT18,up,3.615950829277923,2.165493877026657e-07,True
tsc2_loss_plastic,LAMP3,up,3.0618252386664864,3.04502897650314e-07,True
tsc2_loss_plastic,SLC38A11,up,1.997537204423765,5.444618274894354e-07,True
tsc2_loss_plastic,MT3,up,1.811816415923168,8.879045491802028e-07,True
tsc2_loss_plastic,CABP1,up,1.273016509227367,1.0965101830012265e-06,True
tsc2_loss_plastic,NDUFA4L2,up,4.89830321499308,1.2069683145342932e-06,True
tsc2_loss_plastic,GDF15,up,3.3464459026322224,1.2751445087989113e-06,True
tsc2_loss_plastic,ENO2,up,2.5183754935154257,1.4391968711840618e-06,True
tsc2_loss_plastic,CA9,up,3.606371839077494,1.840404915958369e-06,True
tsc2_loss_plastic,ASB5,up,3.544086458055372,1.840404915958369e-06,True
tsc2_loss_plastic,GBE1,up,1.9581364602998268,1.840404915958369e-06,True
tsc2_loss_plastic,SPAG4,up,2.8271865304560224,1.891012734356433e-06,True
tsc2_loss_plastic,UCHL1,up,1.643586902313371,3.3208665411190017e-06,True
tsc2_loss_plastic,VEGFA,up,1.7820236881971998,3.3226500893437083e-06,True
tsc2_loss_plastic,CYSTM1,up,1.591541183931169,3.3226500893437083e-06,True
tsc2_loss_plastic,P4HA2,up,1.5734556404139823,3.3226500893437083e-06,True
tsc2_loss_plastic,TPBG,up,1.255804535275356,3.3226500893437083e-06,True
tsc2_loss_plastic,GPR146,up,1.724214578563464,3.510006125879895e-06,True
tsc2_loss_plastic,DDIT3,up,1.6893271027976762,3.510006125879895e-06,True
tsc2_loss_plastic,COL11A1,up,3.85329475198326,3.954185367055264e-06,True
tsc2_loss_plastic,ITGB2-AS1,up,0.6749222963793741,3.954185367055264e-06,True
tsc2_loss_plastic,ARFGEF3,up,1.8992902970622536,3.970380448839121e-06,True
tsc2_loss_plastic,PKM,up,1.3083971510198795,3.970380448839121e-06,True
tsc2_loss_plastic,DUSP3,up,1.0955352734348316,4.0699127579261376e-06,True
tsc2_loss_plastic,ARMC9,up,1.5877993667771548,4.527380613008464e-06,True
tsc2_loss_plastic,EGLN3,up,3.5765617628643063,4.764318686059389e-06,True
tsc2_loss_plastic,FGF11,up,2.92376518944785,4.764318686059389e-06,True
tsc2_loss_plastic,LRRC15,up,1.867681569429942,4.764318686059389e-06,True
tsc2_loss_plastic,ABHD12,up,0.9159290329911244,4.764318686059389e-06,True
tsc2_loss_plastic,FAM162A,up,1.7044119363807693,4.856095564410944e-06,True
tsc2_loss_plastic,PITX1,up,2.098342914234555,5.1219887907506224e-06,True
tsc2_loss_plastic,ERO1A,up,2.0594704941391884,5.328682813340787e-06,True
tsc2_loss_plastic,CKB,up,1.520803843707858,6.941130115003461e-06,True
tsc2_loss_plastic,ZP1,up,1.323517153255501,6.941130115003461e-06,True
tsc2_loss_plastic,MOSPD1,up,1.4810104883358948,7.890890557696605e-06,True
tsc2_loss_plastic,TBC1D2,up,1.114060968248131,8.123839058070123e-06,True
tsc2_loss_plastic,HOXA13,up,2.987119678266386,8.292664300834576e-06,True
tsc2_loss_plastic,FUCA2,up,0.728340441800102,8.292664300834576e-06,True
tsc2_loss_plastic,BEX2,up,1.9596855713784609,8.327187461098016e-06,True
tsc2_loss_plastic,CDKN1A,up,1.3305411244108107,8.68979436998149e-06,True
tsc2_loss_plastic,SV2A,up,1.0293578932759495,8.86035412430523e-06,True
tsc2_loss_plastic,AC011586.2,up,1.1652943324931793,9.429025233512832e-06,True
tsc2_loss_plastic,NEU1,up,1.524224897260845,9.704188889637215e-06,True
tsc2_loss_plastic,PLOD3,up,0.6537517293227793,9.92412018928783e-06,True
tsc2_loss_plastic,BCL2L1,up,1.0647107659617858,9.94870641465538e-06,True
tsc2_loss_plastic,PFKP,up,1.104428324829835,1.1439929303555664e-05,True
tsc2_loss_plastic,NPL,up,1.3974807160386575,1.1502671422521288e-05,True
tsc2_loss_plastic,CA12,up,2.9446466839998475,1.2191524373821216e-05,True
tsc2_loss_plastic,G0S2,up,2.1762385007557543,1.2191524373821216e-05,True
tsc2_loss_plastic,LAMB3,up,1.0832092774440418,1.2494390902611508e-05,True
tsc2_loss_plastic,TMEM74B,up,1.0227945643194436,1.2494390902611508e-05,True
tsc2_loss_plastic,PYGB,up,0.796935521909218,1.3316727712443028e-05,True
tsc2_loss_plastic,HEXB,up,1.5135942166035403,1.3399867598543006e-05,True
tsc2_loss_plastic,KCNS1,up,2.005400480326786,1.3775931664623615e-05,True
tsc2_loss_plastic,TOMM34,up,0.826733317822455,1.3893433189401836e-05,True
tsc2_loss_plastic,KRT34,up,1.8514481981653077,1.5363563713658298e-05,True
tsc2_loss_plastic,PLA2G15,up,0.7907412876673665,1.5363563713658298e-05,True
tsc2_loss_plastic,STX3,up,2.111582282681914,1.577428093607772e-05,True
tsc2_loss_plastic,HOXD10,up,1.9565991672309877,1.5782264992223967e-05,True
tsc2_loss_plastic,HSPA9,up,1.0912082213084655,1.5782264992223967e-05,True
tsc2_loss_plastic,HM13,up,0.616396315282608,1.6389831434615165e-05,True
tsc2_loss_plastic,AVPI1,up,1.3328969140140146,1.682240047991345e-05,True
tsc2_loss_plastic,TRIB3,up,2.385181115653569,1.7062075617513153e-05,True
tsc2_loss_plastic,SCARB1,up,1.6880314799859466,1.8642394160224217e-05,True
tsc2_loss_plastic,COMMD7,up,0.5950355620269523,1.91025391007795e-05,True
tsc2_loss_plastic,CCND2,up,1.7366793937328595,2.2595945456227793e-05,True
tsc2_loss_plastic,HILPDA,up,1.5639629068245569,2.384092602548112e-05,True
tsc2_loss_plastic,TXN,up,0.7702475264444528,2.401360302450572e-05,True
tsc2_loss_plastic,MAP1A,up,0.8210680043076186,2.429620690919613e-05,True
tsc2_loss_plastic,ATP6V1C1,up,0.8775486882283983,2.6282965324209308e-05,True
tsc2_loss_plastic,WARS1,up,1.2122233327433172,2.7865047137629725e-05,True
tsc2_loss_plastic,HSD17B14,up,1.4580765539876428,3.3360990155444255e-05,True
tsc2_loss_plastic,RBCK1,up,0.7193425111378149,3.3360990155444255e-05,True
tsc2_loss_plastic,PPT1,up,0.5940979125697514,3.3360990155444255e-05,True
tsc2_loss_plastic,VKORC1,up,0.7956706213726714,3.515517312722559e-05,True
tsc2_loss_plastic,CLIP4,up,0.6361048391059279,3.531048768120918e-05,True
tsc2_loss_plastic,TAF9,up,0.5577491771307366,3.536221870458938e-05,True
tsc2_loss_plastic,MKNK2,up,1.4434616872999697,3.621786604080786e-05,True
tsc2_loss_plastic,WSB2,up,0.7511201160600174,3.7868586954270544e-05,True
tsc2_loss_plastic,MT1L,up,1.7548554971631438,3.7953723985905976e-05,True
tsc2_loss_plastic,TRIM61,up,1.7090886226772757,4.063045912378623e-05,True
tsc2_loss_plastic,TPI1,up,1.1352523454420522,4.063045912378623e-05,True
tsc2_loss_plastic,CLGN,up,2.9157049782675353,4.2828188518936034e-05,True
tsc2_loss_plastic,HSPB6,up,2.7432266842583872,4.2828188518936034e-05,True
tsc2_loss_plastic,HOXA11,up,2.622699846587487,4.2828188518936034e-05,True
tsc2_loss_plastic,POPDC3,up,1.7140540577843233,4.2828188518936034e-05,True
tsc2_loss_plastic,ITGB5,up,0.6126206411980584,4.397082669020644e-05,True
tsc2_loss_plastic,REXO2,up,0.563315423777691,4.397082669020644e-05,True
tsc2_loss_plastic,GBA,up,1.255349209284078,4.656872781662822e-05,True
tsc2_loss_plastic,GAPDH,up,1.1073193381832125,4.656872781662822e-05,True
tsc2_loss_plastic,MGST3,up,0.6642256106756648,4.662144252109725e-05,True
tsc2_loss_plastic,EDEM1,up,1.0233022386374049,4.70464803023052e-05,True
tsc2_loss_plastic,SNTA1,up,1.1179696617009616,4.727163161265236e-05,True
tsc2_loss_plastic,CHI3L1,up,4.381757418136391,5.155047085778631e-05,True
tsc2_loss_plastic,LONP1,up,1.1992199115641768,5.155047085778631e-05,True
tsc2_loss_plastic,SPECC1,up,0.6618712030523599,5.568403218116249e-05,True
tsc2_loss_plastic,HOXA5,up,1.418497116443911,5.582688621813335e-05,True
tsc2_loss_plastic,NKX2-3,up,2.028989256929581,5.740066268091705e-05,True
tsc2_loss_plastic,GJA3,up,1.534188193150866,5.961916479376262e-05,True
tsc2_loss_plastic,CNIH3,up,2.1430821700880864,6.01429027954972e-05,True
tsc2_loss_plastic,FBXO22,up,0.8458194377049795,6.020736903741303e-05,True
tsc2_loss_plastic,LRRN1,up,2.2346202966992945,6.124772168485577e-05,True
tsc2_loss_plastic,LOXL2,up,1.2515867105117415,6.20700353047791e-05,True
tsc2_loss_plastic,NXPH4,up,2.2484541195811607,6.208094713175877e-05,True
tsc2_loss_plastic,LYN,up,0.972390504393966,6.208094713175877e-05,True
tsc2_loss_plastic,STEAP3,up,2.370292603830434,6.277066483130027e-05,True
tsc2_loss_plastic,CLEC2B,up,2.151158956911315,6.313290155948453e-05,True
tsc2_loss_plastic,MCOLN3,up,1.651691474267745,6.313290155948453e-05,True
tsc2_loss_plastic,GSS,up,0.7614716989355976,6.402928007924618e-05,True
tsc2_loss_plastic,AC096647.1,up,0.9711312225112264,6.413494249230734e-05,True
tsc2_loss_plastic,DLX5,up,2.1178395798049854,6.557895313285807e-05,True
tsc2_loss_plastic,CCL26,up,0.846561545376322,6.711347202056003e-05,True
tsc2_loss_plastic,ARHGAP24,up,1.2213946070542303,6.743213727454925e-05,True
tsc2_loss_plastic,HSPA4L,up,1.9958883990780345,6.786233115475749e-05,True
tsc2_loss_plastic,DSG2,up,1.5430996985874668,6.991073181247641e-05,True
tsc2_loss_plastic,AKR1C1,up,3.853421028933745,7.218370717359317e-05,True
tsc2_loss_plastic,PGK1,up,1.4755979182839054,7.301497097764631e-05,True
tsc2_loss_plastic,SLC38A6,up,0.858195524204731,7.334185857172934e-05,True
tsc2_loss_plastic,VEGFB,up,1.3911772064341807,7.415920361580218e-05,True
tsc2_loss_plastic,C4orf3,up,0.6795732022081031,7.415920361580218e-05,True
tsc2_loss_plastic,SLC2A1,up,1.758002773760821,7.68754810379869e-05,True
tsc2_loss_plastic,HTR2B,up,1.8946843810809648,8.226535644690132e-05,True
tsc2_loss_plastic,LGALS3,up,1.8237564242853113,8.226535644690132e-05,True
tsc2_loss_plastic,SQSTM1,up,1.3384300222127452,8.226535644690132e-05,True
tsc2_loss_plastic,SYPL2,up,1.347993053187346,8.287834837621008e-05,True
tsc2_loss_plastic,MLPH,up,2.537542001090705,8.374565791265952e-05,True
tsc2_loss_plastic,PFKFB4,up,2.3964079877962416,8.413395415953181e-05,True
tsc2_loss_plastic,CDK15,up,1.4683998971646572,8.413395415953181e-05,True
tsc2_loss_plastic,SYTL2,up,2.4397470692555228,8.528989343788573e-05,True
tsc2_loss_plastic,SMIM3,up,1.487078960575842,8.688166011698307e-05,True
tsc2_loss_plastic,PIP4K2C,up,0.9643636724726624,9.118710140192744e-05,True
tsc2_loss_plastic,SDCBP,up,0.8597671048296682,9.118710140192744e-05,True
tsc2_loss_plastic,SPTBN4,up,1.792569079112449,9.214831429467748e-05,True
tsc2_loss_plastic,HOXD11,up,1.7236535602926455,9.214831429467748e-05,True
tsc2_loss_plastic,AC089983.1,up,0.5794608983423667,9.214831429467748e-05,True
tsc2_loss_plastic,MTCH2,up,0.7478550467319338,9.312564117613232e-05,True
tsc2_loss_plastic,GPC1,up,1.1447243975275043,9.41446404913722e-05,True
tsc2_loss_plastic,NFIL3,up,0.801513719205925,0.0001018349071119,True
tsc2_loss_plastic,TMEM158,up,1.8720899422022683,0.0001047562875065,True
tsc2_loss_plastic,TPST2,up,1.0453609518879283,0.0001047562875065,True
tsc2_loss_plastic,KLHL4,up,2.270064271682154,0.0001048617115994,True
tsc2_loss_plastic,SEC61G,up,0.8230787435100706,0.0001081651456059,True
tsc2_loss_plastic,TNFRSF6B,up,1.4149108917499629,0.000109532486005,True
tsc2_loss_plastic,PSME2,up,0.6518925531620394,0.0001112461360743,True
tsc2_loss_plastic,ALKBH5,up,0.671412984810059,0.0001125685606004,True
tsc2_loss_plastic,NARS1,up,0.607345415893624,0.0001153283079827,True
tsc2_loss_plastic,LAMP2,up,0.5830682917955547,0.0001223336280018,True
tsc2_loss_plastic,PCDHB2,up,1.5726222655194144,0.0001235007633741,True
tsc2_loss_plastic,ABHD6,up,1.1816449807848817,0.000125338719652,True
tsc2_loss_plastic,CAT,down,-4.240380817941491,7.631509817753317e-14,True
tsc2_loss_plastic,RPS2P5,down,-5.527265696130076,1.5125734838902487e-09,True
tsc2_loss_plastic,TRAM1L1,down,-3.522691551120408,4.3988964037375686e-08,True
tsc2_loss_plastic,MAGEA4,down,-3.4309594614802377,4.3988964037375686e-08,True
tsc2_loss_plastic,LUM,down,-2.821489603075255,6.76301478003106e-08,True
tsc2_loss_plastic,FBLN5,down,-2.203246114954271,7.557429304167209e-08,True
tsc2_loss_plastic,TNFRSF19,down,-1.8970843662542043,2.488920807256929e-07,True
tsc2_loss_plastic,PCDH18,down,-1.768888083608272,6.537833174023804e-07,True
tsc2_loss_plastic,CCDC80,down,-2.2073503447195097,1.349720363871188e-06,True
tsc2_loss_plastic,PODN,down,-2.631999920803566,1.840404915958369e-06,True
tsc2_loss_plastic,PRRX2,down,-2.0584293940649308,1.840404915958369e-06,True
tsc2_loss_plastic,ODC1,down,-0.9923081047768174,2.013997561592951e-06,True
tsc2_loss_plastic,WNT11,down,-3.952485706268883,2.160961762199148e-06,True
tsc2_loss_plastic,CEBPD,down,-0.9786591354549764,2.5156811322633795e-06,True
tsc2_loss_plastic,LBX1,down,-1.4083367801625175,3.3226500893437083e-06,True
tsc2_loss_plastic,DCN,down,-3.5443638596345517,3.373311618613011e-06,True
tsc2_loss_plastic,FKBP7,down,-1.0053974755838309,3.373311618613011e-06,True
tsc2_loss_plastic,VWA5A,down,-1.2775834921512137,4.6045575596860525e-06,True
tsc2_loss_plastic,TAF9B,down,-2.098646888805608,4.764318686059389e-06,True
tsc2_loss_plastic,MDK,down,-1.8716527242684853,4.764318686059389e-06,True
tsc2_loss_plastic,CCDC144NL-AS1,down,-1.258721134663171,4.764318686059389e-06,True
tsc2_loss_plastic,MAGED2,down,-0.7458989325986325,4.764318686059389e-06,True
tsc2_loss_plastic,PXK,down,-1.159646916128947,5.183281951400155e-06,True
tsc2_loss_plastic,NREP,down,-1.1023368236300817,5.183281951400155e-06,True
tsc2_loss_plastic,EDNRA,down,-1.134359197294645,5.191105286891889e-06,True
tsc2_loss_plastic,EFEMP1,down,-1.0528629423171267,5.20250960079816e-06,True
tsc2_loss_plastic,CSRP2,down,-1.014292709679911,5.29662506569706e-06,True
tsc2_loss_plastic,TNFRSF11B,down,-1.6548285319603575,5.328682813340787e-06,True
tsc2_loss_plastic,ZNF711,down,-1.235277848954298,6.065115865772611e-06,True
tsc2_loss_plastic,PTHLH,down,-3.82403723014114,6.397631069944748e-06,True
tsc2_loss_plastic,RARS2,down,-0.6143678815209919,6.397631069944748e-06,True
tsc2_loss_plastic,OLFML3,down,-1.169734830626004,6.589558033401154e-06,True
tsc2_loss_plastic,PLPP5,down,-1.1305111163402977,6.589558033401154e-06,True
tsc2_loss_plastic,SHISA3,down,-4.01732527382141,7.470966331715803e-06,True
tsc2_loss_plastic,NDUFA5,down,-0.589660705080016,7.470966331715803e-06,True
tsc2_loss_plastic,ZNF362,down,-0.92339531110177,7.737563002198114e-06,True
tsc2_loss_plastic,GPC3,down,-4.741791433468121,7.903700972982493e-06,True
tsc2_loss_plastic,CDH11,down,-1.0179218414524285,8.123839058070123e-06,True
tsc2_loss_plastic,DNM3OS,down,-1.0970468450980442,8.292664300834576e-06,True
tsc2_loss_plastic,TMEM216,down,-0.9114405787553492,1.028135140168282e-05,True
tsc2_loss_plastic,LIMA1,down,-1.2011149215689685,1.0299658982041531e-05,True
tsc2_loss_plastic,ZNF302,down,-0.8683223796646442,1.1439929303555664e-05,True
tsc2_loss_plastic,CRMP1,down,-1.7544900040923297,1.2008901697094857e-05,True
tsc2_loss_plastic,RSRP1,down,-0.8914226977631707,1.2391548439826128e-05,True
tsc2_loss_plastic,PODNL1,down,-1.7613576084426537,1.2494390902611508e-05,True
tsc2_loss_plastic,LSP1P4,down,-2.7039849837108405,1.3302735905204624e-05,True
tsc2_loss_plastic,IGF2,down,-2.1717244011307,1.3302735905204624e-05,True
tsc2_loss_plastic,COLEC12,down,-1.882903585776014,1.3316727712443028e-05,True
tsc2_loss_plastic,ARID5B,down,-1.138642173445605,1.3316727712443028e-05,True
tsc2_loss_plastic,FHL1,down,-1.645653403102243,1.4665328848255307e-05,True
tsc2_loss_plastic,GOLPH3,down,-0.6612494092788128,1.5363563713658298e-05,True
tsc2_loss_plastic,DEPTOR,down,-2.498568892762231,1.6680163397419035e-05,True
tsc2_loss_plastic,KLHDC2,down,-0.8290693596828542,1.6712937518180346e-05,True
tsc2_loss_plastic,GPM6B,down,-2.001286172104758,1.682240047991345e-05,True
tsc2_loss_plastic,GPAT3,down,-1.810356424088176,1.6993553636172356e-05,True
tsc2_loss_plastic,SHISA2,down,-1.6903620935577617,1.7424814490552854e-05,True
tsc2_loss_plastic,LRIG3,down,-1.3659823936544395,1.794313753290977e-05,True
tsc2_loss_plastic,TMED4,down,-0.5671714908111634,1.8295994612799876e-05,True
