gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
nan,0.28777158668717107,0.589974919452894,0.8777465061400651
SCOC-AS1,,,
AADACP1,,,
LOC101928505,0.9198292469999987,0.48719302200000136,1.407022269
IVNS1ABP,-0.3714023806666671,-0.4178793481666665,-0.7892817288333336
FLJ21408,1.1548355768333334,-0.6344922294999997,0.5203433473333337
ERP44,0.7920699813333343,27.205348394999998,27.997418376333332
LOC105374768,,,
M1AP,-0.9049659110000003,-0.3171296826666665,-1.2220955936666669
PCDHB13,-0.5330257358333336,0.1918766785,-0.34114905733333356
LINGO2,-0.10327386977777753,0.6003586517777766,0.49708478199999906
SDK2,,,
LOC105370457,-0.17946060799999985,-0.43003743799999994,-0.6094980459999998
CABP4,0.16085072599999872,-1.2525056363333311,-1.0916549103333324
ADAMTS16,0.12579806866666665,-0.8840784960000003,-0.7582804273333337
KLK9,-0.007257232499999988,0.14791122950000002,0.14065399700000003
XIRP2,,,
LINC01168,,,
LOC100126784,-1.3110299606666675,-0.1279626106666658,-1.4389925713333334
C22orf42,,,
LOC102723778,,,
MSI2,-1.092179699999999,-1.8621821369999996,-2.9543618369999987
FAM71E2,0.2190011755000001,-0.40354510266666677,-0.18454392716666668
LINC01572,0.1848119689999992,1.2142899026666667,1.3991018716666659
DRAP1,-0.23662671633333332,-0.9253241756666666,-1.161950892
AP1G1,-1.097901615333333,0.5473971068333334,-0.5505045084999995
VWCE,,,
RPS7,-22.920961533333355,103.93386140000007,81.01289986666671
RPS3,-2.555268841666674,37.07629048333334,34.521021641666664
DDX60L,-1.3893514126666666,0.16437500333333344,-1.2249764093333333
LINC00845,0.04020936999999991,-0.06430720166666659,-0.02409783166666668
CASP10,0.049505947500000036,0.06830868950000002,0.11781463700000006
ADAM11,-0.06792828350000013,-0.5956420935,-0.6635703770000001
APBB2,-0.0007503963333332919,-0.04540224500000001,-0.0461526413333333
IFITM3,103.22540501666663,94.89675160000002,198.12215661666664
RPL7,22.55361520166668,16.500646716666665,39.054261918333346
MUC5AC,0.16643189100000022,0.8819952469999999,1.048427138
GPATCH2,2.340267927166667,0.47823649116666633,2.818504418333333
TXNDC5,19.08987821666667,-3.347049356666666,15.742828860000003
C19orf12,2.471013096333335,0.3653947094999985,2.8364078058333337
RBMX2,-0.18294249200000046,-0.09539715699999962,-0.2783396490000001
