contrast,module,n_genes,mean_effect,median_effect,n_fdr_supported,fraction_fdr_supported
tsc2_loss_plastic,ecM_invasion,10,-0.9847399363131327,-0.6806726226911985,7,0.7
tsc2_loss_plastic,survival_stress,9,0.014136434166657592,-0.1839214450661623,2,0.2222222222222222
tsc2_loss_plastic,autophagy_lysosome,8,0.5496115171168965,0.7314846778609851,5,0.625
tsc2_loss_plastic,metabolism_lipogenesis,8,0.8430565211860046,0.6769866436897642,5,0.625
tsc2_loss_plastic,mTORC1,7,-0.10839874566526783,-0.1554547751964707,1,0.14285714285714285
tsc2_loss_plastic,mapk_cdk,9,0.21530462474327397,0.2192486553457371,2,0.2222222222222222
tsc2_loss_plastic,myogenic,6,-0.5592221150271648,-0.5070825687244849,2,0.3333333333333333
tsc2_loss_plastic,protein_translation,7,-0.08024693915370391,-0.0580046354324488,3,0.42857142857142855
tsc2_loss_hydrogel,ecM_invasion,10,-0.31553626256955486,-0.27147717131352017,4,0.4
tsc2_loss_hydrogel,survival_stress,9,-0.0414836407907162,-0.2354304185218163,4,0.4444444444444444
tsc2_loss_hydrogel,autophagy_lysosome,8,0.7524140321847802,1.0226011652644411,5,0.625
tsc2_loss_hydrogel,metabolism_lipogenesis,8,1.4001028447868105,0.7609119424981821,5,0.625
tsc2_loss_hydrogel,mTORC1,7,-0.024006811545130548,-0.2358360889034549,2,0.2857142857142857
tsc2_loss_hydrogel,mapk_cdk,9,-0.05727601589727625,0.1548086829516615,4,0.4444444444444444
tsc2_loss_hydrogel,myogenic,6,-0.20453642172267092,-0.03879423997059085,1,0.16666666666666666
tsc2_loss_hydrogel,protein_translation,7,-0.08124405119122664,-0.0778858285423114,1,0.14285714285714285
residual_plastic,ecM_invasion,10,-0.5640680795916732,-0.3361685248979387,2,0.2
residual_plastic,survival_stress,9,0.002186195240698584,0.0332473553439509,0,0.0
residual_plastic,autophagy_lysosome,8,0.09284436389627108,0.06431973510741269,0,0.0
residual_plastic,metabolism_lipogenesis,8,-0.20474534818537138,-0.21646789188451393,0,0.0
residual_plastic,mTORC1,7,-0.0029079093403923356,-0.0403048326908193,0,0.0
residual_plastic,mapk_cdk,9,0.26079125940472264,0.0910037730149619,0,0.0
residual_plastic,myogenic,6,0.19922046359019663,0.16326900841310538,0,0.0
residual_plastic,protein_translation,7,0.05663100752164422,0.0592632408398925,0,0.0
residual_hydrogel,ecM_invasion,10,-0.27557486508680673,-0.4006809668122497,3,0.3
residual_hydrogel,survival_stress,9,0.0688803617041065,0.0773960116577781,0,0.0
residual_hydrogel,autophagy_lysosome,8,0.1678138339261243,0.03113701576768995,1,0.125
residual_hydrogel,metabolism_lipogenesis,8,0.21615550521450647,0.11351150280035775,1,0.125
