probe_or_gene,tsc2_loss,residual_after_rapamycin,genotype_dependent_rapamycin_response,signed_residual_ratio,absolute_residual_ratio,residual_class
Copg1,0.07338614550000244,-0.11897601849999973,-0.19236216400000217,,,unclassified
Atp6v0d1,0.4322273550000002,0.011515340999999069,-0.42071201400000113,,,unclassified
Golga7,-0.19577952200000048,0.2574323785000008,0.45321190050000126,,,unclassified
Psph,0.6704205299999995,0.14781141399999953,-0.5226091159999999,0.2204756677126216,0.2204756677126216,partial_rescue_residual
Trappc4,0.11808189200000019,-0.16173859949999958,-0.27982049149999977,,,unclassified
Dpm2,0.3514173319999987,0.033056720499999415,-0.3183606114999993,,,unclassified
Psmb5,0.22803423000000045,-0.06117663999999934,-0.2892108699999998,,,unclassified
Dhrs1,0.11759558299999995,0.15028180999999918,0.032686226999999235,,,unclassified
Ppm1a,-0.11556304587500144,0.012172784375000134,0.12773583025000157,,,unclassified
Psenen,0.17285190100000136,0.011710185500000136,-0.16114171550000123,,,unclassified
Anapc1,0.158109743999999,0.05777923350000158,-0.10033051049999742,,,unclassified
Mrpl43,0.20316619699999983,0.1800330584999994,-0.023133138500000427,,,unclassified
Xpo7,-0.12702943250000054,-0.06293752600000069,0.06409190649999985,,,unclassified
Nmt1,0.11183929716666796,0.01319246716666811,-0.09864682999999985,,,unclassified
Atg5,0.2102201275000013,0.1195194913333335,-0.09070063616666779,,,unclassified
Mtif2,-0.00042141800000017327,0.01373241299999961,0.014153830999999784,,,unclassified
Rab14,-0.041729967333332674,-0.05220579975000028,-0.010475832416667608,,,unclassified
Psap,0.4899951275000003,0.38112207999999903,-0.10887304750000126,,,unclassified
Ube2g1,-0.2259208699999995,0.047251290999998474,0.27317216099999797,,,unclassified
Zkscan3,-0.07847699250000062,-0.023384723500000426,0.055092269000000194,,,unclassified
Mrpl27,0.3429312790000001,0.2470565914999998,-0.09587468750000028,,,unclassified
Dlg1,0.059667815749998354,0.04021866349999925,-0.019449152249999102,,,unclassified
Canx,0.07342903883333562,0.028947616833335132,-0.04448142200000049,,,unclassified
Derl1,0.1906486843750006,0.18355755262499862,-0.007091131750001978,,,unclassified
Wars,0.1773315117499994,-0.05291551500000047,-0.23024702674999986,,,unclassified
Psma1,0.019981129999998792,0.1149747983333338,0.094993668333335,,,unclassified
Sar1a,-0.07501391299999938,-0.04702726250000033,0.027986650499999044,,,unclassified
G3bp2,-0.08484846483333186,0.044711498333331434,0.1295599631666633,,,unclassified
Golm1,-0.06838001699999907,-0.21749338400000084,-0.14911336700000177,,,unclassified
Gps1,0.07381697449999969,0.11008784900000101,0.03627087450000133,,,unclassified
Ssr3,-0.1501622299999994,0.0726165450000007,0.2227787750000001,,,unclassified
Ctbp1,0.15307647000000024,0.0526258550000005,-0.10045061499999974,,,unclassified
Huwe1,-0.020910977333333136,-0.006642103499999941,0.014268873833333195,,,unclassified
Cdv3,0.1510727942499983,-0.014876279000000991,-0.1659490732499993,,,unclassified
Smim7,-0.054494159833334166,0.013324302333333371,0.06781846216666754,,,unclassified
Copa,-0.19099106499999863,-0.005471434999998692,0.18551962999999994,,,unclassified
Anapc2,-0.035958072499999716,0.04273343099999849,0.0786915034999982,,,unclassified
Tug1,-0.024710508166666756,0.05339477066666731,0.07810527883333407,,,unclassified
Gbf1,-0.03492122925000096,-0.09313819899999842,-0.05821696974999746,,,unclassified
Cox18,0.1903579854999986,-0.02696654950000088,-0.21732453499999949,,,unclassified
Arfgef1,-0.23807653849999966,0.06766604650000119,0.30574258500000084,,,unclassified
Zranb1,0.024417007666666102,-0.041633773666665874,-0.06605078133333198,,,unclassified
Ddx24,0.18489753299999911,0.25573756699999883,0.07084003399999972,,,unclassified
Snrnp27,0.026483015249999298,0.21764406475000087,0.19116104950000157,,,unclassified
Tmem129,0.07890311549999929,0.059907697499999024,-0.018995418000000264,,,unclassified
Rnf220,-0.18717426899999978,0.042367797000000706,0.2295420660000005,,,unclassified
Sap30l,0.10721467799999829,-0.08221714749999975,-0.18943182549999804,,,unclassified
Armc1,-0.06183907550000001,0.02260416900000095,0.08444324450000096,,,unclassified
Mad2l1bp,0.17483777150000002,-0.12168080950000082,-0.29651858100000084,,,unclassified
Naa60,0.16389748850000174,0.09911977899999869,-0.06477770950000306,,,unclassified
Vta1,0.24980863449999902,0.05163591550000035,-0.19817271899999866,,,unclassified
Eif5,0.16860851000000032,0.06515064799999948,-0.10345786200000084,,,unclassified
Cdc42,-0.1419886251250002,0.1496473442500008,0.291635969375001,,,unclassified
Rrn3,0.2804289854999995,0.10349427349999907,-0.17693471200000044,,,unclassified
Ankrd17,-0.004743413099999927,-0.0073057006999999174,-0.0025622875999999906,,,unclassified
Apoa1bp,-0.21597173349999998,-0.0026990204999997047,0.21327271300000028,,,unclassified
Pabpn1,-0.07344641000000074,-0.13100536624999748,-0.05755895624999674,,,unclassified
Pdpk1,-0.0797773985000001,0.22128784799999934,0.30106524649999944,,,unclassified
Cpsf7,-0.06382898649999902,-0.0828473289999998,-0.019018342500000784,,,unclassified
Angel2,0.02699928879999902,-0.0028293358999995633,-0.029828624699998585,,,unclassified
Abhd16a,0.13414081975000158,-0.014175242749999484,-0.14831606250000107,,,unclassified
Rab7,0.34098113050000123,0.11029106600000027,-0.23069006450000096,,,unclassified
Ddb1,0.022848539999998252,0.04317482500000125,0.020326285000002997,,,unclassified
Pfdn5,-0.02055887539999901,0.07701348640000028,0.09757236179999929,,,unclassified
Rfk,0.3071992295000001,0.11597480266666693,-0.19122442683333318,,,unclassified
Txndc12,0.19819488849999978,0.2379356064999989,0.03974071799999912,,,unclassified
Rbm42,0.09341987783333305,0.05453019800000014,-0.03888967983333291,,,unclassified
Psmc5,0.1315253014999982,-0.06693438350000136,-0.19845968499999955,,,unclassified
Tmem165,-0.19046281199999804,0.08044295950000091,0.27090577149999895,,,unclassified
Aup1,0.09881648200000015,0.2323732379999992,0.13355675599999906,,,unclassified
Hdac5,-0.1259842795000008,-0.24327143100000015,-0.11728715149999935,,,unclassified
Pfdn6,-0.0362581990000006,0.01303503649999982,0.04929323550000042,,,unclassified
Dscr3,0.010591294500000181,0.059943003999999966,0.049351709499999785,,,unclassified
Cic,0.13476405249999956,-0.10601712150000075,-0.24078117400000032,,,unclassified
Riok3,0.0033725776249990957,-0.004141847375000118,-0.007514424999999214,,,unclassified
Dctn5,0.12198404249999939,-0.2232242339999999,-0.3452082764999993,,,unclassified
Rragc,0.5371563585000008,0.07315653449999893,-0.46399982400000184,0.13619225266975746,0.13619225266975746,near_complete_rescue
Tbl3,0.2277513244999998,-0.07733391250000032,-0.3050852370000001,,,unclassified
Hp1bp3,-0.0626745324999991,0.1086130995000012,0.1712876320000003,,,unclassified
BC031181,0.22056411600000203,0.13338700650000135,-0.08717710950000068,,,unclassified
Abhd17a,0.21960075600000017,0.20728865099999894,-0.012312105000001239,,,unclassified
Polr2f,-0.0037093127500007483,-0.014666268999999232,-0.010956956249998484,,,unclassified
Ube2v1,0.07128167199999957,0.04976797700000013,-0.021513694999999444,,,unclassified
Snapin,-0.12574580675000036,0.0020414474999999044,0.12778725425000026,,,unclassified
Fryl,0.09840667824999905,0.07724722725,-0.021159450999999052,,,unclassified
Lamtor5,-0.06284804775000019,0.16358155899999982,0.22642960675,,,unclassified
Atox1,0.044193548166665764,-0.012573369666666778,-0.05676691783333254,,,unclassified
Mrpl52,-0.1440408858750004,0.06432435249999902,0.20836523837499943,,,unclassified
Tmem234,-0.0016268552499987265,0.11335363024999978,0.11498048549999851,,,unclassified
Hnrnpul2,0.004593855750000486,0.10758863274999975,0.10299477699999926,,,unclassified
Sec22b,-0.04194609149999984,0.06931778899999941,0.11126388049999925,,,unclassified
Ythdf1,-0.03215597166666839,0.04067530950000098,0.07283128116666937,,,unclassified
Ube2r2,-0.20412275099999988,-0.041041400000001005,0.16308135099999888,,,unclassified
Itch,-0.0632085189999998,-0.12126547450000125,-0.05805695550000145,,,unclassified
Wdr6,0.12866353924999885,-0.01837211374999903,-0.14703565299999788,,,unclassified
Ncl,0.06472435912500085,-0.02784029574999991,-0.09256465487500076,,,unclassified
Elp2,-0.10445853675000194,-0.09073581699999878,0.013722719750003165,,,unclassified
Rbbp7,-0.15243931999999916,0.041730579499999365,0.19416989949999852,,,unclassified
Aldh3a2,0.1570494190000007,0.08252251300000069,-0.074526906,,,unclassified
Pnliprp1,-0.1763390134999998,0.08785039300000008,0.2641894064999999,,,unclassified
Morf4l2,-0.10350842750000133,-0.045788250000001085,0.05772017750000025,,,unclassified
Actg1,-0.011249055000000396,0.06445292499999944,0.07570197999999984,,,unclassified
Armcx2,0.23182905450000035,0.25209454266666675,0.0202654881666664,,,unclassified
Vps35,0.27937405450000163,0.06781881725000183,-0.2115552372499998,,,unclassified
Cct8,-0.04298194500000019,0.026181484749999484,0.06916342974999967,,,unclassified
Pgc,0.27590341500000104,-0.04643679999999861,-0.32234021499999965,,,unclassified
Ganab,0.023553506249999856,0.01037583824999988,-0.013177667999999976,,,unclassified
Ublcp1,0.13116875374999992,0.11536650949999938,-0.01580224425000054,,,unclassified
Rnf34,-0.340709201000001,0.06432886800000048,0.4050380690000015,,,unclassified
Rbck1,0.14507926100000113,0.16394477000000052,0.018865508999999392,,,unclassified
Pnpo,0.35636618200000036,0.22709674750000008,-0.12926943450000028,,,unclassified
Spin1,-0.23095342775000027,-0.17654830462499937,0.0544051231250009,,,unclassified
Ddr1,-0.12336803574999955,0.10402087506249913,0.22738891081249868,,,unclassified
Wbp11,0.11936434400000095,-0.01763419350000106,-0.13699853750000202,,,unclassified
Gja1,0.3227746703333336,0.09037697966666602,-0.2323976906666676,,,unclassified
Slc16a1,1.2261215220000006,0.7755620700000012,-0.45055945199999936,0.6325327922920195,0.6325327922920195,partial_rescue_residual
Cx3cl1,-0.7350012498333331,-0.5867999736666665,0.14820127616666667,0.7983659535269193,0.7983659535269193,partial_rescue_residual
Clps,0.06512505250000089,-0.11605182500000044,-0.18117687750000133,,,unclassified
Plat,-0.29737879099999986,-0.22498953499999885,0.07238925600000101,,,unclassified
Srsf2,0.012417509249999625,-0.2415026143750012,-0.2539201236250008,,,unclassified
Tpbpa,0.029758475166666187,-0.088783411333333,-0.1185418864999992,,,unclassified
Uhrf1,-0.034194967250000374,-0.3217797815000001,-0.2875848142499997,,,unclassified
Gsn,0.02070214175000018,0.033134978166668105,0.012432836416667925,,,unclassified
Api5,0.027831846249999792,-0.01474291675000039,-0.04257476300000018,,,unclassified
Atp6v1b2,0.3773848083333329,0.027038445999998828,-0.35034636233333405,,,unclassified
Trim27,-0.11048661987499919,-0.04943057875000001,0.06105604112499918,,,unclassified
Cct7,0.10326585225000073,-0.01738460974999967,-0.1206504620000004,,,unclassified
Anxa6,-0.2426493814999997,-0.3254456806666681,-0.08279629916666842,,,unclassified
Ppp2r1a,-0.16301438599999862,-0.0825280570000011,0.08048632899999753,,,unclassified
Nono,-0.11265525516666663,-0.07903905300000069,0.03361620216666594,,,unclassified
Nptn,-0.39444214299999913,0.22314545150000065,0.6175875944999998,,,unclassified
Scd2,0.2086125149999969,-0.37034056499999757,-0.5789530799999945,,,unclassified
Csnk1d,-0.02734240060000026,-0.05010160089999971,-0.02275920029999945,,,unclassified
Atp6v1h,0.5922361130000002,0.3350721315000005,-0.25716398149999975,0.5657745688669281,0.5657745688669281,partial_rescue_residual
Serp1,0.0799183499999998,0.04162411699999957,-0.03829423300000023,,,unclassified
Lbr,-0.32209554549999986,-0.012736269499999509,0.30935927600000035,,,unclassified
Orc5,-0.3129620470000001,-0.11343765899999969,0.19952438800000039,,,unclassified
Psmd2,0.23968575499999822,-0.1263853800000021,-0.3660711350000003,,,unclassified
Agtr2,-0.07010615450000035,-0.04724746200000052,0.022858692499999833,,,unclassified
Rps29,-0.3839184600000003,0.051069918333332964,0.43498837833333326,,,unclassified
Dusp6,-0.2511945840000003,0.11834194300000078,0.36953652700000106,,,unclassified
Prl3b1,-0.07779580149999976,-0.15497242700000058,-0.07717662550000082,,,unclassified
Aldh18a1,-0.0448194685999983,0.010392129400001338,0.05521159799999964,,,unclassified
Klk1,-0.031867287666667465,-0.048787433666666935,-0.01692014599999947,,,unclassified
Serinc1,-0.06928545987499923,0.15813696925000187,0.2274224291250011,,,unclassified
Npm1,-0.0476178824999991,0.09294041500000105,0.14055829750000015,,,unclassified
Elovl5,0.027158144750000446,0.16578752750000092,0.13862938275000047,,,unclassified
Dync1i2,-0.0006147880000000328,0.07970978699999876,0.08032457499999879,,,unclassified
Mlst8,0.14335917150000022,-0.1946956860000002,-0.3380548575000004,,,unclassified
Syt4,-0.08001662074999949,-0.05002045275000011,0.02999616799999938,,,unclassified
Ldhc,-0.08136015949999997,-0.104073692750001,-0.022713533250001028,,,unclassified
Prl3d1,-0.019862784000000744,-0.1532193424999999,-0.13335655849999917,,,unclassified
Stmn1,-0.1208804252500002,-0.010347662500000965,0.11053276274999924,,,unclassified
Rasa3,-0.4282256265000006,0.16966274800000036,0.597888374500001,,,unclassified
Def8,0.09008657599999914,-0.011065077499999632,-0.10115165349999877,,,unclassified
Kitl,0.3408599426250012,0.2505687228750002,-0.09029121975000098,,,unclassified
Emb,0.5221756747499988,0.20169622350000171,-0.3204794512499971,0.3862612397572282,0.3862612397572282,partial_rescue_residual
Eif3c,0.016312084999999144,0.04887471887499828,0.032562633874999136,,,unclassified
Kpna2,0.07680563049999911,-0.0031011149999997656,-0.07990674549999888,,,unclassified
Tyrp1,0.044703145833333124,-0.08898544533333386,-0.13368859116666698,,,unclassified
Eif4g2,-0.03945239925000088,0.023484306374999875,0.06293670562500076,,,unclassified
Bpgm,0.21592844483333362,0.13049978999999912,-0.0854286548333345,,,unclassified
Unc45a,-0.01300157025000015,0.06155771574999935,0.0745592859999995,,,unclassified
Cct4,-0.07997976450000088,-0.09195635833333249,-0.011976593833331606,,,unclassified
Trim28,-0.15239077000000023,-0.1293026500000014,0.023088119999998824,,,unclassified
Calu,-0.00881939499999973,0.17210775499999897,0.1809271499999987,,,unclassified
Tgfbi,-0.0763710752499982,0.23175424325000016,0.30812531849999836,,,unclassified
Hnrnph1,-0.3150413697500003,-0.04190742574999984,0.27313394400000046,,,unclassified
Actr1a,0.10294042000000037,-0.03615244449999988,-0.13909286450000025,,,unclassified
Spry1,-0.19802850049999776,0.2530166360000017,0.45104513649999944,,,unclassified
3010003L21Rik,-0.027736870500000066,-0.23644670749999985,-0.2087098369999998,,,unclassified
Rps26,-0.06533848499999984,-0.053232284999998214,0.012106200000001621,,,unclassified
Dpysl3,-0.7527949794999991,-0.3690002440000004,0.38379473549999865,0.4901736250221643,0.4901736250221643,partial_rescue_residual
Rrm1,0.18090384474999865,0.1888702534999993,0.007966408750000653,,,unclassified
Rplp2,-0.12928973,-0.09728748999999937,0.032002240000000626,,,unclassified
Lamp1,0.44607486499999993,0.12198217999999983,-0.3240926850000001,,,unclassified
Ghitm,0.2950029872499993,0.1513779349999993,-0.14362505225,,,unclassified
Cela3b,-0.08036111133333357,-0.12627784799999908,-0.045916736666665514,,,unclassified
Chgb,0.0738859250000008,-0.05703962349999969,-0.1309255485000005,,,unclassified
Sh2d3c,-0.054651171999999804,-0.1934731774999996,-0.1388220054999998,,,unclassified
Tfg,0.02309173999999814,0.0911679000000003,0.06807616000000216,,,unclassified
Hdgf,-0.1269519066666671,-0.08762522633333347,0.03932668033333364,,,unclassified
Hsp90b1,0.19107598050000085,0.12571303,-0.06536295050000085,,,unclassified
Papss1,-0.03196196450000066,0.026566668499999224,0.058528632999999886,,,unclassified
Suclg1,0.1174503204999997,-0.01651519249999822,-0.13396551299999793,,,unclassified
Sgpl1,0.3526859025000011,0.2533736832500004,-0.09931221925000067,,,unclassified
Enpp2,0.28098693649999973,0.11107087249999914,-0.1699160640000006,,,unclassified
Mgst1,0.6701341982499995,0.6595646772500006,-0.010569520999998971,0.9842277546383987,0.9842277546383987,persistent_residual
Junb,-0.674805387000001,-0.26230177449999914,0.4125036125000019,0.388707291840275,0.388707291840275,partial_rescue_residual
Kit,0.11942252399999997,0.0154931154999991,-0.10392940850000087,,,unclassified
Plod3,0.11579863500000087,0.24285766999999936,0.1270590349999985,,,unclassified
Aldh7a1,0.2714312768333329,-0.004734381833332968,-0.27616565866666587,,,unclassified
Slc38a1,-0.056052866499999965,-0.21134992949999898,-0.155297062999999,,,unclassified
Lpl,1.12324202975,1.2903677912499996,0.16712576149999947,1.148788735707474,1.148788735707474,persistent_residual
Reg1,0.09227074800000068,-0.013774981499999228,-0.10604572949999991,,,unclassified
Tmsb4x,0.054604995000000045,0.04919318500000003,-0.005411810000000017,,,unclassified
Ccnd3,0.00726807499999893,0.13375365499999958,0.12648558000000065,,,unclassified
Tspyl1,-0.08505568925000073,-0.005467647000000575,0.07958804225000016,,,unclassified
Stip1,0.11576986400000067,-0.01224801150000232,-0.128017875500003,,,unclassified
Ciapin1,-0.3137432940000009,-0.3514993050000008,-0.03775601099999992,,,unclassified
Impact,0.17164383650000126,-0.0747140850000001,-0.24635792150000135,,,unclassified
Hnrnpab,0.015080748571429936,0.09389017899999885,0.07880943042856892,,,unclassified
Ddx1,-0.20132191500000118,-0.11908090550000061,0.08224100950000057,,,unclassified
Mthfd1,0.071286490166667,-0.005183602499999829,-0.07647009266666682,,,unclassified
Tpi1,0.2978227380000007,-0.18131216516666626,-0.47913490316666696,,,unclassified
Npdc1,0.15659665899999986,0.21119957350000007,0.05460291450000021,,,unclassified
Cstf2t,-0.13991382899999927,0.19839538399999945,0.3383092129999987,,,unclassified
Tnfrsf19,0.11774595966666546,-0.008089449333334109,-0.12583540899999957,,,unclassified
Marcksl1,-0.26513177137499966,0.029565927750002885,0.29469769912500254,,,unclassified
Ndn,-0.5183634431250006,-0.251320029875,0.2670434132500006,0.4848336301647636,0.4848336301647636,partial_rescue_residual
Tnp1,-0.058914988750000674,-0.1332763972499995,-0.07436140849999884,,,unclassified
Nup62,0.0548630196250004,-0.11217028749999969,-0.16703330712500009,,,unclassified
Actc1,-0.14834860250000048,0.03832002150000058,0.18666862400000106,,,unclassified
Map1lc3b,0.22182110575000102,0.1455785745,-0.07624253125000102,,,unclassified
Igf2,-0.8582939234999998,-0.32681612699999896,0.5314777965000008,0.38077413581968467,0.38077413581968467,partial_rescue_residual
Atp9a,-0.2008845991666659,0.03275149983333314,0.23363609899999904,,,unclassified
Cox5a,0.036386950833335874,0.09505208800000098,0.058665137166665104,,,unclassified
Cops8,0.1139483274999975,0.011362025500002204,-0.1025863019999953,,,unclassified
Smoc2,0.4625536274999993,0.5478167812499999,0.0852631537500006,,,unclassified
Bcar3,-0.2949940215,-0.11229111250000035,0.18270290899999964,,,unclassified
Pdcd6ip,0.018309324500000557,0.05062530729999981,0.032315982799999254,,,unclassified
Spink1,0.0727599630000002,-0.0045663309999994794,-0.07732629399999968,,,unclassified
Fmod,0.5975722625000008,0.8428244410833337,0.2452521785833328,1.4104142611260049,1.4104142611260049,worsened_residual
Zfand2a,0.0931923509999999,0.027040498374999444,-0.06615185262500045,,,unclassified
Sdc1,-0.047437323750001426,-0.13554116437499886,-0.08810384062499743,,,unclassified
Mcm5,0.2858074775000006,-0.17291841200000047,-0.45872588950000104,,,unclassified
Pigq,0.09584772092857108,-0.01774885678571536,-0.11359657771428644,,,unclassified
Creg1,1.8200746082499997,1.0486150289999996,-0.7714595792500001,0.5761384858878077,0.5761384858878077,partial_rescue_residual
Cpe,0.08850524500000034,0.2032533369999996,0.11474809199999925,,,unclassified
Pebp1,0.11234907249999893,-0.02044547750000092,-0.13279454999999984,,,unclassified
Fkbp10,-0.1613456312499988,-0.06417307575000031,0.09717255549999848,,,unclassified
Mark2,0.013769341666666435,-0.004742241666669145,-0.01851158333333558,,,unclassified
Prm1,0.01808748516666725,-0.025964376166665915,-0.044051861333333164,,,unclassified
Cdk16,0.1449680425000004,0.09588758824999921,-0.04908045425000118,,,unclassified
Rrp1,0.04823503975000065,-0.1438173150000015,-0.19205235475000215,,,unclassified
Slc2a4,0.07869530299999905,-0.10081241700000021,-0.17950771999999926,,,unclassified
Mpo,-0.20435927900000017,-0.25436463850000024,-0.05000535950000007,,,unclassified
Itm2c,0.06022968999999989,0.1553364049999999,0.09510671500000001,,,unclassified
Eif3h,0.08126360800000043,-0.005975079000000605,-0.08723868700000104,,,unclassified
Hnrnph2,-0.24064925999999964,0.018271589499999408,0.25892084949999905,,,unclassified
Scd1,0.14753419650000055,-0.40619219150000063,-0.5537263880000012,,,unclassified
Ndufv1,0.15069016900000065,0.07519579400000076,-0.07549437499999989,,,unclassified
Kap,0.09406926725000098,-0.07468802425000032,-0.1687572915000013,,,unclassified
Cox6c,-0.16866281150000084,0.050588090749998926,0.21925090224999977,,,unclassified
Marcks,-0.04969402833333447,0.15150081075000088,0.20119483908333535,,,unclassified
Map2k2,0.19461217624999883,-0.08157720100000176,-0.2761893772500006,,,unclassified
Carhsp1,-0.18526018875000183,-0.1566674037500011,0.02859278500000073,,,unclassified
Isyna1,0.347817234499999,0.013475888500000366,-0.33434134599999865,,,unclassified
Tubb3,-1.023031400999999,-0.7769667140000003,0.24606468699999873,0.7594749420599662,0.7594749420599662,partial_rescue_residual
Rpl7,-0.28360843499999966,-0.009667026666667411,0.27394140833333225,,,unclassified
Atp5g2,-0.043305582500000384,0.033521617749999066,0.07682720024999945,,,unclassified
Herpud2,-0.3515691748333314,0.1718952113333332,0.5234643861666646,,,unclassified
Lcp1,0.06887278424999899,0.9278898657499992,0.8590170815000002,,,unclassified
Acadm,0.035213699499998086,0.16977123050000031,0.13455753100000223,,,unclassified
Sf3b3,-0.16076016950000138,-0.054806563999999725,0.10595360550000166,,,unclassified
Clcn4,-0.04967838824999937,-0.18214275224999898,-0.1324643639999996,,,unclassified
Hdlbp,0.1249592193999991,0.11218685849999943,-0.012772360899999669,,,unclassified
Vcam1,-0.3492856293333322,0.053397337833333225,0.4026829671666654,,,unclassified
Vdac2,0.2706173500000002,0.10970980499999783,-0.16090754500000237,,,unclassified
Klhdc3,-0.059400815125000506,-0.07413807662499927,-0.014737261499998766,,,unclassified
Pigo,-0.30802352016666745,-0.0987367868333342,0.20928673333333325,,,unclassified
Sqle,-0.04991023500000047,-0.39925039150000075,-0.3493401565000003,,,unclassified
Cyp2e1,-0.11694288500000027,0.1444237709999996,0.26136665599999986,,,unclassified
Casp6,-0.1677377774999993,0.032535123999998916,0.2002729014999982,,,unclassified
Txnip,-0.14742860424999904,0.05602741474999995,0.203456018999999,,,unclassified
Vdac1,0.06426294210000094,0.11426319949999808,0.05000025739999714,,,unclassified
Hey1,-0.29170382050000043,-0.34323501549999946,-0.05153119499999903,,,unclassified
Cotl1,0.19845623109999977,0.287546680600002,0.08909044950000222,,,unclassified
Cldn11,0.19106963249999964,-0.03464358999999906,-0.2257132224999987,,,unclassified
