dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE122960_normal_lung,scRNA,ACTA2,True,1256,3.2387686705180485,4.779087017789621,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,AIF1,True,12044,4.703109792058698,5.685398662729497,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,APOE,True,12439,4.913648033101426,6.303451130240791,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,B2M,True,32814,7.684219151526323,8.276285647662696,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,C1QA,True,16007,6.007351196878096,7.176009943172298,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,C1QB,True,16363,6.2573482520983505,7.431149775267333,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,C1QC,True,11481,5.05783689558055,6.105977495625042,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CCL2,True,1998,5.124247446921521,6.7832931650395825,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CCL5,True,559,4.658132602408451,5.969343054656317,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CCL7,True,131,4.468283416683491,5.551987777172352,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD274,True,1218,4.3710288804643405,5.88093194910298,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD276,True,3698,3.4320537158704294,5.283601778300414,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD3D,True,587,3.4466530012412617,5.55067114056188,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD3E,True,274,4.470423217822267,5.544366590204356,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD8A,True,150,4.289749099968134,5.416510429992186,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CD8B,True,88,4.518744493005044,5.583189165658764,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CTSK,True,548,3.3728202289692932,5.283601778300414,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,CXCL8,True,5670,4.718311529292752,6.699267321402614,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,DCT,True,15,,,False,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,DPPA4,True,6,,,False,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,EPCAM,True,12393,5.687374080428037,6.646690170246266,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,ERAP1,True,2831,3.488781786679719,5.386288427820895,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,ERAP2,True,3277,3.2775297185599728,4.799765508596617,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,ESR1,True,158,2.857676230779981,4.538866125314756,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,FCER1G,True,15448,5.7477993600729755,6.479289115832021,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,FCGR3A,True,7545,3.946645109626237,4.986386843701658,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,FIGF,True,61,4.605269190987925,6.077143515095717,True,nonzero normalized expression within dataset x assay
GSE122960_normal_lung,scRNA,GNLY,True,1552,4.954735408606829,6.321766996021397,True,nonzero normalized expression within dataset x assay
