dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,multiome_GEX,ACTA2,True,966,0.5455790483005726,1.4921825378648128,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,AIF1,True,693,0.4871480619933514,1.1563070350148004,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,APOE,True,2083,0.7269298225072525,1.7793678548106988,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,B2M,True,9119,1.1873151158720896,2.539261759113659,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,C1QA,True,1482,0.710580237840334,1.693056934008418,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,C1QB,True,1354,0.6633229481463342,1.6222755891649456,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,C1QC,True,550,0.5771526521495611,1.3063525256845956,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CCL2,True,1205,0.5603023653739962,1.4182508821257893,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CCL5,True,263,0.4350726179908537,1.579719152151891,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CCL7,True,15,,,False,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD274,True,597,0.3918294478899443,0.9769913527123827,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD276,True,1014,0.3885130243401942,0.9128992644318061,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD3D,True,203,0.3852557863021045,1.5278423386628095,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD3E,True,169,0.3040249686262027,1.4282954889237178,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD8A,True,134,0.34799653912945777,1.3489938295524344,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CD8B,True,77,0.37208412067370633,1.33529587805523,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CTSK,True,1056,0.48977652385720527,1.1679681865062912,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,CXCL8,True,501,0.5307930092798592,1.3186862881651136,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,DCT,True,114,0.32949550095170854,0.7705017784870631,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,DPPA4,True,14,,,False,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,EPCAM,True,2897,0.6011779352095287,1.1279857976487266,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ERAP1,True,3210,0.5673774445419864,1.051438228250006,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ERAP2,True,2112,0.5726481275225739,1.3027358682428125,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ESR1,True,2371,0.6710301804579447,1.550907014057456,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,FCER1G,True,1049,0.5762551436844353,1.3943082817878771,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,FCGR3A,True,490,0.47068119537284286,1.2402931148624712,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,GNLY,True,241,0.4021921074179127,1.8612591830978789,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,GPNMB,True,1422,0.703261115515437,1.588607725860537,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,GZMB,True,118,0.37435087643476317,1.359906135397638,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HAVCR2,True,1386,0.5224291544154744,1.241669420199594,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HLA-A,True,5065,0.7779590279903839,1.704645827064741,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HLA-B,True,6287,0.8539818454724106,1.9251279121282219,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HLA-C,True,3772,0.6821502911930784,1.4484553128428896,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HLA-E,True,4913,0.7660004396623347,1.6607066941051452,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HMGA2,True,681,0.5173633604734437,1.2197246412434768,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HOXA11,True,15,,,False,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,HOXD11,True,23,0.6772458351210955,1.215382693404532,True,nonzero normalized expression within dataset x assay
