dataset,patient_id,independence_key,gene,n_cells,n_assayed_cells,not_assayed_fraction,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed
GSE135851,LAM1,GSE135851:LAM1,PMEL,74,74,0.0,0.44594594594594594,0.0945945945945946,0.17567567567567569
GSE135851,LAM2,GSE135851:LAM2,PMEL,154,154,0.0,0.045454545454545456,0.025974025974025976,0.006493506493506494
GSE135851,LAM3,GSE135851:LAM3,PMEL,190,190,0.0,0.2736842105263158,0.042105263157894736,0.13157894736842105
GSE135851,LAM4,GSE135851:LAM4,PMEL,105,105,0.0,0.26666666666666666,0.0380952380952381,0.14285714285714285
GSE190260,LAM1110,GSE190260:LAM1110,PMEL,125,125,0.0,0.056,0.04,0.0
GSE190260,LAM1158,GSE190260:LAM1158,PMEL,183,183,0.0,0.14207650273224043,0.09289617486338798,0.0273224043715847
GSE190260,LAM1163,GSE190260:LAM1163,PMEL,509,509,0.0,0.42829076620825146,0.023575638506876228,0.18271119842829076
GSE190260,LAM1164,GSE190260:LAM1164,PMEL,747,747,0.0,0.024096385542168676,0.01606425702811245,0.0
GSE217108,LAM32,LAM32,PMEL,493,493,0.0,0.028397565922920892,0.010141987829614604,0.008113590263691683
GSE217108,LAM44,LAM44,PMEL,582,582,0.0,0.037800687285223365,0.015463917525773196,0.006872852233676976
GSE302356,LAM18,LAM18,PMEL,129,129,0.0,0.06976744186046512,0.007751937984496124,0.03875968992248062
GSE302356,LAM3,LAM3,PMEL,1492,1492,0.0,0.08981233243967829,0.022788203753351208,0.022788203753351208
GSE302356,LAM32,LAM32,PMEL,335,335,0.0,0.056716417910447764,0.01791044776119403,0.01791044776119403
GSE302356,LAM50,LAM50,PMEL,725,725,0.0,0.04827586206896552,0.022068965517241378,0.004137931034482759
GSE135851,LAM1,GSE135851:LAM1,MLANA,74,74,0.0,0.04054054054054054,0.0,0.0
GSE135851,LAM2,GSE135851:LAM2,MLANA,154,154,0.0,0.0,0.0,0.0
GSE135851,LAM3,GSE135851:LAM3,MLANA,190,190,0.0,0.02631578947368421,0.0,0.0
GSE135851,LAM4,GSE135851:LAM4,MLANA,105,105,0.0,0.02857142857142857,0.0,0.0
GSE190260,LAM1110,GSE190260:LAM1110,MLANA,125,125,0.0,0.0,0.0,0.0
GSE190260,LAM1158,GSE190260:LAM1158,MLANA,183,183,0.0,0.0273224043715847,0.01092896174863388,0.00546448087431694
GSE190260,LAM1163,GSE190260:LAM1163,MLANA,509,509,0.0,0.015717092337917484,0.005893909626719057,0.0019646365422396855
GSE190260,LAM1164,GSE190260:LAM1164,MLANA,747,747,0.0,0.0107095046854083,0.004016064257028112,0.0
GSE217108,LAM32,LAM32,MLANA,493,493,0.0,0.02434077079107505,0.004056795131845842,0.006085192697768763
GSE217108,LAM44,LAM44,MLANA,582,582,0.0,0.05326460481099656,0.027491408934707903,0.005154639175257732
GSE302356,LAM18,LAM18,MLANA,129,129,0.0,0.015503875968992248,0.0,0.0
GSE302356,LAM3,LAM3,MLANA,1492,1492,0.0,0.07506702412868632,0.015415549597855228,0.020107238605898123
GSE302356,LAM32,LAM32,MLANA,335,335,0.0,0.020895522388059702,0.0,0.0
GSE302356,LAM50,LAM50,MLANA,725,725,0.0,0.08137931034482758,0.04827586206896552,0.004137931034482759
GSE135851,LAM1,GSE135851:LAM1,TYRP1,74,74,0.0,0.0,0.0,0.0
GSE135851,LAM2,GSE135851:LAM2,TYRP1,154,154,0.0,0.0,0.0,0.0
GSE135851,LAM3,GSE135851:LAM3,TYRP1,190,190,0.0,0.0,0.0,0.0
GSE135851,LAM4,GSE135851:LAM4,TYRP1,105,105,0.0,0.009523809523809525,0.0,0.0
GSE190260,LAM1110,GSE190260:LAM1110,TYRP1,125,125,0.0,0.0,0.0,0.0
GSE190260,LAM1158,GSE190260:LAM1158,TYRP1,183,183,0.0,0.00546448087431694,0.0,0.0
GSE190260,LAM1163,GSE190260:LAM1163,TYRP1,509,509,0.0,0.0137524557956778,0.0,0.0
GSE190260,LAM1164,GSE190260:LAM1164,TYRP1,747,747,0.0,0.0013386880856760374,0.0,0.0
GSE217108,LAM32,LAM32,TYRP1,493,493,0.0,0.008113590263691683,0.002028397565922921,0.002028397565922921
GSE217108,LAM44,LAM44,TYRP1,582,582,0.0,0.00859106529209622,0.005154639175257732,0.0
GSE302356,LAM18,LAM18,TYRP1,129,129,0.0,0.015503875968992248,0.0,0.015503875968992248
GSE302356,LAM3,LAM3,TYRP1,1492,1492,0.0,0.004691689008042895,0.0020107238605898124,0.0013404825737265416
GSE302356,LAM32,LAM32,TYRP1,335,335,0.0,0.01791044776119403,0.011940298507462687,0.0
GSE302356,LAM50,LAM50,TYRP1,725,725,0.0,0.006896551724137931,0.004137931034482759,0.0
GSE135851,LAM1,GSE135851:LAM1,DCT,74,74,0.0,0.0,0.0,0.0
GSE135851,LAM2,GSE135851:LAM2,DCT,154,154,0.0,0.0,0.0,0.0
GSE135851,LAM3,GSE135851:LAM3,DCT,190,190,0.0,0.0,0.0,0.0
GSE135851,LAM4,GSE135851:LAM4,DCT,105,105,0.0,0.0,0.0,0.0
GSE190260,LAM1110,GSE190260:LAM1110,DCT,125,125,0.0,0.008,0.0,0.0
GSE190260,LAM1158,GSE190260:LAM1158,DCT,183,183,0.0,0.00546448087431694,0.00546448087431694,0.0
GSE190260,LAM1163,GSE190260:LAM1163,DCT,509,509,0.0,0.0,0.0,0.0
GSE190260,LAM1164,GSE190260:LAM1164,DCT,747,747,0.0,0.002677376171352075,0.0,0.0
GSE217108,LAM32,LAM32,DCT,493,493,0.0,0.010141987829614604,0.004056795131845842,0.0
GSE217108,LAM44,LAM44,DCT,582,582,0.0,0.013745704467353952,0.005154639175257732,0.0
GSE302356,LAM18,LAM18,DCT,129,129,0.0,0.0,0.0,0.0
GSE302356,LAM3,LAM3,DCT,1492,1492,0.0,0.03686327077747989,0.015415549597855228,0.004021447721179625
GSE302356,LAM32,LAM32,DCT,335,335,0.0,0.0029850746268656717,0.0,0.0
