dataset,gene,target_module,n_assayed_cells,n_antigen_detected_cells,mean_target_when_antigen_detected,mean_target_when_antigen_not_detected,difference_detected_minus_not_detected,interpretation
GSE135851,PMEL,presentation_machinery,523,120,1.1091573603578908,1.3944240406993853,-0.2852666803414945,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,PMEL,ifn_response,523,120,0.4733487846108646,0.4667716222520122,0.0065771623588524175,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,PMEL,immune_evasion,523,120,0.27093423612984463,0.4229874075834058,-0.15205317145356118,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,PMEL,nk_ligands,523,120,0.01724374920647352,0.01897874036541395,-0.0017349911589404285,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MLANA,presentation_machinery,523,11,1.1755887485377174,1.3322662019743832,-0.15667745343666573,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MLANA,ifn_response,523,11,0.6200050677107009,0.4650210198750917,0.15498404783560915,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MLANA,immune_evasion,523,11,0.3075127373451472,0.38983084664237744,-0.08231810929723021,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MLANA,nk_ligands,523,11,0.020409167456233446,0.01854136998050796,0.0018677974757254842,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,TYRP1,presentation_machinery,523,1,1.2265315443645195,1.3291671266291851,-0.10263558226466563,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,TYRP1,ifn_response,523,1,0.3451766583829821,0.4685165541426852,-0.12333989575970311,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,TYRP1,immune_evasion,523,1,0.0,0.38884297622929864,-0.38884297622929864,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,TYRP1,nk_ligands,523,1,0.0,0.01861624956329242,-0.01861624956329242,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,DCT,presentation_machinery,523,0,,1.3289708826860405,,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,DCT,ifn_response,523,0,,0.4682807226020356,,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,DCT,immune_evasion,523,0,,0.38809949061509347,,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,DCT,nk_ligands,523,0,,0.018580654439844444,,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MITF,presentation_machinery,523,212,1.5191902140404974,1.1993036857498829,0.3198865282906145,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MITF,ifn_response,523,212,0.47216113052612313,0.4656355570717896,0.006525573454333522,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MITF,immune_evasion,523,212,0.4679584227664365,0.3336618905633741,0.13429653220306242,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,MITF,nk_ligands,523,212,0.024808029027365036,0.01433562738983041,0.010472401637534627,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,GPNMB,presentation_machinery,523,384,1.466521114427494,0.9489759978751177,0.5175451165523764,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,GPNMB,ifn_response,523,384,0.4871535888343527,0.41614273243505917,0.07101085639929355,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,GPNMB,immune_evasion,523,384,0.45051639094355883,0.21566719042710283,0.234849200516456,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE135851,GPNMB,nk_ligands,523,384,0.022575452319814143,0.007544666052014492,0.015030786267799651,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,PMEL,presentation_machinery,1564,269,0.804456409910724,1.0141487319873888,-0.20969232207666477,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,PMEL,ifn_response,1564,269,0.52289203762367,0.6298945411924207,-0.10700250356875074,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,PMEL,immune_evasion,1564,269,0.30203071676930193,0.36677941379889606,-0.06474869702959413,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,PMEL,nk_ligands,1564,269,0.03102029760450138,0.0279405150093373,0.0030797825951640774,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MLANA,presentation_machinery,1564,21,0.8755588895923888,0.9794780593053876,-0.10391916971299875,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MLANA,ifn_response,1564,21,0.6545627124423413,0.6109044536640718,0.043658258778269565,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MLANA,immune_evasion,1564,21,0.3634646628768507,0.3555365170188585,0.007928145857992175,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MLANA,nk_ligands,1564,21,0.006972480390714638,0.028762802919311516,-0.02179032252859688,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,TYRP1,presentation_machinery,1564,9,0.9483167572971912,0.9782550040990216,-0.029938246801830326,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,TYRP1,ifn_response,1564,9,0.7779066298729506,0.6105274786470067,0.16737915122594382,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,TYRP1,immune_evasion,1564,9,0.29123605533038244,0.356015742239575,-0.06477968690919256,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,TYRP1,nk_ligands,1564,9,0.012145597602894234,0.028564705218184328,-0.016419107615290092,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,DCT,presentation_machinery,1564,4,0.9513504828352441,0.978151269396354,-0.026800786561109846,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,DCT,ifn_response,1564,4,0.43406552041531654,0.6119455941559556,-0.17788007374063908,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,DCT,immune_evasion,1564,4,0.13577990894542924,0.35620672054149416,-0.22042681159606492,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,DCT,nk_ligands,1564,4,0.06982036947491903,0.028364195842822435,0.041456173632096596,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MITF,presentation_machinery,1564,993,1.0698584826616455,0.8184797003618902,0.2513787822997553,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MITF,ifn_response,1564,993,0.5422256596791571,0.7319462502689124,-0.1897205905897552,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MITF,immune_evasion,1564,993,0.4029262315745386,0.2734148086287142,0.1295114229458244,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,MITF,nk_ligands,1564,993,0.03012936966420512,0.025584873758576168,0.004544495905628953,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,GPNMB,presentation_machinery,1564,1029,1.0603610605665068,0.8198314969471363,0.2405295636193705,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,GPNMB,ifn_response,1564,1029,0.6078921426554326,0.6184119143411435,-0.010519771685710944,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,GPNMB,immune_evasion,1564,1029,0.4089993947625138,0.253019114896983,0.1559802798655308,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE190260,GPNMB,nk_ligands,1564,1029,0.028887719147304543,0.027667222411451028,0.001220496735853515,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,PMEL,presentation_machinery,1075,36,0.5936478335331052,0.6286996130804321,-0.035051779547326856,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,PMEL,ifn_response,1075,36,0.18227535642445453,0.2076118524580201,-0.02533649603356558,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,PMEL,immune_evasion,1075,36,0.27663926543934436,0.29021792909569877,-0.013578663656354406,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,PMEL,nk_ligands,1075,36,0.015697538271455865,0.016457347446632364,-0.0007598091751764985,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MLANA,presentation_machinery,1075,43,0.7257457076583049,0.6234332893105171,0.10231241834778781,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MLANA,ifn_response,1075,43,0.21470482909526392,0.2064324805078168,0.008272348587447131,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MLANA,immune_evasion,1075,43,0.3026339588700769,0.2892269202081726,0.013407038661904291,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MLANA,nk_ligands,1075,43,0.013455149579571711,0.016555934053199467,-0.0031007844736277556,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,TYRP1,presentation_machinery,1075,9,0.6357125780714581,0.6274566667871646,0.008255911284293482,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,TYRP1,ifn_response,1075,9,0.24994398889277114,0.20639881016428546,0.04354517872848568,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,TYRP1,immune_evasion,1075,9,0.2696031884143212,0.28993340824626507,-0.020330219831943885,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,TYRP1,nk_ligands,1075,9,0.0,0.016570633559871893,-0.016570633559871893,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,DCT,presentation_machinery,1075,13,0.5007316577217671,0.6290778798939527,-0.1283462221721856,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,DCT,ifn_response,1075,13,0.11484128087736496,0.2078885978189807,-0.09304731694161573,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,DCT,immune_evasion,1075,13,0.17393466502401161,0.29118106519862075,-0.11724640017460913,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,DCT,nk_ligands,1075,13,0.02492574991167311,0.01632792902633869,0.00859782088533442,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MITF,presentation_machinery,1075,943,0.6152864063640421,0.7149631727005232,-0.09967676633648115,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MITF,ifn_response,1075,943,0.20250582864681305,0.23717902364559515,-0.0346731949987821,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MITF,immune_evasion,1075,943,0.2915838121839751,0.2767568711875676,0.014826940996407523,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,MITF,nk_ligands,1075,943,0.015484666296085463,0.023198901951627625,-0.007714235655542162,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,GPNMB,presentation_machinery,1075,526,0.6508625676648474,0.6051666837997286,0.0456958838651188,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,GPNMB,ifn_response,1075,526,0.20458934673933438,0.20884632267809355,-0.004256975938759178,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,GPNMB,immune_evasion,1075,526,0.3034970053918583,0.27660476694012737,0.026892238451730943,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE217108,GPNMB,nk_ligands,1075,526,0.016953256472738456,0.015932390656034627,0.0010208658167038288,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,PMEL,presentation_machinery,2681,197,0.5403052256789674,0.5670382586556397,-0.02673303297667229,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,PMEL,ifn_response,2681,197,0.21285970116780475,0.23824735815919917,-0.02538765699139442,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,PMEL,immune_evasion,2681,197,0.21042056916208932,0.22167042604545503,-0.011249856883365716,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,PMEL,nk_ligands,2681,197,0.01311847950322195,0.011804840496975489,0.0013136390062464618,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,MLANA,presentation_machinery,2681,180,0.49220876980423683,0.5703181069150751,-0.07810933711083828,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,MLANA,ifn_response,2681,180,0.21913863841334194,0.23762288839788354,-0.018484249984541595,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,MLANA,immune_evasion,2681,180,0.20047166251908963,0.22230999247037417,-0.02183832995128454,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,MLANA,nk_ligands,2681,180,0.008675218057462422,0.012133556579879488,-0.0034583385224170662,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,TYRP1,presentation_machinery,2681,20,0.6948753464790209,0.5640983303381379,0.130777016140883,co-existence summary; expression is not proof of peptide presentation or immune recognition
GSE302356,TYRP1,ifn_response,2681,20,0.2775669181675509,0.23607232635631611,0.0414945918112348,co-existence summary; expression is not proof of peptide presentation or immune recognition
