dataset,patient_id,context_label,n_cells,n_total_cells,fraction_of_cells
GSE122960_normal_lung,GSE122960_Donor_01,NK_candidate,4,5437,0.0007356998344675372
GSE122960_normal_lung,GSE122960_Donor_01,T_cell_candidate,21,5437,0.0038624241309545707
GSE122960_normal_lung,GSE122960_Donor_01,macrophage_candidate,3452,5437,0.6349089571454847
GSE122960_normal_lung,GSE122960_Donor_01,unassigned,1960,5437,0.36049291888909324
GSE122960_normal_lung,GSE122960_Donor_03,NK_candidate,6,5235,0.001146131805157593
GSE122960_normal_lung,GSE122960_Donor_03,T_cell_candidate,6,5235,0.001146131805157593
GSE122960_normal_lung,GSE122960_Donor_03,macrophage_candidate,3745,5235,0.7153772683858644
GSE122960_normal_lung,GSE122960_Donor_03,unassigned,1478,5235,0.28233046800382045
GSE122960_normal_lung,GSE122960_Donor_04,NK_candidate,6,5191,0.0011558466576767482
GSE122960_normal_lung,GSE122960_Donor_04,T_cell_candidate,3,5191,0.0005779233288383741
GSE122960_normal_lung,GSE122960_Donor_04,macrophage_candidate,2057,5191,0.39626276247351183
GSE122960_normal_lung,GSE122960_Donor_04,unassigned,3125,5191,0.602003467539973
GSE122960_normal_lung,GSE122960_Donor_05,NK_candidate,2,5341,0.0003744617112900206
GSE122960_normal_lung,GSE122960_Donor_05,T_cell_candidate,28,5341,0.005242463958060288
GSE122960_normal_lung,GSE122960_Donor_05,macrophage_candidate,2785,5341,0.5214379329713537
GSE122960_normal_lung,GSE122960_Donor_05,unassigned,2526,5341,0.472945141359296
GSE122960_normal_lung,GSE122960_Donor_06,NK_candidate,33,4300,0.007674418604651163
GSE122960_normal_lung,GSE122960_Donor_06,T_cell_candidate,117,4300,0.027209302325581396
GSE122960_normal_lung,GSE122960_Donor_06,macrophage_candidate,2500,4300,0.5813953488372093
GSE122960_normal_lung,GSE122960_Donor_06,unassigned,1650,4300,0.38372093023255816
GSE122960_normal_lung,GSE122960_Donor_07,NK_candidate,140,7516,0.018626929217668974
GSE122960_normal_lung,GSE122960_Donor_07,T_cell_candidate,54,7516,0.007184672698243746
GSE122960_normal_lung,GSE122960_Donor_07,macrophage_candidate,2575,7516,0.3426024481106972
GSE122960_normal_lung,GSE122960_Donor_07,unassigned,4747,7516,0.6315859499733901
GSE135851,Donor1,NK_candidate,460,7312,0.06291028446389496
GSE135851,Donor1,T_cell_candidate,513,7312,0.07015864332603938
GSE135851,Donor1,macrophage_candidate,4819,7312,0.6590536105032823
GSE135851,Donor1,unassigned,1520,7312,0.20787746170678337
GSE135851,LAM1,NK_candidate,42,7657,0.005485176962256758
GSE135851,LAM1,T_cell_candidate,161,7657,0.02102651168865091
GSE135851,LAM1,macrophage_candidate,6313,7657,0.8244743372077837
GSE135851,LAM1,unassigned,1141,7657,0.1490139741413086
GSE135851,LAM2,NK_candidate,81,6970,0.011621233859397418
GSE135851,LAM2,T_cell_candidate,333,6970,0.04777618364418938
GSE135851,LAM2,macrophage_candidate,6126,6970,0.878909612625538
GSE135851,LAM2,unassigned,430,6970,0.06169296987087518
GSE135851,LAM3,NK_candidate,411,6881,0.05972969045196919
GSE135851,LAM3,T_cell_candidate,222,6881,0.03226275250690307
GSE135851,LAM3,macrophage_candidate,5774,6881,0.8391222206074699
GSE135851,LAM3,unassigned,474,6881,0.06888533643365789
GSE135851,LAM4,NK_candidate,65,1257,0.05171042163882259
GSE135851,LAM4,T_cell_candidate,41,1257,0.03261734287987271
GSE135851,LAM4,macrophage_candidate,928,1257,0.7382657120127287
GSE135851,LAM4,unassigned,223,1257,0.17740652346857597
GSE190260,LAM1110,NK_candidate,39,2188,0.01782449725776965
GSE190260,LAM1110,T_cell_candidate,22,2188,0.010054844606946984
GSE190260,LAM1110,macrophage_candidate,780,2188,0.35648994515539306
GSE190260,LAM1110,unassigned,1347,2188,0.6156307129798904
GSE190260,LAM1158,NK_candidate,25,2057,0.012153621779290228
GSE190260,LAM1158,T_cell_candidate,149,2057,0.07243558580456977
GSE190260,LAM1158,macrophage_candidate,772,2057,0.37530384054448224
GSE190260,LAM1158,unassigned,1111,2057,0.5401069518716578
GSE190260,LAM1163,NK_candidate,2544,15497,0.16416080531715815
GSE190260,LAM1163,T_cell_candidate,2728,15497,0.1760340711105375
GSE190260,LAM1163,macrophage_candidate,1743,15497,0.11247338194489256
GSE190260,LAM1163,unassigned,8482,15497,0.5473317416274117
GSE190260,LAM1164,NK_candidate,2641,20237,0.13050353313238128
GSE190260,LAM1164,T_cell_candidate,2346,20237,0.11592627365716263
GSE190260,LAM1164,macrophage_candidate,8717,20237,0.43074566388298663
GSE190260,LAM1164,unassigned,6533,20237,0.32282452932746947
GSE217108,LAM32,NK_candidate,42,5591,0.00751207297442318
GSE217108,LAM32,T_cell_candidate,11,5591,0.0019674476837774997
GSE217108,LAM32,macrophage_candidate,292,5591,0.052226793060275445
GSE217108,LAM32,unassigned,5246,5591,0.9382936862815239
GSE217108,LAM44,NK_candidate,1803,6805,0.26495224099926523
GSE217108,LAM44,T_cell_candidate,784,6805,0.11520940484937546
GSE217108,LAM44,macrophage_candidate,2836,6805,0.4167523879500367
GSE217108,LAM44,unassigned,1382,6805,0.20308596620132255
GSE302356,LAM18,NK_candidate,344,4446,0.07737291947818263
GSE302356,LAM18,T_cell_candidate,987,4446,0.22199730094466938
GSE302356,LAM18,macrophage_candidate,1021,4446,0.2296446243814665
GSE302356,LAM18,unassigned,2094,4446,0.4709851551956815
GSE302356,LAM3,NK_candidate,88,7907,0.011129379031238144
GSE302356,LAM3,T_cell_candidate,93,7907,0.011761730112558492
GSE302356,LAM3,macrophage_candidate,1092,7907,0.13810547616036423
GSE302356,LAM3,unassigned,6634,7907,0.8390034146958392
GSE302356,LAM32,NK_candidate,791,8021,0.09861613265178905
GSE302356,LAM32,T_cell_candidate,776,8021,0.09674604164069318
GSE302356,LAM32,macrophage_candidate,2966,8021,0.3697793292606907
GSE302356,LAM32,unassigned,3488,8021,0.43485849644682706
GSE302356,LAM50,NK_candidate,36,3385,0.010635155096011817
GSE302356,LAM50,T_cell_candidate,72,3385,0.021270310192023634
GSE302356,LAM50,macrophage_candidate,218,3385,0.06440177252584933
GSE302356,LAM50,unassigned,3059,3385,0.9036927621861152
