dataset,patient_id,n_cells,n_high_confidence_lamcore,lamcore_mean_antigen_associated,lamcore_mean_presentation_machinery,lamcore_mean_ifn_response,lamcore_mean_immune_evasion,lamcore_mean_nk_ligands,T_cell_candidate_mean_cd8_cytotoxicity,T_cell_candidate_mean_t_cell_exhaustion,T_cell_candidate_mean_nk_state,T_cell_candidate_mean_macrophage_suppressive,NK_candidate_mean_cd8_cytotoxicity,NK_candidate_mean_t_cell_exhaustion,NK_candidate_mean_nk_state,NK_candidate_mean_macrophage_suppressive,macrophage_candidate_mean_cd8_cytotoxicity,macrophage_candidate_mean_t_cell_exhaustion,macrophage_candidate_mean_nk_state,macrophage_candidate_mean_macrophage_suppressive
GSE122960_normal_lung,GSE122960_Donor_01,5437,0,,,,,,1.378664236019308,0.5700184441071038,0.8637228686451687,0.467862485647638,4.375158209896021,0.854125124019607,3.68388420231718,1.3492819811156793,0.01973843778824008,0.3418526617239694,0.5225994855910823,4.513594636901534
GSE122960_normal_lung,GSE122960_Donor_03,5235,0,,,,,,0.2089266530030941,0.3536070352627381,0.0,1.0761644008161402,1.4105531378976044,0.0,3.047844059501271,0.944456205355376,0.016241215475139622,0.14810980009804064,0.19412887956985148,3.867088900237793
GSE122960_normal_lung,GSE122960_Donor_04,5191,0,,,,,,1.5675961819392121,0.7544648266321365,1.1107499449301208,0.6900819235833121,2.082952101885267,0.3616577119108811,2.705376721845367,1.134513237181502,0.025949302718406925,0.1796247874090813,0.49830644770345334,3.9925973009619677
GSE122960_normal_lung,GSE122960_Donor_05,5341,0,,,,,,0.8175294950623363,0.2872428268629647,0.5061753457505127,0.6745601488074254,0.502726394530988,0.0,2.111451637924012,0.813872266600349,0.03555773482915176,0.25597996135896783,0.5571774635993418,4.334074658909689
GSE122960_normal_lung,GSE122960_Donor_06,4300,0,,,,,,0.59558533425722,0.2221406823787392,0.35052222494081653,0.4546261136929215,3.4468050280592375,0.4901795735222162,4.133673832441454,1.1866435918796685,0.07372715856834361,0.3419760833061446,0.5677304342488735,4.406233213189755
GSE122960_normal_lung,GSE122960_Donor_07,7516,0,,,,,,2.786113826019019,0.4030989546984235,2.4360701328645864,0.5571183599565814,3.193795888273371,0.42761337427193613,3.531457325842889,0.6995992604351289,0.2563867457960764,0.2888529263349114,0.47625938737688167,3.8369625893693957
GSE135851,Donor1,7312,0,,,,,,1.6770799442985402,0.15250365459868953,1.3588993968543057,0.22346988967042983,1.9395950832237283,0.11935824468558401,2.2052977391515247,0.5764430459298409,0.11495883104077852,0.06481257782682968,0.27197680238005295,1.2985027365974422
GSE135851,LAM1,7657,74,0.4361580752593814,1.2103720311074193,0.5483556880186871,0.3858544807121099,0.02369729719353475,1.1801873502396767,0.2184289426236588,0.4607712687162089,0.3559981522864109,2.3002647862939334,0.16784601265561402,1.927593542937888,0.6350745465697705,0.013920248543532356,0.06812330061363306,0.1683914288007963,1.9805358568838398
GSE135851,LAM2,6970,154,0.29328391695582534,1.8000418781189678,0.4068980741113816,0.5465932349018734,0.026140577578068026,1.073064201775375,0.1174631550342709,0.3682352445179949,0.3364164613123721,2.5416610417712473,0.15009999501672053,2.3624415336805886,0.7405177371923187,0.04688807394030639,0.052732267234863614,0.25881959462299076,2.3509390495442952
GSE135851,LAM3,6881,190,0.34875104445061567,1.1263795238996657,0.45838527912148946,0.32019008949141836,0.014377728267242516,1.8382922607856262,0.10337266818874853,1.2411359690389465,0.518933768557582,2.4023786550296546,0.15526475380286725,2.416414043225724,0.9080707442392605,0.25168623257549844,0.054985538910911506,0.36018555298055355,1.6216044031366277
GSE135851,LAM4,1257,105,0.2470583851971431,1.0882445959199287,0.5197808624880578,0.28010787467371195,0.01149204725636685,1.2217254526567773,0.4062038754723464,0.7491430346398165,0.4612259080414216,2.5738132785240366,0.497420952327669,2.462143725970018,0.6901220243460218,0.4854313206457566,0.16895608530788153,0.3240500784237797,1.1081886839378976
GSE190260,LAM1110,2188,125,0.2837231592590758,1.1668546416130385,0.4993168627957101,0.35568941057700676,0.027344328025701616,0.8640360582573468,0.02691261743639524,0.6679570150029814,0.12972220220522931,1.0610200884640606,0.053488569402170685,1.088974065666702,0.17887683128228207,0.06705439815467673,0.06969415517445025,0.2818976963438009,1.8566100077125676
GSE190260,LAM1158,2057,183,0.3320624864088553,1.2101190348592235,0.611298714627311,0.4394796466012422,0.028644147752142052,0.37377179335637545,0.13057934650056488,0.2137285234929055,0.040006454913928756,2.0143834558105786,0.27329902980464954,1.9177698650849688,0.32393557852163524,0.044142608932841276,0.15065592405592967,0.22670413366169384,2.0496918393772368
GSE190260,LAM1163,15497,509,0.4104991409396555,0.7651496648655356,0.5506855161055837,0.26728087769246356,0.03317417450069131,0.6856842815577818,0.1381446100018707,0.4186962477446981,0.09884180217357119,1.9227220093755362,0.10521262970443192,2.1392647760725274,0.42141794092318635,0.1328889525325135,0.07675773863627182,0.2460050819604981,1.2872382902473083
GSE190260,LAM1164,20237,747,0.29814286253579747,1.0347410832559947,0.6717405470427688,0.39530613826625904,0.025410779290490102,1.1272314728534154,0.1107941049185633,0.6986664516681197,0.12314620623968582,2.239752103378481,0.11920180511197953,2.2098625846888904,0.4228192289969963,0.05746540211408399,0.07225789171980176,0.2738477215354344,2.052027293899762
GSE217108,LAM32,5591,493,0.4223644350840539,0.3893166282428216,0.1252931966077385,0.1991498583777385,0.01911019618546871,0.03393314020249028,0.13919130232133733,0.26588206511940515,0.016816072292464856,0.3973796451071186,0.22608497205811473,1.228969412102872,0.03627213177354055,0.0021790663414421817,0.18384524807746014,0.07735962680150378,0.4587817477060223
GSE217108,LAM44,6805,582,0.3123048884448455,0.8293077702303259,0.275775054308502,0.3665198654742652,0.014163176383827088,1.118298399551588,0.3227064864007133,0.9880890674851174,0.22266638743572267,1.111478021971491,0.2987511838663549,1.2742928635539459,0.23146544068479555,0.3108826645865501,0.14304704021275552,0.4084213836571761,0.5459969930653161
GSE302356,LAM18,4446,129,0.25860267593146213,1.0679117473615045,0.560624159044843,0.3599088849241262,0.018090177735965985,0.8570819725571441,0.20120270394504278,0.5552237796630594,0.09953262058099496,2.360885390350357,0.23625975013459868,2.5259965791153998,0.4531021004841907,0.07911491578399692,0.06599953898651813,0.14608168140870073,1.1600236209885142
GSE302356,LAM3,7907,1492,0.31479422774026455,0.5184634007632112,0.17660242362648831,0.17485496959502003,0.010046262081765765,0.1572158759603832,0.4523521927943248,0.08854913374646925,0.11813566193739417,0.5256094875912019,0.450364099849287,1.1490346559561695,0.13407404992506275,0.012589730860709195,0.261636759835388,0.07855030250018291,0.6307621319384239
GSE302356,LAM32,8021,335,0.23409815816489282,1.09609720745665,0.5291815787986194,0.36709769812824866,0.025343488136531752,0.6378687147067874,0.1856311607236938,0.48010113266740195,0.15555702023067222,2.1216706786831394,0.19447909742004849,2.4682587401860365,0.49323348809335665,0.07157669100342731,0.05447894637723979,0.19378307168416475,1.0259898615501832
GSE302356,LAM50,3385,725,0.23614387217855273,0.32615529670764504,0.1664174308034006,0.22316220794192607,0.0084066755544132,0.2914473366712192,0.3738153766554123,0.2537183738763991,0.03505819649191319,0.29770805464514294,0.41460800784144936,0.5119449451543021,0.048635602478638955,0.010512807290785265,0.3048683779607004,0.060053880282027246,0.23409896028632327
