dataset,state_module,visibility_module,n_patients,spearman_rho,p_value_descriptive,interpretation
GSE135851,stem_like,antigen_associated,4,1.0,0.0,patient-level descriptive association; not causal evidence
GSE135851,stem_like,presentation_machinery,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE135851,stem_like,ifn_response,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE135851,stem_like,immune_evasion,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE135851,stem_like,nk_ligands,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE135851,inflammatory,antigen_associated,4,0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE135851,inflammatory,presentation_machinery,4,0.0,1.0,patient-level descriptive association; not causal evidence
GSE135851,inflammatory,ifn_response,4,0.7999999999999999,0.2000000000000001,patient-level descriptive association; not causal evidence
GSE135851,inflammatory,immune_evasion,4,0.0,1.0,patient-level descriptive association; not causal evidence
GSE135851,inflammatory,nk_ligands,4,0.0,1.0,patient-level descriptive association; not causal evidence
GSE190260,stem_like,antigen_associated,4,1.0,0.0,patient-level descriptive association; not causal evidence
GSE190260,stem_like,presentation_machinery,4,-0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE190260,stem_like,ifn_response,4,0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE190260,stem_like,immune_evasion,4,-0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE190260,stem_like,nk_ligands,4,0.7999999999999999,0.2000000000000001,patient-level descriptive association; not causal evidence
GSE190260,inflammatory,antigen_associated,4,-0.7999999999999999,0.2000000000000001,patient-level descriptive association; not causal evidence
GSE190260,inflammatory,presentation_machinery,4,0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE190260,inflammatory,ifn_response,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE190260,inflammatory,immune_evasion,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE190260,inflammatory,nk_ligands,4,-1.0,0.0,patient-level descriptive association; not causal evidence
GSE217108,stem_like,antigen_associated,2,,,patient-level descriptive association; not causal evidence
GSE217108,stem_like,presentation_machinery,2,,,patient-level descriptive association; not causal evidence
GSE217108,stem_like,ifn_response,2,,,patient-level descriptive association; not causal evidence
GSE217108,stem_like,immune_evasion,2,,,patient-level descriptive association; not causal evidence
GSE217108,stem_like,nk_ligands,2,,,patient-level descriptive association; not causal evidence
GSE217108,inflammatory,antigen_associated,2,,,patient-level descriptive association; not causal evidence
GSE217108,inflammatory,presentation_machinery,2,,,patient-level descriptive association; not causal evidence
GSE217108,inflammatory,ifn_response,2,,,patient-level descriptive association; not causal evidence
GSE217108,inflammatory,immune_evasion,2,,,patient-level descriptive association; not causal evidence
GSE217108,inflammatory,nk_ligands,2,,,patient-level descriptive association; not causal evidence
GSE302356,stem_like,antigen_associated,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE302356,stem_like,presentation_machinery,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE302356,stem_like,ifn_response,4,0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE302356,stem_like,immune_evasion,4,-0.19999999999999998,0.8,patient-level descriptive association; not causal evidence
GSE302356,stem_like,nk_ligands,4,0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE302356,inflammatory,antigen_associated,4,-0.39999999999999997,0.6,patient-level descriptive association; not causal evidence
GSE302356,inflammatory,presentation_machinery,4,0.6000000000000001,0.4,patient-level descriptive association; not causal evidence
GSE302356,inflammatory,ifn_response,4,0.7999999999999999,0.2000000000000001,patient-level descriptive association; not causal evidence
GSE302356,inflammatory,immune_evasion,4,0.7999999999999999,0.2000000000000001,patient-level descriptive association; not causal evidence
GSE302356,inflammatory,nk_ligands,4,0.6000000000000001,0.4,patient-level descriptive association; not causal evidence
