dataset,patient_id,identity_pool,n_cells,module,mean_score,median_score,n_genes_available,mean_genes_detected,module_status
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,antigen_associated,0.5903621044901852,0.7553508324068731,6,0.7537244804119919,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,cd8_cytotoxicity,0.02468332359770872,0.0,5,0.025749494206363802,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,identity_protected,0.043155604805676345,0.0,6,0.06878793452271473,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,ifn_response,1.464750668215735,1.3837348902641788,9,2.6560603273864265,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,immune_evasion,1.152214561582481,1.112105394339857,6,1.4774691925694317,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,inflammatory,1.0868378575724054,0.9987206096783404,10,2.176384035313592,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,macrophage_markers,3.4033839837841295,4.456543593291484,7,3.9352584145668565,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,macrophage_suppressive,2.991722891456508,3.810996065770525,8,4.065109435350377,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,nk_ligands,0.20514595512761508,0.0,5,0.24094169578811844,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,nk_markers,0.03832606425604835,0.0,4,0.03126724296487033,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,nk_state,0.35525917919423317,0.0,5,0.41456685672245724,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,presentation_machinery,2.7159921405030962,2.7684363993919354,12,5.582858193856906,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,stem_like,0.4474582450506446,0.4811787687378323,10,0.9039911716019864,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,t_cell_exhaustion,0.30308536878104114,0.0,5,0.36251609343387897,analyzable
GSE122960_normal_lung,GSE122960_Donor_01,other,5437,t_cell_markers,0.02808648921801852,0.0,6,0.04156704064741586,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,antigen_associated,0.6138916907890005,0.8081269129813093,6,0.7029608404966571,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,cd8_cytotoxicity,0.01793738156922292,0.0,5,0.017956064947468958,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,identity_protected,0.05002904165796184,0.0,6,0.0670487106017192,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,ifn_response,1.1121476209645904,1.0889609496174608,9,1.9766953199617956,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,immune_evasion,0.8701076630994542,0.9168099871958548,6,1.041833810888252,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,inflammatory,0.8416630671324208,0.7506835950503015,10,1.6433619866284623,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,macrophage_markers,3.0633451830545617,3.594353585843166,7,3.613944603629417,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,macrophage_suppressive,2.952342576724062,3.732149135835983,8,3.908500477554919,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,nk_ligands,0.1380025967521383,0.0,5,0.14441260744985673,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,nk_markers,0.03874038724156995,0.0,4,0.029226361031518624,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,nk_state,0.15581466134112457,0.0,5,0.17306590257879656,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,presentation_machinery,2.3238303427008145,2.3435977220837376,12,4.36981852913085,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,stem_like,0.32635053936031067,0.3888690711204204,10,0.6179560649474689,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,t_cell_exhaustion,0.15876026380802344,0.0,5,0.15740210124164278,analyzable
GSE122960_normal_lung,GSE122960_Donor_03,other,5235,t_cell_markers,0.012993421375565325,0.0,6,0.0166189111747851,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,antigen_associated,0.3540338884485739,0.0,6,0.3949142747062223,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,cd8_cytotoxicity,0.025221943593951197,0.0,5,0.022924292043922174,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,identity_protected,0.02839806967251135,0.0,6,0.03409747640146407,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,ifn_response,1.2932095999262743,1.3406888516648428,9,1.975919861298401,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,immune_evasion,0.7495110701426925,0.8742224104755497,6,0.8106337892506261,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,inflammatory,1.0812768944085764,0.8622733690876008,10,1.7776921595068387,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,macrophage_markers,2.018483585711128,0.9199071958714428,7,2.3024465420920825,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,macrophage_suppressive,1.7824683724495187,0.8129736308747135,8,2.333269119630129,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,nk_ligands,0.09821568149764692,0.0,5,0.08900019264110962,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,nk_markers,0.06612213130645463,0.0,4,0.04604122519745714,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,nk_state,0.24457909348885576,0.0,5,0.23540743594683106,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,presentation_machinery,2.0122549740795734,2.032907467213199,12,3.684068580235022,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,stem_like,0.4210201357911421,0.510554797811874,10,0.7060296667308804,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,t_cell_exhaustion,0.17575687179085434,0.0,5,0.15738778655365054,analyzable
GSE122960_normal_lung,GSE122960_Donor_04,other,5191,t_cell_markers,0.009389784775136262,0.0,6,0.010787902138316317,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,antigen_associated,0.42871300174502774,0.0,6,0.5360419397116645,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,cd8_cytotoxicity,0.027113664144806735,0.0,5,0.028084628346751545,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,identity_protected,0.05574985731307107,0.0,6,0.08200711477251452,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,ifn_response,1.1895899247140058,1.230117877307583,9,2.049428945890283,analyzable
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,immune_evasion,1.0029971874470427,1.004400802554858,6,1.2132559445796667,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_05,other,5341,inflammatory,0.7453200717513164,0.686544788526056,10,1.4480434375585096,analyzable
