gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate,modules
APOE,2,0.5905348956190102,partially_retained,True,macrophage_suppressive
B2M,1,0.5992217378516862,partially_retained,False,presentation_machinery
CCL2,1,1.7778322762390073,suppressed,False,inflammatory
CD274,2,0.6836269913963178,partially_retained;suppressed,True,immune_evasion
CXCL8,1,2.161775420767558,suppressed,False,inflammatory
GPNMB,2,0.8528922465283865,suppressed,False,antigen_associated
HLA-A,1,0.5144613170975914,partially_retained,False,presentation_machinery
HLA-B,2,0.3408049624295087,fully_retained;partially_retained,True,presentation_machinery
HLA-C,2,0.4498752910110316,partially_retained,True,presentation_machinery
HOXA11,2,-0.1990513712120145,enhanced_or_reprogrammed,True,identity_protected
HOXD11,2,-0.0213882028618783,enhanced_or_reprogrammed,True,identity_protected
IFIT1,1,0.7423337694190801,partially_retained,False,ifn_response;inflammatory
IFITM1,2,0.8973034336434442,partially_retained;suppressed,True,ifn_response
IFITM2,1,0.7577235303891303,suppressed,False,ifn_response
IFITM3,1,0.6357901086330079,partially_retained,False,ifn_response
IL6,2,0.6437850900025079,partially_retained,True,inflammatory
MDK,2,0.468326914978852,partially_retained,True,stem_like
MICA,2,0.7734878039277419,partially_retained;suppressed,True,nk_ligands
MICB,1,0.7278035623101813,partially_retained,False,nk_ligands
NFKBIA,1,1.258777799647951,suppressed,False,inflammatory
PMEL,2,0.9986874125952316,suppressed,False,antigen_associated
PVR,2,0.6861010615102717,partially_retained,True,immune_evasion
SOX2,1,-0.0690369470114968,enhanced_or_reprogrammed,False,stem_like
TAP1,1,0.4734510517264104,partially_retained,False,presentation_machinery
TNFAIP3,1,1.098033406805106,suppressed,False,inflammatory
TOX,2,0.3299019867619192,fully_retained;partially_retained,True,t_cell_exhaustion
TYRP1,2,0.2095805290340273,enhanced_or_reprogrammed;partially_retained,True,antigen_associated
ULBP1,2,0.3280586834000473,fully_retained;partially_retained,True,nk_ligands
ULBP2,1,-0.0444341071925638,enhanced_or_reprogrammed,False,nk_ligands
VEGFD,1,-0.0116697034557076,enhanced_or_reprogrammed,False,identity_protected
