gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible,modules
ACTA2,hydrogel,2,0.339641;0.702558,0.662587;0.843943,0.5210996347402004,0.7532651855212009,-0.445530058559241,enhanced_or_reprogrammed,True,False,True,False,identity_protected
ACTA2,plastic,2,-0.560081;-0.0345247,0.107042;0.696187,-0.2973028391732502,0.4016145480834003,,insufficient,False,False,True,False,identity_protected
AIF1,hydrogel,2,0.00637256;-0.144206,-0.0163637;0.00141479,-0.0689165712366425,-0.0074744404500565,,insufficient,False,False,False,False,macrophage_markers
AIF1,plastic,2,-0.0342849;-0.000351828,-0.0381714;0.000943596,-0.0173183849823224,-0.0186138808153995,,insufficient,False,False,False,False,macrophage_markers
APOE,hydrogel,2,3.30833;3.31248,0.776408;1.84525,3.310405305760895,1.310826611305675,0.6040283620182326,partially_retained,True,True,True,True,macrophage_suppressive
APOE,plastic,2,1.81846;2.28517,0.561371;1.17429,2.0518144584707896,0.8678325108609801,0.5770414292197878,partially_retained,True,True,True,True,macrophage_suppressive
B2M,hydrogel,2,0.636405;0.763295,0.267959;0.293011,0.6998502921690495,0.2804847838595012,0.5992217378516862,partially_retained,True,True,True,True,presentation_machinery
B2M,plastic,2,0.32301;0.443731,0.134297;0.189452,0.3833705150616495,0.1618743873956498,,insufficient,False,False,True,False,presentation_machinery
C1QA,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
C1QA,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
C1QB,hydrogel,2,0.000539713;0.00088634,0.00132918;0.00219315,0.000713026473295,0.00176116163854,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
C1QB,plastic,2,0.00148903;-0.0248396,0.000178943;0.00141931,-0.011675262394815,0.0007991266392948,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
C1QC,hydrogel,2,0.000274979;0.000451582,0.000677204;0.00111739,0.0003632806278399,0.0008972961450048,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
C1QC,plastic,2,0.000758649;-0.0064693,9.117e-05;0.000723126,-0.0028553244769549,0.0004071478943799,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
CCL2,hydrogel,2,-0.891188;-1.26298,0.582624;1.09296,-1.0770853560724047,0.8377917542175002,1.7778322762390073,suppressed,True,True,True,True,inflammatory
CCL2,plastic,2,0.455673;-0.00317641,1.0618;1.61379,0.2262484664665098,1.3377944865841194,,insufficient,False,False,True,False,inflammatory
CCL5,hydrogel,2,-0.135041;-0.0898785,-0.0280396;0.482211,-0.1124597237455925,0.2270859547514045,,insufficient,False,False,False,False,cd8_cytotoxicity
CCL5,plastic,2,0.00280364;-0.00110552,0.000333743;0.349198,0.000849058377105,0.1747656764475585,,insufficient,False,False,True,False,cd8_cytotoxicity
