consensus_state,cells,FIGF_positive,VEGFD_positive,FIGF_and_VEGFD_positive,duplicate_pass_fraction,original_marker_count_ge2,alias_corrected_marker_count_ge2,original_ge2_but_alias_corrected_lt2,alias_drop_fraction_among_original_ge2,duplicate_pass_fraction_among_marker_combo_candidates,marker_combo_candidates
1,703,1,75,0,0.0,703,703,0,0.0,0.0,703
2,1,0,0,0,0.0,1,1,0,0.0,0.0,1
3,4,0,0,0,0.0,4,4,0,0.0,0.0,4
4,550,4,41,0,0.0,550,550,0,0.0,0.0,550
5,864,6,1,0,0.0,864,864,0,0.0,0.0,859
6,3,0,0,0,0.0,3,3,0,0.0,0.0,3
7,576,7,40,0,0.0,576,576,0,0.0,0.0,576
8,1,0,0,0,0.0,1,1,0,0.0,0.0,1
9,406,14,62,0,0.0,406,406,0,0.0,0.0,406
10,4,0,1,0,0.0,4,4,0,0.0,0.0,4
11,3,0,0,0,0.0,3,3,0,0.0,0.0,3
12,605,2,92,0,0.0,605,605,0,0.0,0.0,605
13,6,0,3,0,0.0,6,6,0,0.0,0.0,6
14,3,1,0,0,0.0,3,3,0,0.0,0.0,3
15,200,58,4,0,0.0,200,200,0,0.0,0.0,151
16,396,29,45,0,0.0,396,396,0,0.0,0.0,322
17,121,0,0,0,0.0,121,121,0,0.0,0.0,121
18,174,3,7,0,0.0,174,174,0,0.0,0.0,174
19,2,0,0,0,0.0,2,2,0,0.0,0.0,2
20,756,78,109,0,0.0,756,756,0,0.0,0.0,744
