marker_pattern,marker_pair,detected_marker_count,cells,marker_combo_candidate_cells,states,datasets,patients,state_counts,dataset_counts,patient_counts
MITF + ESR1,MITF + ESR1,2,1078,1078,11,3,9,"{""1"": 285, ""12"": 143, ""16"": 15, ""19"": 1, ""20"": 63, ""3"": 2, ""4"": 210, ""5"": 100, ""7"": 155, ""8"": 1, ""9"": 103}","{""GSE190260"": 104, ""GSE217108"": 199, ""GSE302356"": 775}","{""LAM1110"": 10, ""LAM1158"": 10, ""LAM1163"": 15, ""LAM1164"": 69, ""LAM18"": 2, ""LAM3"": 490, ""LAM32"": 163, ""LAM44"": 50, ""LAM50"": 269}"
ACTA2 + CTSK,ACTA2 + CTSK,2,688,638,12,4,12,"{""1"": 7, ""12"": 25, ""15"": 3, ""16"": 97, ""17"": 80, ""18"": 89, ""20"": 149, ""3"": 1, ""4"": 36, ""5"": 157, ""7"": 30, ""9"": 14}","{""GSE135851"": 244, ""GSE190260"": 285, ""GSE217108"": 7, ""GSE302356"": 152}","{""LAM1"": 15, ""LAM1110"": 22, ""LAM1158"": 12, ""LAM1163"": 113, ""LAM1164"": 138, ""LAM18"": 36, ""LAM2"": 101, ""LAM3"": 120, ""LAM32"": 95, ""LAM4"": 26, ""LAM44"": 5, ""LAM50"": 5}"
MITF + ACTA2,MITF + ACTA2,2,604,604,12,3,9,"{""1"": 36, ""12"": 49, ""13"": 1, ""16"": 21, ""17"": 6, ""18"": 50, ""20"": 43, ""4"": 50, ""5"": 243, ""6"": 1, ""7"": 66, ""9"": 38}","{""GSE190260"": 319, ""GSE217108"": 58, ""GSE302356"": 227}","{""LAM1110"": 34, ""LAM1158"": 70, ""LAM1163"": 49, ""LAM1164"": 166, ""LAM18"": 18, ""LAM3"": 80, ""LAM32"": 103, ""LAM44"": 18, ""LAM50"": 66}"
MITF + CTSK,MITF + CTSK,2,582,582,10,3,9,"{""1"": 17, ""12"": 89, ""16"": 4, ""17"": 11, ""2"": 1, ""20"": 87, ""4"": 92, ""5"": 156, ""7"": 100, ""9"": 25}","{""GSE190260"": 246, ""GSE217108"": 110, ""GSE302356"": 226}","{""LAM1110"": 19, ""LAM1158"": 27, ""LAM1163"": 50, ""LAM1164"": 150, ""LAM18"": 10, ""LAM3"": 119, ""LAM32"": 131, ""LAM44"": 14, ""LAM50"": 62}"
ACTA2 + ESR1,ACTA2 + ESR1,2,211,211,11,4,12,"{""1"": 40, ""12"": 8, ""16"": 16, ""17"": 2, ""18"": 6, ""20"": 14, ""4"": 12, ""5"": 63, ""6"": 1, ""7"": 21, ""9"": 28}","{""GSE135851"": 89, ""GSE190260"": 21, ""GSE217108"": 12, ""GSE302356"": 89}","{""LAM1"": 17, ""LAM1110"": 2, ""LAM1158"": 1, ""LAM1163"": 5, ""LAM1164"": 13, ""LAM18"": 5, ""LAM2"": 36, ""LAM3"": 64, ""LAM32"": 16, ""LAM4"": 24, ""LAM44"": 5, ""LAM50"": 23}"
MITF + ESR1 + CTSK,,3,202,202,10,3,9,"{""1"": 36, ""12"": 47, ""13"": 1, ""16"": 4, ""17"": 1, ""20"": 27, ""4"": 28, ""5"": 11, ""7"": 25, ""9"": 22}","{""GSE190260"": 19, ""GSE217108"": 43, ""GSE302356"": 140}","{""LAM1110"": 3, ""LAM1158"": 2, ""LAM1163"": 4, ""LAM1164"": 10, ""LAM18"": 3, ""LAM3"": 95, ""LAM32"": 43, ""LAM44"": 3, ""LAM50"": 39}"
MITF + ACTA2 + ESR1,,3,187,187,14,3,8,"{""1"": 63, ""11"": 1, ""12"": 26, ""15"": 1, ""16"": 20, ""17"": 1, ""18"": 2, ""19"": 1, ""20"": 11, ""3"": 1, ""4"": 18, ""5"": 17, ""7"": 5, ""9"": 20}","{""GSE190260"": 15, ""GSE217108"": 30, ""GSE302356"": 142}","{""LAM1110"": 1, ""LAM1158"": 4, ""LAM1163"": 2, ""LAM1164"": 8, ""LAM3"": 87, ""LAM32"": 30, ""LAM44"": 4, ""LAM50"": 51}"
ESR1 + CTSK,ESR1 + CTSK,2,186,184,10,4,12,"{""1"": 28, ""11"": 1, ""12"": 20, ""16"": 4, ""17"": 2, ""20"": 60, ""4"": 5, ""5"": 28, ""7"": 25, ""9"": 13}","{""GSE135851"": 27, ""GSE190260"": 59, ""GSE217108"": 16, ""GSE302356"": 84}","{""LAM1"": 6, ""LAM1110"": 5, ""LAM1158"": 3, ""LAM1163"": 2, ""LAM1164"": 49, ""LAM18"": 1, ""LAM2"": 13, ""LAM3"": 68, ""LAM32"": 18, ""LAM4"": 2, ""LAM44"": 5, ""LAM50"": 14}"
MITF + ACTA2 + CTSK,,3,156,156,10,3,9,"{""1"": 9, ""12"": 23, ""16"": 5, ""17"": 10, ""18"": 12, ""20"": 56, ""4"": 7, ""5"": 23, ""7"": 7, ""9"": 4}","{""GSE190260"": 75, ""GSE217108"": 14, ""GSE302356"": 67}","{""LAM1110"": 6, ""LAM1158"": 13, ""LAM1163"": 24, ""LAM1164"": 32, ""LAM18"": 12, ""LAM3"": 19, ""LAM32"": 40, ""LAM44"": 3, ""LAM50"": 7}"
MITF + VEGFD,MITF + VEGFD,2,94,94,7,2,5,"{""1"": 10, ""10"": 1, ""12"": 19, ""20"": 21, ""4"": 12, ""7"": 14, ""9"": 17}","{""GSE217108"": 35, ""GSE302356"": 59}","{""LAM18"": 3, ""LAM3"": 30, ""LAM32"": 28, ""LAM44"": 11, ""LAM50"": 22}"
