marker,count_bin,cells,available_cells,fraction_of_available_cells,value_source
PMEL,0,4782,5378,0.8891781331349944,original_dataset_layers_counts
PMEL,1,320,5378,0.05950167348456675,original_dataset_layers_counts
PMEL,>=3,231,5378,0.042952770546671626,original_dataset_layers_counts
PMEL,2,45,5378,0.0083674228337672,original_dataset_layers_counts
MLANA,0,5153,5378,0.958162885831164,original_dataset_layers_counts
MLANA,2,20,5378,0.003718854592785422,original_dataset_layers_counts
MLANA,>=3,10,5378,0.001859427296392711,original_dataset_layers_counts
MLANA,1,195,5378,0.036258832279657864,original_dataset_layers_counts
MITF,not_available,535,4843,0.11046871773693992,original_dataset_layers_counts
MITF,2,642,4843,0.1325624612843279,original_dataset_layers_counts
MITF,1,1453,4843,0.3000206483584555,original_dataset_layers_counts
MITF,0,1142,4843,0.23580425356184184,original_dataset_layers_counts
MITF,>=3,1606,4843,0.3316126367953748,original_dataset_layers_counts
ACTA2,0,2703,5378,0.5026031982149498,original_dataset_layers_counts
ACTA2,1,1426,5378,0.2651543324656006,original_dataset_layers_counts
ACTA2,>=3,916,5378,0.17032354034957234,original_dataset_layers_counts
ACTA2,2,333,5378,0.06191892896987728,original_dataset_layers_counts
ESR1,1,1244,5378,0.23131275567125326,original_dataset_layers_counts
ESR1,0,2826,5378,0.5254741539605802,original_dataset_layers_counts
ESR1,2,439,5378,0.08162885831164002,original_dataset_layers_counts
ESR1,>=3,869,5378,0.16158423205652658,original_dataset_layers_counts
FIGF,0,5175,5378,0.9622536258832279,original_dataset_layers_counts
FIGF,>=3,32,5378,0.005950167348456675,original_dataset_layers_counts
FIGF,1,124,5378,0.023056898475269618,original_dataset_layers_counts
FIGF,2,47,5378,0.008739308293045742,original_dataset_layers_counts
VEGFD,0,4898,5378,0.9107474897731499,original_dataset_layers_counts
VEGFD,1,344,5378,0.06396429899590926,original_dataset_layers_counts
VEGFD,>=3,54,5378,0.01004090740052064,original_dataset_layers_counts
VEGFD,2,82,5378,0.015247303830420231,original_dataset_layers_counts
CTSK,>=3,747,5378,0.1388992190405355,original_dataset_layers_counts
CTSK,0,2784,5378,0.5176645593157307,original_dataset_layers_counts
CTSK,1,1470,5378,0.2733358125697285,original_dataset_layers_counts
CTSK,2,377,5378,0.07010040907400521,original_dataset_layers_counts
