consensus_state,marker,count_bin,cells,available_cells,fraction_of_available_cells,value_source
1,PMEL,0,655,703,0.9317211948790897,original_dataset_layers_counts
1,PMEL,1,40,703,0.05689900426742532,original_dataset_layers_counts
1,PMEL,2,2,703,0.002844950213371266,original_dataset_layers_counts
1,PMEL,>=3,6,703,0.008534850640113799,original_dataset_layers_counts
1,MLANA,0,661,703,0.9402560455192034,original_dataset_layers_counts
1,MLANA,1,39,703,0.05547652916073969,original_dataset_layers_counts
1,MLANA,2,3,703,0.004267425320056899,original_dataset_layers_counts
1,MITF,not_available,9,694,0.012968299711815562,original_dataset_layers_counts
1,MITF,>=3,256,694,0.3688760806916426,original_dataset_layers_counts
1,MITF,0,102,694,0.14697406340057637,original_dataset_layers_counts
1,MITF,2,130,694,0.1873198847262248,original_dataset_layers_counts
1,MITF,1,206,694,0.2968299711815562,original_dataset_layers_counts
1,ACTA2,1,163,703,0.23186344238975817,original_dataset_layers_counts
1,ACTA2,>=3,35,703,0.049786628733997154,original_dataset_layers_counts
1,ACTA2,0,471,703,0.6699857752489331,original_dataset_layers_counts
1,ACTA2,2,34,703,0.04836415362731152,original_dataset_layers_counts
1,ESR1,1,164,703,0.2332859174964438,original_dataset_layers_counts
1,ESR1,0,114,703,0.16216216216216217,original_dataset_layers_counts
1,ESR1,>=3,305,703,0.43385490753911804,original_dataset_layers_counts
1,ESR1,2,120,703,0.17069701280227595,original_dataset_layers_counts
1,FIGF,0,702,703,0.9985775248933144,original_dataset_layers_counts
1,FIGF,1,1,703,0.001422475106685633,original_dataset_layers_counts
1,VEGFD,0,628,703,0.8933143669985776,original_dataset_layers_counts
1,VEGFD,1,59,703,0.08392603129445235,original_dataset_layers_counts
1,VEGFD,2,13,703,0.01849217638691323,original_dataset_layers_counts
1,VEGFD,>=3,3,703,0.004267425320056899,original_dataset_layers_counts
1,CTSK,0,533,703,0.7581792318634424,original_dataset_layers_counts
1,CTSK,1,122,703,0.17354196301564723,original_dataset_layers_counts
1,CTSK,2,21,703,0.029871977240398292,original_dataset_layers_counts
1,CTSK,>=3,27,703,0.03840682788051209,original_dataset_layers_counts
2,PMEL,0,1,1,1.0,original_dataset_layers_counts
2,MLANA,0,1,1,1.0,original_dataset_layers_counts
2,MITF,1,1,1,1.0,original_dataset_layers_counts
2,ACTA2,0,1,1,1.0,original_dataset_layers_counts
2,ESR1,0,1,1,1.0,original_dataset_layers_counts
2,FIGF,0,1,1,1.0,original_dataset_layers_counts
2,VEGFD,0,1,1,1.0,original_dataset_layers_counts
