consensus_state,cells,LAM_core_fraction,LAM_boundary_fraction,non_LAM_like_fraction,author_supported_fraction,median_LAM_identity_score,dominant_competing_lineage,competing_lineage_counts
1,703,0.0,0.059743954480796585,0.9402560455192034,0.0,-2.3284413814544678,ciliated,"{""AT2"": 1, ""ciliated"": 698, ""fibroblast"": 2, ""macrophage"": 1, ""mesothelial"": 1}"
2,1,0.0,1.0,0.0,0.0,0.31211090087890625,ciliated,"{""ciliated"": 1}"
3,4,0.0,0.75,0.25,0.0,1.967423677444458,macrophage,"{""endothelial"": 1, ""fibroblast"": 1, ""macrophage"": 2}"
4,550,0.02909090909090909,0.7818181818181819,0.1890909090909091,0.0,2.284834384918213,macrophage,"{""AT2"": 9, ""ciliated"": 76, ""endothelial"": 114, ""fibroblast"": 61, ""macrophage"": 279, ""mesothelial"": 11}"
5,864,0.004629629629629629,0.6481481481481481,0.3472222222222222,0.005787037037037037,1.2936735153198242,macrophage,"{""AT2"": 6, ""ciliated"": 60, ""endothelial"": 81, ""fibroblast"": 106, ""macrophage"": 606, ""mesothelial"": 5}"
6,3,0.0,1.0,0.0,0.0,1.6946613788604736,endothelial,"{""endothelial"": 1, ""fibroblast"": 1, ""macrophage"": 1}"
7,576,0.005208333333333333,0.8819444444444444,0.11284722222222222,0.0,0.9585691690444946,AT2,"{""AT2"": 275, ""ciliated"": 178, ""endothelial"": 19, ""fibroblast"": 26, ""macrophage"": 8, ""mesothelial"": 70}"
8,1,0.0,1.0,0.0,0.0,0.5052263736724854,macrophage,"{""macrophage"": 1}"
9,406,0.0,0.7684729064039408,0.2315270935960591,0.0,0.8601680397987366,ciliated,"{""AT2"": 44, ""ciliated"": 147, ""endothelial"": 62, ""fibroblast"": 96, ""macrophage"": 3, ""mesothelial"": 54}"
10,4,0.0,0.0,1.0,0.0,1.7356247901916504,macrophage,"{""ciliated"": 1, ""macrophage"": 3}"
11,3,0.0,0.3333333333333333,0.6666666666666666,0.0,1.3504643440246582,fibroblast,"{""endothelial"": 1, ""fibroblast"": 2}"
12,605,0.006611570247933884,0.6148760330578512,0.3785123966942149,0.0,1.0969488620758057,endothelial,"{""AT2"": 45, ""ciliated"": 90, ""endothelial"": 167, ""fibroblast"": 152, ""macrophage"": 96, ""mesothelial"": 55}"
13,6,0.16666666666666666,0.5,0.3333333333333333,0.0,3.0558109283447266,endothelial,"{""endothelial"": 3, ""fibroblast"": 3}"
14,3,0.0,0.3333333333333333,0.6666666666666666,0.0,5.859469413757324,fibroblast,"{""ciliated"": 1, ""fibroblast"": 2}"
15,200,0.07,0.01,0.92,0.245,8.71738338470459,fibroblast,"{""AT2"": 2, ""ciliated"": 2, ""fibroblast"": 195, ""macrophage"": 1}"
16,396,0.37626262626262624,0.25757575757575757,0.3661616161616162,0.18686868686868688,4.902379035949707,fibroblast,"{""AT2"": 59, ""ciliated"": 38, ""endothelial"": 14, ""fibroblast"": 239, ""macrophage"": 27, ""mesothelial"": 19}"
17,121,0.0,0.0,1.0,0.0,-0.8842808604240417,mesothelial,"{""fibroblast"": 44, ""mesothelial"": 77}"
18,174,0.06896551724137931,0.39655172413793105,0.5344827586206896,0.0,2.1884894371032715,fibroblast,"{""AT2"": 7, ""ciliated"": 6, ""endothelial"": 4, ""fibroblast"": 156, ""mesothelial"": 1}"
19,2,0.0,0.0,1.0,0.0,0.8867878913879395,fibroblast,"{""fibroblast"": 2}"
20,756,0.0,0.009259259259259259,0.9907407407407407,0.015873015873015872,0.07210782915353775,fibroblast,"{""ciliated"": 4, ""endothelial"": 1, ""fibroblast"": 750, ""macrophage"": 1}"
