calibration,metric,threshold,balanced_accuracy,tpr,tnr,youden_j,n_positive,n_negative
full_four_dataset,LAM_identity_score,3.0961594581604004,0.523948770660299,0.05449712007089056,0.9934004212497075,0.04789754132059798,2257,85460
full_four_dataset,identity_anchor_score,0.0,0.5176105780482096,1.0,0.035221156096419376,0.03522115609641929,2257,85460
full_four_dataset,support_score,6.530579090118408,0.5176321066187095,0.05006645990252548,0.9851977533348936,0.03526421323741902,2257,85460
full_four_dataset,ciliated_score_z_negative_q95,6.279854893684392,,,,,2257,85460
full_four_dataset,AT2_score_z_negative_q95,5.340696644783021,,,,,2257,85460
full_four_dataset,macrophage_score_z_negative_q95,2.6103678703308106,,,,,2257,85460
full_four_dataset,endothelial_score_z_negative_q95,7.907103252410889,,,,,2257,85460
full_four_dataset,fibroblast_score_z_negative_q95,3.3934786200523397,,,,,2257,85460
full_four_dataset,mesothelial_score_z_negative_q95,2.7343085885047915,,,,,2257,85460
full_four_dataset,pericyte_VSMC_score_z_negative_q95,5.994787526130678,,,,,2257,85460
leave_out_GSE135851,LAM_identity_score,-2.6715962886810303,0.5101866237639352,0.992914501653283,0.027458745874587458,0.020373247527870397,2117,75750
leave_out_GSE135851,identity_anchor_score,0.0,0.5091155115511551,1.0,0.018231023102310232,0.018231023102310173,2117,75750
leave_out_GSE135851,support_score,0.0,0.5,1.0,0.0,0.0,2117,75750
leave_out_GSE135851,ciliated_score_z_negative_q95,4.292069649696351,,,,,2117,75750
leave_out_GSE135851,AT2_score_z_negative_q95,5.446453666687012,,,,,2117,75750
leave_out_GSE135851,macrophage_score_z_negative_q95,2.6669479608535767,,,,,2117,75750
leave_out_GSE135851,endothelial_score_z_negative_q95,7.884292030334474,,,,,2117,75750
leave_out_GSE135851,fibroblast_score_z_negative_q95,3.867975914478305,,,,,2117,75750
leave_out_GSE135851,mesothelial_score_z_negative_q95,2.635908162593842,,,,,2117,75750
leave_out_GSE135851,pericyte_VSMC_score_z_negative_q95,6.209839248657253,,,,,2117,75750
leave_out_GSE190260,LAM_identity_score,2.47117280960083,0.9425571335309899,0.8928571428571429,0.992257124204837,0.8851142670619798,140,65867
leave_out_GSE190260,identity_anchor_score,2.100146532058716,0.955642159850261,0.9785714285714285,0.9327128911290935,0.911284319700522,140,65867
leave_out_GSE190260,support_score,3.144684076309204,0.9632104413872977,0.9785714285714285,0.947849454203167,0.9264208827745954,140,65867
leave_out_GSE190260,ciliated_score_z_negative_q95,8.463722705841063,,,,,140,65867
leave_out_GSE190260,AT2_score_z_negative_q95,3.9529174804687495,,,,,140,65867
leave_out_GSE190260,macrophage_score_z_negative_q95,2.1227859020233133,,,,,140,65867
leave_out_GSE190260,endothelial_score_z_negative_q95,7.69423360824585,,,,,140,65867
leave_out_GSE190260,fibroblast_score_z_negative_q95,2.8680864572525007,,,,,140,65867
leave_out_GSE190260,mesothelial_score_z_negative_q95,2.8734733819961544,,,,,140,65867
leave_out_GSE190260,pericyte_VSMC_score_z_negative_q95,4.314824390411375,,,,,140,65867
leave_out_GSE217108,LAM_identity_score,3.0961594581604004,0.5238493997561893,0.05449712007089056,0.9932016794414881,0.04769879951237854,2257,81932
leave_out_GSE217108,identity_anchor_score,0.0,0.5183688912756921,1.0,0.036737782551384074,0.03673778255138416,2257,81932
leave_out_GSE217108,support_score,6.530579090118408,0.517356131869927,0.05006645990252548,0.9846458038373285,0.03471226373985403,2257,81932
leave_out_GSE217108,ciliated_score_z_negative_q95,6.1695078849792475,,,,,2257,81932
leave_out_GSE217108,AT2_score_z_negative_q95,5.38467924594879,,,,,2257,81932
leave_out_GSE217108,macrophage_score_z_negative_q95,2.5908778667449948,,,,,2257,81932
leave_out_GSE217108,endothelial_score_z_negative_q95,8.052830457687376,,,,,2257,81932
leave_out_GSE217108,fibroblast_score_z_negative_q95,2.996401226520537,,,,,2257,81932
leave_out_GSE217108,mesothelial_score_z_negative_q95,2.6844237327575664,,,,,2257,81932
leave_out_GSE217108,pericyte_VSMC_score_z_negative_q95,6.1708960771560655,,,,,2257,81932
leave_out_GSE302356,LAM_identity_score,3.0961594581604004,0.5246014691065074,0.05449712007089056,0.9947058181421242,0.0492029382130148,2257,73288
leave_out_GSE302356,identity_anchor_score,0.0,0.5205354218971728,1.0,0.04107084379434559,0.04107084379434567,2257,73288
leave_out_GSE302356,support_score,5.915878772735596,0.5226783323790236,0.052724856003544526,0.9926318087545027,0.04535666475804723,2257,73288
leave_out_GSE302356,ciliated_score_z_negative_q95,5.620793342590331,,,,,2257,73288
leave_out_GSE302356,AT2_score_z_negative_q95,5.470153522491454,,,,,2257,73288
leave_out_GSE302356,macrophage_score_z_negative_q95,2.4130545258522034,,,,,2257,73288
leave_out_GSE302356,endothelial_score_z_negative_q95,7.498642349243157,,,,,2257,73288
leave_out_GSE302356,fibroblast_score_z_negative_q95,2.590361320972441,,,,,2257,73288
leave_out_GSE302356,mesothelial_score_z_negative_q95,2.5745202541351317,,,,,2257,73288
leave_out_GSE302356,pericyte_VSMC_score_z_negative_q95,5.375825357437126,,,,,2257,73288
