dataset,focus_dataset,lineage,n_positive_reference,n_highest_competing,fraction_highest_competing,n_score_z_ge_2,fraction_score_z_ge_2,median_score_z,q95_score_z
GSE135851,False,ciliated,140,1,0.007142857142857143,24,0.17142857142857143,0.0,5.0661235399999995
GSE135851,False,AT2,140,0,0.0,3,0.02142857142857143,0.24163032,1.2204386349999956
GSE135851,False,macrophage,140,0,0.0,0,0.0,-0.230414895,0.20165015649999912
GSE135851,False,endothelial,140,0,0.0,3,0.02142857142857143,0.0,1.4193272849999954
GSE135851,False,fibroblast,140,21,0.15,72,0.5142857142857142,2.1379079,11.969705299999996
GSE135851,False,mesothelial,140,0,0.0,11,0.07857142857142857,0.0,3.6109424049999985
GSE135851,False,pericyte_VSMC,140,118,0.8428571428571429,136,0.9714285714285714,18.988391,27.6539402
GSE190260,True,ciliated,2117,70,0.03306565895134624,30,0.014170996693434105,0.0,0.35132372599999956
GSE190260,True,AT2,2117,1185,0.5597543693906472,1098,0.5186584789796882,3.052475,5.598139799999999
GSE190260,True,macrophage,2117,118,0.055739253660840815,5,0.0023618327822390174,-0.11724035,0.7666139559999988
GSE190260,True,endothelial,2117,326,0.15399149740198395,231,0.10911667453944261,0.0,8.970837899999987
GSE190260,True,fibroblast,2117,62,0.029286726499763816,101,0.047709022201228156,0.0,1.9268807399999939
GSE190260,True,mesothelial,2117,132,0.06235238545111006,150,0.07085498346717052,0.26408765,4.318839399999976
GSE190260,True,pericyte_VSMC,2117,224,0.10581010864430798,367,0.17335852621634387,0.7719797,5.26767348
GSE217108,False,ciliated,0,0,,0,,,
GSE217108,False,AT2,0,0,,0,,,
GSE217108,False,macrophage,0,0,,0,,,
GSE217108,False,endothelial,0,0,,0,,,
GSE217108,False,fibroblast,0,0,,0,,,
GSE217108,False,mesothelial,0,0,,0,,,
GSE217108,False,pericyte_VSMC,0,0,,0,,,
GSE302356,False,ciliated,0,0,,0,,,
GSE302356,False,AT2,0,0,,0,,,
GSE302356,False,macrophage,0,0,,0,,,
GSE302356,False,endothelial,0,0,,0,,,
GSE302356,False,fibroblast,0,0,,0,,,
GSE302356,False,mesothelial,0,0,,0,,,
GSE302356,False,pericyte_VSMC,0,0,,0,,,
