dataset,focus_dataset,n_positive_reference,score,n,mean,median,q25,q75,detection_rate_score_gt_0
GSE135851,False,140,melanocytic_identity_score,140,0.5352702112142856,0.42461246500000005,0.0,0.9919234975,0.5571428571428572
GSE135851,False,140,support_score,140,9.063499427142856,9.557165000000001,6.80843945,11.152047625,1.0
GSE135851,False,140,CORE3_related_score,140,10.620127452857144,10.217071,7.73506025,13.45727825,1.0
GSE135851,False,140,competing_lineage_penalty,140,4.255903428907737,2.69111418667575,1.3252615460780848,6.955714999580313,1.0
GSE135851,False,140,final_LAM_identity_score,140,5.8320257060785705,5.60413,3.9721167500000005,8.21899225,0.9642857142857143
GSE190260,True,2117,melanocytic_identity_score,2117,0.0001269195479452055,0.0,0.0,0.0,0.0023618327822390174
GSE190260,True,2117,support_score,2117,0.0002530853660840812,0.0,0.0,0.0,0.0014170996693434106
GSE190260,True,2117,CORE3_related_score,2117,0.051879465843174315,0.0,0.0,0.0,0.044402456306093525
GSE190260,True,2117,competing_lineage_penalty,2117,4.417791259667358,4.950319565832615,1.5338357836008072,5.550189793109894,0.9886632026452528
GSE190260,True,2117,final_LAM_identity_score,2117,-0.8982712117907415,-1.0065774,-1.1284952,-0.31447926,0.01086443079829948
GSE217108,False,0,melanocytic_identity_score,0,,,,,
GSE217108,False,0,support_score,0,,,,,
GSE217108,False,0,CORE3_related_score,0,,,,,
GSE217108,False,0,competing_lineage_penalty,0,,,,,
GSE217108,False,0,final_LAM_identity_score,0,,,,,
GSE302356,False,0,melanocytic_identity_score,0,,,,,
GSE302356,False,0,support_score,0,,,,,
GSE302356,False,0,CORE3_related_score,0,,,,,
GSE302356,False,0,competing_lineage_penalty,0,,,,,
GSE302356,False,0,final_LAM_identity_score,0,,,,,
