stratum_level,stratum,state15_cells,state15_author_style,other_cells,other_author_style,state15_author_fraction,other_author_fraction,enrichment_fold,fisher_odds_ratio,fisher_pvalue_greater
overall,all,200,49,5178,91,0.245,0.01757435303205871,13.940769230769229,18.140091696383088,2.2288648750482328e-36
dataset,GSE135851,50,49,485,91,0.98,0.18762886597938144,5.223076923076923,212.15384615384616,8.027702168658162e-31
dataset,GSE190260,138,0,1414,0,0.0,0.0,,,1.0
dataset,GSE217108,1,0,637,0,0.0,0.0,,,1.0
dataset,GSE302356,11,0,2642,0,0.0,0.0,,,1.0
patient,LAM1,25,24,50,7,0.96,0.14,6.857142857142856,147.42857142857142,2.2141243166022212e-12
patient,LAM1110,0,0,125,0,,0.0,,,1.0
patient,LAM1158,10,0,172,0,0.0,0.0,,,1.0
patient,LAM1163,127,0,373,0,0.0,0.0,,,1.0
patient,LAM1164,1,0,744,0,0.0,0.0,,,1.0
patient,LAM18,0,0,112,0,,0.0,,,1.0
patient,LAM2,0,0,163,4,,0.024539877300613498,,,1.0
patient,LAM3,26,25,1652,59,0.9615384615384616,0.03571428571428571,26.923076923076927,675.0,1.723430566192803e-33
patient,LAM32,10,0,802,0,0.0,0.0,,,1.0
patient,LAM4,0,0,106,21,,0.19811320754716982,,,1.0
patient,LAM44,0,0,155,0,,0.0,,,1.0
patient,LAM50,1,0,724,0,0.0,0.0,,,1.0
