cohort,cohort_type,n_cells,n_datasets,n_patients,feature,n,mean,median,q05,q25,q75,q95,detection_fraction_score_gt_0
State_1,consensus_state,703,4,10,LAMCORE_777,703,0.2475452633471272,0.24273748695850372,0.17209551185369493,0.22417273372411728,0.26913508772850037,0.33310814499855035,1.0
State_10,consensus_state,4,1,1,LAMCORE_777,4,0.23946043848991394,0.2200666293501854,0.21688772812485696,0.21858276799321175,0.2409442998468876,0.28918448165059085,1.0
State_11,consensus_state,3,1,1,LAMCORE_777,3,0.3746253351370494,0.40661972761154175,0.29106088280677794,0.342420369386673,0.42282749712467194,0.4357937127351761,1.0
State_12,consensus_state,605,4,9,LAMCORE_777,605,0.24835146177898754,0.23533955216407776,0.16064929366111758,0.20444749295711517,0.2862887680530548,0.375666868686676,1.0
State_13,consensus_state,6,3,3,LAMCORE_777,6,0.3370618236561616,0.362154558300972,0.11628678254783154,0.2603461630642414,0.46397148072719574,0.49509934335947037,1.0
State_14,consensus_state,3,1,1,LAMCORE_777,3,0.405376394589742,0.35855424404144287,0.3532834887504578,0.35562604665756226,0.4317156672477722,0.4902448058128357,1.0
State_15,consensus_state,200,4,7,LAMCORE_777,200,0.5004134432226419,0.512529730796814,0.3327458307147026,0.46225084364414215,0.5627269744873047,0.6226282685995101,1.0
State_16,consensus_state,396,4,10,LAMCORE_777,396,0.28838785005865075,0.2169375643134117,0.07666983269155025,0.13880422711372375,0.4309846758842468,0.6330252885818481,1.0
State_17,consensus_state,121,3,5,LAMCORE_777,121,0.24681060385605522,0.23208995163440704,0.1714344024658203,0.21042141318321228,0.2660976052284241,0.38764524459838867,1.0
State_18,consensus_state,174,4,9,LAMCORE_777,174,0.3424195060613512,0.3419233709573746,0.2402442090213299,0.302569642663002,0.38291312009096146,0.4441790238022804,1.0
State_19,consensus_state,2,2,2,LAMCORE_777,2,0.3846019059419632,0.3846019059419632,0.3351744398474693,0.35714220255613327,0.4120616093277931,0.4340293720364571,1.0
State_2,consensus_state,1,1,1,LAMCORE_777,1,0.09953740984201431,0.09953740984201431,0.09953740984201431,0.09953740984201431,0.09953740984201431,0.09953740984201431,1.0
State_20,consensus_state,756,4,10,LAMCORE_777,756,0.3429081894299656,0.3448530584573746,0.22443308681249619,0.29833580553531647,0.391741544008255,0.4491877779364586,1.0
State_3,consensus_state,4,2,2,LAMCORE_777,4,0.17833963967859745,0.19984933733940125,0.07133914940059186,0.14925033412873745,0.22893864288926125,0.25522655323147775,1.0
State_4,consensus_state,550,4,10,LAMCORE_777,550,0.1429006768339737,0.1487976536154747,0.05112269762903453,0.1116023138165474,0.1806083433330059,0.21517336368560788,1.0
State_5,consensus_state,864,4,10,LAMCORE_777,864,0.05144462290142352,0.04596872068941593,0.03138117995113134,0.03969551622867584,0.05452777910977602,0.08799733631312844,1.0
State_6,consensus_state,3,2,2,LAMCORE_777,3,0.04828168575962385,0.04611123353242874,0.04086414873600006,0.0431961864233017,0.05228195898234844,0.0572185393422842,1.0
State_7,consensus_state,576,4,11,LAMCORE_777,576,0.16637546520602578,0.16825088113546371,0.0708090327680111,0.13990044221282005,0.19266624376177788,0.2513040751218796,1.0
State_8,consensus_state,1,1,1,LAMCORE_777,1,0.20928353071212769,0.20928353071212769,0.20928353071212769,0.20928353071212769,0.20928353071212769,0.20928353071212769,1.0
State_9,consensus_state,406,4,5,LAMCORE_777,406,0.21860948729838056,0.2203323096036911,0.08763666450977325,0.18130497261881828,0.26687274128198624,0.32012923061847687,1.0
boundary,boundary,16883,4,12,LAMCORE_777,16883,0.12586734693097817,0.0936279147863388,0.029496635496616363,0.04451915808022022,0.18897342681884766,0.3174683004617691,1.0
normal,normal,40457,2,7,LAMCORE_777,40457,0.058981071059506965,0.051267605274915695,0.021527961641550065,0.03585698455572128,0.0707084909081459,0.12799468040466305,0.9997033887831525
